module_index,module,code_symbols,data_symbols,unknown_symbols,total_symbols
49,D:\MOX\OTHERS\HOMEGEN.C,36,5,0,41
50,D:\MOX\OTHERS\LOADSAVE.C,46,19,0,65
51,D:\MOX\OTHERS\MAINMENU.C,16,28,0,44
52,D:\MOX\OTHERS\MAINSCR.C,103,82,0,185
53,D:\MOX\OTHERS\MAINSCR2.C,14,4,0,18
54,D:\MOX\OTHERS\MAPGEN.C,45,40,0,85
55,D:\MOX\OTHERS\MISC.C,65,3,0,68
56,D:\MOX\OTHERS\MOVEBOX.C,32,0,0,32
57,D:\MOX\OTHERS\NAMESTAR.C,15,2,0,17
58,D:\MOX\OTHERS\OFFICER.C,124,19,0,143
59,D:\MOX\OTHERS\PLNTSUM.C,67,39,0,106
60,D:\MOX\OTHERS\SCORE.C,56,5,0,61
61,D:\MOX\OTHERS\SCROLL.C,7,0,0,7
62,D:\MOX\OTHERS\SHIPS.C,27,0,0,27
63,D:\MOX\OTHERS\SYS.C,49,14,0,63
64,D:\MOX\OTHERS\TEXTBOX.C,10,17,0,27
65,D:\MOX\OTHERS\BEAMS.C,56,42,0,98
66,D:\MOX\OTHERS\CMBTSPEC.C,24,1,0,25
67,D:\MOX\OTHERS\COLBCACH.C,7,6,0,13
68,D:\MOX\OTHERS\COLBLDG.C,63,27,0,90
69,D:\MOX\OTHERS\COLBOMB.C,14,4,0,18
70,D:\MOX\OTHERS\COLDRAW.C,29,5,0,34
71,D:\MOX\OTHERS\COLGCBT.C,44,20,0,64
72,D:\MOX\OTHERS\COLLAND.C,4,5,0,9
73,D:\MOX\OTHERS\COLMOVE.C,9,2,0,11
74,D:\MOX\OTHERS\COLONY.C,185,108,0,293
75,D:\MOX\OTHERS\COLREFIT.C,18,11,0,29
76,D:\MOX\OTHERS\COLSUM.C,36,11,0,47
77,D:\MOX\OTHERS\COLSYSDI.C,6,4,0,10
78,D:\MOX\OTHERS\COLXPORT.C,11,10,0,21
79,D:\MOX\OTHERS\ERIC.C,49,9,0,58
80,D:\MOX\OTHERS\FAKEBUTS.C,9,4,0,13
81,D:\MOX\OTHERS\FIREPTS.C,3,2,0,5
82,D:\MOX\OTHERS\FLCQUEUE.C,6,2,0,8
83,D:\MOX\OTHERS\MAINPUPS.C,97,34,0,131
84,D:\MOX\OTHERS\NEWGAME.C,7,28,0,35
85,D:\MOX\OTHERS\OCPOLPUP.C,2,1,0,3
86,D:\MOX\OTHERS\ERICHELP.C,16,15,0,31
87,D:\MOX\OTHERS\ESCROLL.C,7,0,0,7
88,D:\MOX\OTHERS\ESTRINGS.C,3,3,0,6
89,D:\MOX\OTHERS\NEWPUP.C,9,3,0,12
90,D:\MOX\OTHERS\AIBOMB.C,2,0,0,2
91,D:\MOX\OTHERS\AIBUILD.C,19,7,0,26
92,D:\MOX\OTHERS\AIDATA.C,16,30,0,46
93,D:\MOX\OTHERS\AIDUDES.C,27,8,0,35
94,D:\MOX\OTHERS\AILEADER.C,5,0,0,5
95,D:\MOX\OTHERS\AIMOVE.C,40,6,0,46
96,D:\MOX\OTHERS\AISTAGE.C,1,0,0,1
97,D:\MOX\OTHERS\AITECH.C,14,0,0,14
98,D:\MOX\OTHERS\AITRADE.C,2,0,0,2
100,D:\MOX\OTHERS\BOMB.C,5,0,0,5
101,D:\MOX\OTHERS\CHAT.C,3,1,0,4
102,D:\MOX\OTHERS\COLCALC.C,124,61,0,185
103,D:\MOX\OTHERS\COLONIZE.C,10,0,0,10
104,D:\MOX\OTHERS\COMBFIND.C,46,20,0,66
105,D:\MOX\OTHERS\CONTACT.C,1,0,0,1
106,D:\MOX\OTHERS\GEO.C,19,1,0,20
107,D:\MOX\OTHERS\INVASION.C,26,0,0,26
108,D:\MOX\OTHERS\LOSTSHIP.C,3,0,0,3
109,D:\MOX\OTHERS\MAINTAIN.C,13,1,0,14
110,D:\MOX\OTHERS\MSG.C,15,72,0,87
111,D:\MOX\OTHERS\MULTPLAY.C,70,12,0,82
112,D:\MOX\OTHERS\NETMOX.C,59,11,0,70
113,D:\MOX\OTHERS\NETSTART.C,15,9,0,24
114,D:\MOX\OTHERS\NETTURN.C,6,2,0,8
115,D:\MOX\OTHERS\NEWTECH.C,7,2,0,9
116,D:\MOX\OTHERS\REPORT.C,26,15,0,41
117,D:\MOX\OTHERS\RUSS.C,18,2,0,20
118,D:\MOX\OTHERS\SETTLER.C,7,0,0,7
119,D:\MOX\OTHERS\SHIPMOVE.C,24,0,0,24
120,D:\MOX\OTHERS\SPY.C,12,1,0,13
121,D:\MOX\OTHERS\TRADE.C,10,0,0,10
122,D:\MOX\BILL.C,74,4,0,78
123,D:\MOX\BILLHELP.C,28,28,0,56
124,D:\MOX\FMTPARA.C,84,20,0,104
125,D:\MOX\INFO.C,41,68,0,109
126,D:\MOX\LIST.C,14,0,0,14
127,D:\MOX\RACERPRT.C,1,4,0,5
128,D:\MOX\RACESCRN.C,21,41,0,62
129,D:\MOX\SCIENCE.C,7,15,0,22
130,D:\MOX\TECH.C,30,28,0,58
131,D:\MOX\TURNSUM.C,4,7,0,11
132,D:\MOX\FIELDSAV.C,2,0,0,2
