name,offset,inferred_end,inferred_size,module_index,kind,cfg_min,cfg_end,reachable_instructions,status,foreign_entry_edges,shared_tail_edges,unresolved_edges
Set_Default_Game_Settings_,10209,10551,342,4,4,10209,10382,28,shorter+unresolved,0,0,1
Write_Game_Settings_,10551,10627,76,4,4,10551,10627,26,matches,0,0,0
Init_Players_,10627,11637,1010,4,4,10627,11606,214,shorter+unresolved,0,0,2
Init_Colony_,11637,11784,147,4,4,11637,11757,38,shorter+unresolved,0,0,1
Test_Create_Ship_,11784,12414,630,4,4,11784,12031,71,shorter+unresolved,0,0,1
Init_Officers_,12414,12415,1,4,4,12414,12415,1,matches,0,0,0
Init_Leaders_,12415,12660,245,4,4,12415,12660,74,matches,0,1,0
Load_Pictures_,12660,12738,78,5,4,12660,12738,21,matches,0,0,0
Load_Main_Screen_Pictures_,12738,13906,1168,5,5,12738,13188,102,shorter+unresolved,0,0,1
Load_Player_Special_Names_,13906,14003,97,5,4,13906,13917,5,shorter+unresolved,0,0,1
Next_Turn_Calc_,14003,14370,367,6,4,14003,14370,82,matches,0,0,0
Do_Autosave_,14370,14448,78,6,4,14370,14448,30,matches,0,0,0
Next_Turn_,14448,14824,376,6,4,14448,14819,84,shorter+unresolved,0,0,3
Get_Winner_,14824,14909,85,6,5,14824,14906,28,shorter,0,0,0
Init_Homeworld_Colony2_,14909,16295,1386,7,4,14909,15526,125,shorter+unresolved,0,0,3
Init_Homeworld_Colony_,16295,16311,16,7,4,16295,16311,6,matches,1,0,0
Init_Advanced_Civilization_Fleet_,16311,16312,1,7,4,16311,16312,1,matches,0,0,0
Init_Non_Homeworld_Colony_,16312,16345,33,7,4,16312,16321,5,shorter,0,1,0
Add_Building_,16345,17898,1553,7,4,16345,17898,331,matches+unresolved,0,0,3
Remove_Building_,17898,18391,493,7,4,17898,17937,13,shorter+unresolved,0,0,1
Mox_Play_Sound_,18391,18407,16,7,4,18391,18407,4,matches,1,0,0
Calc_Ship_Level_,18407,18554,147,7,4,18407,18472,19,shorter+unresolved,0,0,1
Do_Academy_At_Location_Check_,18554,18709,155,7,4,18548,18709,53,matches,0,1,0
Best_Instructor_Bonus_,18709,18901,192,7,4,18709,18901,64,matches,0,0,0
Do_XP_For_Ship_,18901,18983,82,7,4,18901,18983,26,matches,0,0,0
Do_All_Ships_XP_Check_,18983,19080,97,7,4,18983,19080,34,matches,0,0,0
_rifles,19080,19098,18,8,4,19080,19098,5,matches,1,0,0
_personal_shields,19098,19104,6,8,4,19098,19104,2,matches,1,0,0
_planetary_shields,19104,19116,12,8,4,19104,19116,3,matches,1,0,0
Main_Antaran_Room_Screen_,19116,19453,337,9,4,19116,19453,85,matches,0,0,0
Draw_Main_Antaran_Room_Screen_,19453,19587,134,9,4,19453,19587,35,matches,0,0,0
Reload_Main_Antaran_Room_Screen_,19587,19836,249,9,4,19587,19836,63,matches,0,0,0
Get_Antaran_Room_Message_,19836,19937,101,9,4,19836,19871,12,shorter+unresolved,0,0,1
Check_Show_Main_Antaran_Room_Screen_,19937,19959,22,9,4,19937,19959,6,matches,0,0,0
Play_Cinematic_,19959,20613,654,10,4,19959,20572,158,shorter+unresolved,0,0,1
Smack_Fade_,20613,20709,96,10,4,20613,20709,32,matches,0,0,0
Draw_Smack_Screen_,20709,20731,22,10,4,20709,20731,6,matches,0,0,0
Race_Customization_,20731,21049,318,11,4,20731,21021,24,shorter+unresolved,0,0,1
Main_Council_Screen_,21049,21408,359,12,4,21049,21185,29,shorter+unresolved,0,0,1
Control_Main_Council_Screen_,21408,21537,129,12,4,21408,21537,38,matches,0,1,0
Draw_Main_Council_Screen_,21537,22228,691,12,4,21537,21724,44,shorter+unresolved,0,0,1
Reload_Main_Council_Screen_,22228,23440,1212,12,4,22228,22681,80,shorter+unresolved,0,0,4
Calc_Council_Vote_,23440,23529,89,12,4,23440,23465,8,shorter+unresolved,0,0,1
Get_Council_Message_,23529,23984,455,12,4,22221,23875,76,shorter+unresolved,0,4,1
Next_Council_State_,23984,24056,72,12,4,23984,24028,11,shorter,0,0,0
Council_Finished_Voting_,24056,24252,196,12,4,24056,24252,39,matches+unresolved,0,0,2
Council_Votes_,24252,24609,357,12,4,24252,24447,8,shorter+unresolved,0,0,1
Vote_Check_,24609,25060,451,12,4,24609,25060,34,matches+unresolved,0,0,1
Council_Vote_Result_,25060,25404,344,12,4,25060,25404,82,matches+unresolved,0,0,1
Council_Player_Vote_,25404,26123,719,12,4,25404,25460,14,shorter+unresolved,0,0,1
Council_Accept_Ruling_,26123,26799,676,12,4,26123,26158,9,shorter+unresolved,0,0,1
Check_For_Council_Meeting_,26799,26970,171,12,4,26799,26970,55,matches+unresolved,0,0,1
Load_Council_Text_Messages_,26970,27081,111,12,4,26970,27081,27,matches,0,0,0
Council_Player_Voted_Winner_,27081,27199,118,12,4,27081,27189,24,shorter+unresolved,0,0,1
Drive_Council_Player_Voted_Winner_,27199,27346,147,12,4,25400,27346,43,matches,0,0,0
Draw_Council_Player_Voted_Winner_,27346,27644,298,12,4,27346,27535,36,shorter+unresolved,0,0,1
Get_Player_Voted_Winner_Message_,27644,27726,82,12,4,27644,27688,13,shorter+unresolved,0,0,1
Diplomacy_Screen_,27726,28416,690,14,4,27726,27738,5,shorter+unresolved,0,0,1
Draw_Diplomacy_Screen_,28416,29223,807,14,4,28416,28437,8,shorter+unresolved,0,0,1
Draw_Diplomacy_Synch_Mode_,28416,29223,807,14,4,28416,28437,8,shorter+unresolved,0,0,1
Get_Main_Repulsive_Diplomacy_Choices_,29223,30092,869,14,4,29223,30056,32,shorter+unresolved,0,0,1
Get_Main_Diplomacy_Choices_,30092,30791,699,14,4,30092,30791,156,matches+unresolved,0,1,1
Diplomacy_Set_Main_Options_,30791,31220,429,14,4,30791,30833,14,shorter+unresolved,0,0,1
Diplomacy_Declare_War_Resolution_,31220,31569,349,14,4,31220,31569,77,matches+unresolved,0,0,2
Setup_Back_Page_,31569,31666,97,14,4,31569,31606,9,shorter+unresolved,0,0,1
Setup_Ambassador_Pic_,31666,31751,85,14,4,31666,31751,24,matches,0,0,0
Diplomacy_Fade_In_,31751,32029,278,14,4,29189,32029,73,matches,0,1,0
Draw_Diplomacy_Fade_In_Screen_,32029,32091,62,14,4,32029,32071,13,shorter,0,0,0
Diplomacy_Propose_Treaty_,32091,32980,889,14,4,32091,32893,152,shorter+unresolved,0,0,5
Diplomacy_Break_Treaty_,32980,33545,565,14,4,32980,33036,19,shorter+unresolved,0,0,1
Diplomacy_Break_Treaty_Resolution_,33545,34144,599,14,4,33545,34144,144,matches+unresolved,0,0,6
Get_Human_Surrender_Message_,34144,34198,54,14,4,34144,34198,19,matches,0,0,0
Get_Human_Declare_War_Message_,34198,34237,39,14,4,34198,34221,9,shorter,0,1,0
Get_Human_Offer_Gift_Message_,34237,34515,278,14,4,34237,34479,66,shorter,0,0,0
Get_Human_Demand_Message_,34515,34874,359,14,4,34515,34874,92,matches,0,0,0
Get_Human_Break_Treaty_Message_,34874,35040,166,14,4,34874,35040,53,matches,0,0,0
Get_Human_Form_Treaty_Message_,35040,35308,268,14,4,35040,35308,65,matches,1,0,0
Get_Human_Propose_Treaty_Message_,35308,35479,171,14,4,35308,35479,54,matches,0,0,0
Get_Human_Tech_Exchange_Message_,35479,35554,75,14,4,35479,35554,24,matches,0,0,0
Get_Human_Tech_Exchange_First_Message_,35554,35623,69,14,4,35554,35623,23,matches,0,0,0
Get_Human_Tech_Exchange_Accept_Message_,35623,35646,23,14,4,35623,35646,7,matches,0,1,0
Get_Human_Tech_Exchange_Decline_Message_,35646,35705,59,14,4,35646,35669,7,shorter,0,1,0
Diplomacy_Demand_,35705,38085,2380,14,4,35705,35922,56,shorter+unresolved,0,0,1
Diplomacy_Offer_Gift_,38085,39193,1108,14,4,38085,38163,23,shorter+unresolved,0,0,1
Diplomacy_Display_Response_,39193,39319,126,14,4,39193,39319,39,matches,0,0,0
Diplomacy_Determine_Treaty_Proposal_,39319,39800,481,14,4,39319,39784,124,shorter+unresolved,0,0,7
Diplomacy_Need_Better_Offer_,39800,40287,487,14,4,39800,40287,131,matches,0,0,0
Get_Diplomacy_Tech_List_,40287,40424,137,14,4,40287,40424,47,matches,0,0,0
Diplomacy_Generic_List_,40424,40742,318,14,4,40424,40742,96,matches,0,0,0
Diplomacy_Generic_Exchange_Tech_List_,40742,41469,727,14,4,40742,41469,213,matches,0,0,0
Diplomacy_Generic_System_List_,41469,42029,560,14,4,41469,41495,8,shorter+unresolved,0,0,1
Draw_Diplomacy_Generic_System_List_,42029,42061,32,14,4,42029,42061,8,matches,0,0,0
Get_Diplomacy_Demand_Treaty_List_,42061,42247,186,14,4,42061,42247,53,matches,0,1,0
Npc_Display_Diplomacy_Messages_,42247,43966,1719,14,4,42247,42352,20,shorter+unresolved,0,0,1
Accepted_Npc_Demand_Resolution_,43966,44050,84,14,4,43966,44028,20,shorter+unresolved,0,0,1
Get_Non_Player_Proposals_,44050,44725,675,14,4,44050,44333,69,shorter+unresolved,0,0,1
Npc_Give_Gift_,44725,44960,235,14,4,44725,44852,34,shorter+unresolved,0,2,1
Show_Sneak_Attack_Message_,44960,44966,6,14,4,44960,44966,2,matches,1,0,0
Npc_Diplomacy_Screen_,44966,45163,197,14,4,43962,45060,27,shorter+unresolved,0,0,1
Check_Human_Treaty_Proposal_,45163,45479,316,14,4,45163,45479,58,matches+unresolved,0,0,6
Get_Human_Treaty_Choice_,45479,45914,435,14,4,45479,45544,18,shorter+unresolved,0,0,1
Check_Better_Offer_Available_,45914,46005,91,14,4,32569,46005,33,matches,0,2,0
Get_Human_Demand_Choice_,46005,46215,210,14,4,46005,46179,48,shorter,0,0,0
Diplomacy_Give_In_To_Demand_,46215,46520,305,14,4,46215,46484,77,shorter+unresolved,0,0,3
Get_Human_Demand_Response_,46520,46884,364,14,4,46520,46769,51,shorter+unresolved,0,0,2
Get_Human_Gift_Response_,46884,47099,215,14,4,46884,47099,45,matches+unresolved,0,0,5
Get_Human_Tech_Exchange_Choice_,47099,47233,134,14,4,47099,47233,35,matches,0,0,0
Diplomacy_Load_New_Ambassador_,47233,47406,173,14,4,47233,47406,44,matches,0,0,0
Diplomacy_Mouse_Init_,47406,48475,1069,14,4,47406,48453,253,shorter+unresolved,0,0,1
Diplomacy_Human_Need_Better_Offer_,48475,50199,1724,14,4,48475,50199,306,matches+unresolved,0,1,3
Check_Surrender_System_,50199,50297,98,14,4,50199,50297,35,matches,0,1,0
Diplomacy_System_Display_,50297,51176,879,14,4,50297,50326,10,shorter+unresolved,0,0,1
Draw_Diplomacy_System_Display_,51176,51315,139,14,4,51176,51231,12,shorter+unresolved,0,0,1
Draw_Diplomacy_System_,51315,51417,102,14,4,51315,51417,32,matches,0,0,0
Draw_Diplomacy_System_Text_,51417,51836,419,14,4,51417,51836,97,matches+unresolved,0,1,1
Diplomacy_System_Scan_,51836,52045,209,14,4,51836,52045,61,matches,0,1,0
Diplomacy_Exchange_Technology_,52045,53169,1124,14,4,52045,52126,31,shorter+unresolved,0,0,1
Get_Diplomacy_Tech_Exchange_Lists_,53169,53461,292,14,4,53169,53461,82,matches+unresolved,0,0,1
Start_Diplomacy_Music_,53461,53496,35,14,4,53461,53496,9,matches,0,0,0
Diplomacy_Surrender_,53496,53815,319,14,4,31556,53758,73,shorter+unresolved,0,1,1
Diplomacy_Offer_Money_,53815,54629,814,14,4,51168,54389,172,shorter+unresolved,0,0,1
Get_Diplomacy_Statement_,54629,56855,2226,14,4,54629,54652,9,shorter+unresolved,0,0,1
An_,56855,57080,225,14,4,56855,56938,33,shorter,0,0,0
Get_Net_Diplomacy_Choices_,57080,60695,3615,14,4,57080,57103,8,shorter+unresolved,0,0,1
Diplomacy_Net_Switcheroo_,60695,60828,133,14,4,60695,60705,4,shorter+unresolved,0,0,1
Diplomacy_Initial_Synch_Up_,60828,60905,77,14,4,60828,60849,6,shorter+unresolved,0,0,1
Diplomacy_Listen_Mode_,60905,61275,370,14,4,60905,61275,39,matches+unresolved,0,1,1
Diplomacy_Chat_,61275,61628,353,14,4,61275,61489,40,shorter+unresolved,0,0,2
Draw_Diplomacy_Listen_Mode_,61628,61743,115,14,4,61628,61743,27,matches,0,0,0
Diplomacy_Synch_Mode_,61743,61821,78,14,4,61743,61750,1,shorter+unresolved,0,0,1
Start_Net_Treaty_,61821,62000,179,14,4,61821,62000,44,matches,0,0,0
Diplomacy_Receive_Message_,62000,62283,283,14,4,62000,62283,59,matches+unresolved,0,0,3
Get_Listen_Mode_Message_,62283,62332,49,14,4,62283,62296,6,shorter+unresolved,0,0,1
Load_Diplomacy_Text_Messages_,62332,64531,2199,14,4,62332,64531,510,matches,0,1,0
Setup_Diplomacy_Help_,64531,64774,243,14,4,32569,64720,47,shorter+unresolved,0,0,2
Setup_Full_Screen_Diplomacy_Help_,64774,64896,122,14,4,64774,64896,20,matches+unresolved,0,0,1
Set_Opportunity_Attacks_,64896,65269,373,14,4,64896,65245,77,shorter+unresolved,0,1,2
Add_Diplomacy_Turn_Summary_Messages_,65269,65517,248,14,4,65269,65517,34,matches+unresolved,0,1,1
Resolve_Delayed_Diplomacy_Orders_,65517,65731,214,14,4,65517,65731,58,matches+unresolved,0,1,2
Diplomacy_Main_Net_Chat_,65731,65890,159,14,4,65731,65890,40,matches,0,0,0
Diplomacy_Message_Is_Interactive_,65890,65956,66,14,4,65890,65956,24,matches,0,0,0
Init_Events_,65956,66041,85,15,4,65956,65964,2,shorter+unresolved,0,0,1
Reset_Events_,66041,66111,70,15,4,66041,66111,27,matches,0,0,0
Check_For_Event_Message_,66111,66174,63,15,4,66111,66174,23,matches,0,0,0
Check_For_Event_,66174,66333,159,15,4,66174,66333,38,matches,0,0,0
Start_Main_Event_,66333,66507,174,15,4,66333,66507,40,matches,0,0,0
Load_Event_Picture_,66507,66560,53,15,4,66507,66560,17,matches,0,0,0
Drive_Event_Screen_,66560,66656,96,15,4,66560,66656,33,matches,0,0,0
Draw_Event_Screen_,66656,66872,216,15,4,66656,66872,58,matches,0,0,0
Event_Fade_In_,66872,67234,362,15,4,66872,67090,56,shorter,0,0,0
Event_Twiddle_,67234,70513,3279,15,4,67234,70369,590,shorter+unresolved,0,0,12
Setup_Next_Event_,70513,72557,2044,15,4,70513,70540,11,shorter+unresolved,0,0,1
Get_Event_Message_,72557,74301,1744,15,4,72557,74301,83,matches+unresolved,0,0,2
Event_Get_Fleet_Strength_,74301,74506,205,15,4,74301,74370,29,shorter,0,0,0
Determine_Event_,74506,77143,2637,15,4,74506,81312,337,extends+unresolved,0,0,4
Get_Event_Victim_,77143,77660,517,15,4,77143,81312,146,extends+unresolved,0,0,2
Get_Antaran_Victim_,77660,78006,346,15,4,77660,78006,97,matches+unresolved,0,1,1
Player_Has_Bad_Event_,78006,78092,86,15,4,78006,78092,26,matches+unresolved,0,0,1
Get_Event_Climate_Change_Colony_,78092,78260,168,15,4,78092,78260,56,matches,0,1,0
Get_Event_Industrial_Accident_Colony_,78260,78430,170,15,4,78253,78430,57,matches,0,2,0
Get_Event_Mineral_Depletion_Colony_,78430,78523,93,15,4,78253,78523,33,matches,0,1,0
Get_Event_Mineral_Deposit_Colony_,78523,78636,113,15,4,78253,78616,33,shorter,0,1,0
Event_Monster_Update_,78636,78763,127,15,4,78636,78763,36,matches,0,0,0
Event_Race_Eliminated_,78763,78776,13,15,4,78763,78776,3,matches,0,0,0
Event_Orion_Discovered_,78776,78789,13,15,4,78776,78789,3,matches,0,0,0
Event_Defeat_Antarans_,78789,78802,13,15,4,78789,78802,3,matches,0,0,0
Event_Surrender_,78802,78822,20,15,4,78802,78822,4,matches,0,0,0
Event_Rebel_Assimilation_,78822,78842,20,15,4,78822,78842,4,matches,0,0,0
Event_Check_Hyperspace_Flux_,78842,78878,36,15,4,78842,78878,10,matches,0,0,0
Event_Check_Space_Anomaly_,78878,78958,80,15,4,78878,78958,22,matches,0,0,0
Event_Check_Pirate_Activity_,78958,79032,74,15,4,78958,79032,25,matches,0,0,0
Event_Check_Plague_,79032,79077,45,15,4,79032,79077,12,matches,0,0,0
Event_Check_Warp_Beast_,79077,79113,36,15,4,79077,79113,10,matches,0,0,0
Event_Check_Population_Boom_,79113,79158,45,15,4,79113,79158,12,matches,0,0,0
Event_Check_Comet_,79158,79203,45,15,4,79158,79203,12,matches,0,0,0
Event_Check_Planet_Warning_,79203,79679,476,15,4,79203,79219,7,shorter+unresolved,0,0,1
Event_Check_General_Status_,79679,79744,65,15,4,79679,79744,10,matches+unresolved,0,0,1
Allocate_Comet_Hit_,79744,79923,179,15,4,79744,79811,21,shorter+unresolved,0,0,1
Allocate_Industrial_Accident_Hit_,79923,80040,117,15,4,79923,80040,36,matches,0,0,0
Allocate_Earthquake_Hit_,80040,80264,224,15,4,80040,80264,72,matches,0,0,0
Find_Nearest_Player_Colony_to_Ship_,80264,80360,96,15,4,80264,80360,37,matches,0,0,0
Colony_To_Ship_Dist2_,80360,80479,119,15,4,80360,80479,42,matches,0,0,0
Pick_Completely_Random_Star_,80479,80680,201,15,4,78253,80680,63,matches,0,2,0
Ship_Size_Points_At_Star_,80680,80740,60,15,4,80680,80740,22,matches,0,1,0
Colony_Research_Points_,80740,80765,25,15,4,80740,80762,5,shorter+unresolved,0,0,1
Pick_Random_Player_In_Contact_,80765,80876,111,15,4,80765,80876,39,matches,0,1,0
Pick_Random_Star_,80876,81057,181,15,4,80876,81057,60,matches,0,1,0
Pick_Random_Officer_,81057,81133,76,15,4,81057,81133,29,matches,0,1,0
Pick_Random_Ship_,81133,81220,87,15,4,81133,81220,32,matches,0,1,0
Pick_Random_Colony_No_Outpost_,81220,81312,92,15,4,81220,81312,38,matches,0,0,0
Pick_Random_Colony_No_Capitol_,81312,81406,94,15,4,81312,81406,33,matches,0,1,0
Event_Check_Colony_Researching_,81406,81504,98,15,4,81406,81504,26,matches,0,0,0
Colony_Has_Event_,81504,81951,447,15,4,81504,81951,123,matches,0,0,0
Kill_All_Events_At_Colony_,81951,82639,688,15,4,81306,82639,177,matches,0,1,0
Event_Check_Space_Anomaly_At_Star_,82639,82684,45,15,4,82639,82684,12,matches,0,0,0
Star_Has_Event_,82684,83087,403,15,4,82684,83063,99,shorter,0,0,0
Event_Pirate_Activity_Strength_,83087,83217,130,15,4,83087,83217,49,matches,0,0,0
Determine_Lucky_Players_Events_,83217,83396,179,15,4,81303,83396,58,matches+unresolved,0,1,1
Update_Lucky_Players_Events_,83396,83453,57,15,4,83396,83453,19,matches,0,0,0
Jim_Hot_Key_,83453,83575,122,16,4,83453,83575,37,matches+unresolved,0,0,1
Play_Streaming_Music_,83575,84017,442,16,4,83575,84017,9,matches+unresolved,0,0,2
Stop_Background_Music_,84017,84047,30,16,4,84017,84025,2,shorter+unresolved,0,0,1
Play_Background_Music_,84047,84237,190,16,4,84047,84237,9,matches+unresolved,0,0,1
Fade_Down_Background_Music_,84237,84332,95,16,4,84237,84332,13,matches+unresolved,0,0,1
Play_Combat_Music_,84332,84473,141,16,4,84332,84473,10,matches+unresolved,0,0,1
Get_Text_Message_,84473,84682,209,16,4,84473,84497,8,shorter+unresolved,0,0,1
Decode_Text_Message_,84682,85296,614,16,4,84682,85296,193,matches,0,0,0
Decode_Text_Name_,85296,85324,28,16,4,85296,85324,11,matches,0,1,0
Decode_Text_Race_,85296,85324,28,16,4,85296,85324,11,matches,0,1,0
Decode_Text_Race_And_Name_,85296,85324,28,16,4,85296,85324,11,matches,0,1,0
Decode_Text_Name_And_Stat_,85324,85354,30,16,4,85324,85354,12,matches,0,0,0
Decode_Text_Name_And_System_,85354,85379,25,16,4,85354,85379,10,matches,0,1,0
Decode_Text_Name_And_Tech_,85379,85404,25,16,4,85379,85404,10,matches,0,1,0
Decode_Text_Name_And_Other_Tech_,85404,85445,41,16,4,85404,85445,18,matches,0,0,0
Decode_Text_Name_Tech_And_Other_Tech_,85445,85488,43,16,4,85445,85488,18,matches,0,0,0
Decode_Text_Name_And_Name_,85488,85512,24,16,4,85488,85512,9,matches,0,1,0
Decode_Text_Stat_,85512,85543,31,16,4,85512,85543,14,matches,0,0,0
Decode_Text_System_,85543,85566,23,16,4,85543,85566,10,matches,0,1,0
Decode_Text_Field_,85566,85588,22,16,4,85566,85588,10,matches,0,1,0
Decode_Text_Year_,85588,85619,31,16,4,85588,85619,15,matches,0,0,0
Decode_Text_Tech_And_Other_Name_,85619,85654,35,16,4,85619,85654,14,matches,0,1,0
Bill_Picture_To_Mouse_,85654,85715,61,16,4,85654,85715,21,matches,0,0,0
Draw_Logos_,85715,86415,700,16,4,85715,86415,177,matches+unresolved,0,0,1
Logo_Fade_Out_,86415,86511,96,16,4,86415,86511,29,matches,0,0,0
Slow_Fade_In_,86511,86617,106,16,4,86511,86617,36,matches,0,0,0
Check_For_Simtex_Logo_,86617,86695,78,16,4,86617,86695,26,matches,0,0,0
NPC_Diplomacy_,86695,86725,30,17,4,86695,86725,6,matches,1,0,0
NPC_Tech_Exchange_,86725,86741,16,17,4,86725,86741,8,matches,0,1,0
NPC_Threats_,86741,87341,600,17,4,86741,87341,37,matches+unresolved,0,0,1
NPC_To_NPC_Treaty_Negotiations_,87341,88786,1445,17,4,87341,88786,66,matches+unresolved,0,1,1
Honor_Alliances_,88786,89030,244,17,4,88786,88823,13,shorter+unresolved,0,0,1
Eliminate_NPC_Treaty_Conflicts_,89030,89212,182,17,4,89030,89212,44,matches+unresolved,0,1,1
NPC_Diplomacy_Buildup_Penalties_,89212,89585,373,17,4,87334,89585,52,matches+unresolved,0,1,1
NPC_Declarations_Of_War_,89585,91914,2329,17,4,89585,91914,151,matches+unresolved,0,1,3
NPC_Peace_Negotiations_,91914,92317,403,17,4,91914,92317,49,matches+unresolved,0,1,1
NPC_Required_Alliances_,92317,92560,243,17,4,92317,92353,12,shorter+unresolved,0,0,1
NPC_To_Human_Diplomacy_,92560,93117,557,17,4,92560,92561,1,shorter,0,0,0
Get_Tech_Exchange_Reaction_,93117,93453,336,17,4,93117,93229,31,shorter+unresolved,0,0,1
compare_tech_,93453,93458,5,17,4,93453,93458,3,matches,0,0,0
reverse_compare_tech_,93458,93465,7,17,4,93458,93465,4,matches,0,0,0
Get_Exchange_Tech_List_,93465,94138,673,17,4,93465,94138,196,matches,0,0,0
Get_Tech_Exchange_Expectation_,94138,94356,218,17,4,94138,94187,15,shorter+unresolved,0,0,1
Get_Differential_Tech_List_,94356,94735,379,17,4,94356,94413,17,shorter+unresolved,0,0,1
NPC_Tech_Exchange_Check_,94735,95086,351,17,4,94735,95086,42,matches+unresolved,0,0,1
NPC_Good_Proposal_Check_,95086,95495,409,17,4,95086,95495,55,matches+unresolved,0,1,1
Clear_Last_Proposal_Turn_,95495,95583,88,17,4,95495,95538,13,shorter+unresolved,0,0,1
NPC_Message_Rejection_Check_,95583,95974,391,17,4,95583,95613,10,shorter+unresolved,0,0,1
NPC_Proposal_Rejection_Accept_,95974,96207,233,17,4,95974,96013,13,shorter+unresolved,0,0,1
NPC_Treaty_Hatred_,96207,96829,622,17,4,87334,96829,55,matches+unresolved,0,1,2
NPC_Surrender_Check_,96829,98086,1257,17,4,96829,98086,114,matches+unresolved,0,1,1
Does_Ship_Have_Missiles_Incoming_,98086,98207,121,18,4,98086,98207,40,matches,0,1,0
Safe_To_Fire_Sphere_Weapon_,98207,98664,457,18,4,98199,98664,136,matches,0,2,0
Ai_Self_Destruct_Check_,98664,99782,1118,18,4,98664,99782,252,matches+unresolved,0,1,2
Release_Smallest_Ship_From_Stasis_,99782,99914,132,18,4,99782,99914,44,matches,0,0,0
Ai_Stasis_Check_,99914,100072,158,18,4,99914,100072,51,matches,0,1,0
Range_To_XY_,100072,100406,334,18,4,100072,100406,129,matches,0,0,0
Range_To_Missile_,100406,100442,36,18,4,100406,100442,13,matches,0,0,0
Range_To_Ship_,100442,100804,362,18,4,100442,100804,126,matches,0,1,0
Expected_Weapon_Damage_,100804,102062,1258,18,4,100804,100875,24,shorter+unresolved,0,0,1
