name,segment,offset,kind,module_index,file_offset
Check_Human_Treaty_Proposal_,1,45163,4,14,657087
Get_Human_Treaty_Choice_,1,45479,4,14,657403
Check_Better_Offer_Available_,1,45914,4,14,657838
Get_Human_Demand_Choice_,1,46005,4,14,657929
Diplomacy_Give_In_To_Demand_,1,46215,4,14,658139
Get_Human_Demand_Response_,1,46520,4,14,658444
Get_Human_Gift_Response_,1,46884,4,14,658808
Get_Human_Tech_Exchange_Choice_,1,47099,4,14,659023
Diplomacy_Load_New_Ambassador_,1,47233,4,14,659157
Diplomacy_Mouse_Init_,1,47406,4,14,659330
Diplomacy_Human_Need_Better_Offer_,1,48475,4,14,660399
Check_Surrender_System_,1,50199,4,14,662123
Diplomacy_System_Display_,1,50297,4,14,662221
Draw_Diplomacy_System_Display_,1,51176,4,14,663100
Draw_Diplomacy_System_,1,51315,4,14,663239
Draw_Diplomacy_System_Text_,1,51417,4,14,663341
Diplomacy_System_Scan_,1,51836,4,14,663760
Diplomacy_Exchange_Technology_,1,52045,4,14,663969
Get_Diplomacy_Tech_Exchange_Lists_,1,53169,4,14,665093
Start_Diplomacy_Music_,1,53461,4,14,665385
Diplomacy_Surrender_,1,53496,4,14,665420
Diplomacy_Offer_Money_,1,53815,4,14,665739
Get_Diplomacy_Statement_,1,54629,4,14,666553
An_,1,56855,4,14,668779
Get_Net_Diplomacy_Choices_,1,57080,4,14,669004
Diplomacy_Net_Switcheroo_,1,60695,4,14,672619
Diplomacy_Initial_Synch_Up_,1,60828,4,14,672752
Diplomacy_Listen_Mode_,1,60905,4,14,672829
Diplomacy_Chat_,1,61275,4,14,673199
Draw_Diplomacy_Listen_Mode_,1,61628,4,14,673552
Diplomacy_Synch_Mode_,1,61743,4,14,673667
Start_Net_Treaty_,1,61821,4,14,673745
Diplomacy_Receive_Message_,1,62000,4,14,673924
Get_Listen_Mode_Message_,1,62283,4,14,674207
Load_Diplomacy_Text_Messages_,1,62332,4,14,674256
Setup_Diplomacy_Help_,1,64531,4,14,676455
Setup_Full_Screen_Diplomacy_Help_,1,64774,4,14,676698
Set_Opportunity_Attacks_,1,64896,4,14,676820
Add_Diplomacy_Turn_Summary_Messages_,1,65269,4,14,677193
Resolve_Delayed_Diplomacy_Orders_,1,65517,4,14,677441
Diplomacy_Main_Net_Chat_,1,65731,4,14,677655
Diplomacy_Message_Is_Interactive_,1,65890,4,14,677814
Init_Events_,1,65956,4,15,677880
Reset_Events_,1,66041,4,15,677965
Check_For_Event_Message_,1,66111,4,15,678035
Check_For_Event_,1,66174,4,15,678098
Start_Main_Event_,1,66333,4,15,678257
Load_Event_Picture_,1,66507,4,15,678431
Drive_Event_Screen_,1,66560,4,15,678484
Draw_Event_Screen_,1,66656,4,15,678580
Event_Fade_In_,1,66872,4,15,678796
Event_Twiddle_,1,67234,4,15,679158
Setup_Next_Event_,1,70513,4,15,682437
Get_Event_Message_,1,72557,4,15,684481
Event_Get_Fleet_Strength_,1,74301,4,15,686225
Determine_Event_,1,74506,4,15,686430
Get_Event_Victim_,1,77143,4,15,689067
Get_Antaran_Victim_,1,77660,4,15,689584
Player_Has_Bad_Event_,1,78006,4,15,689930
Get_Event_Climate_Change_Colony_,1,78092,4,15,690016
Get_Event_Industrial_Accident_Colony_,1,78260,4,15,690184
Get_Event_Mineral_Depletion_Colony_,1,78430,4,15,690354
Get_Event_Mineral_Deposit_Colony_,1,78523,4,15,690447
Event_Monster_Update_,1,78636,4,15,690560
Event_Race_Eliminated_,1,78763,4,15,690687
Event_Orion_Discovered_,1,78776,4,15,690700
Event_Defeat_Antarans_,1,78789,4,15,690713
Event_Surrender_,1,78802,4,15,690726
Event_Rebel_Assimilation_,1,78822,4,15,690746
Event_Check_Hyperspace_Flux_,1,78842,4,15,690766
Event_Check_Space_Anomaly_,1,78878,4,15,690802
Event_Check_Pirate_Activity_,1,78958,4,15,690882
Event_Check_Plague_,1,79032,4,15,690956
Event_Check_Warp_Beast_,1,79077,4,15,691001
Event_Check_Population_Boom_,1,79113,4,15,691037
Event_Check_Comet_,1,79158,4,15,691082
Event_Check_Planet_Warning_,1,79203,4,15,691127
Event_Check_General_Status_,1,79679,4,15,691603
Allocate_Comet_Hit_,1,79744,4,15,691668
Allocate_Industrial_Accident_Hit_,1,79923,4,15,691847
Allocate_Earthquake_Hit_,1,80040,4,15,691964
Find_Nearest_Player_Colony_to_Ship_,1,80264,4,15,692188
Colony_To_Ship_Dist2_,1,80360,4,15,692284
Pick_Completely_Random_Star_,1,80479,4,15,692403
Ship_Size_Points_At_Star_,1,80680,4,15,692604
Colony_Research_Points_,1,80740,4,15,692664
Pick_Random_Player_In_Contact_,1,80765,4,15,692689
Pick_Random_Star_,1,80876,4,15,692800
Pick_Random_Officer_,1,81057,4,15,692981
Pick_Random_Ship_,1,81133,4,15,693057
Pick_Random_Colony_No_Outpost_,1,81220,4,15,693144
Pick_Random_Colony_No_Capitol_,1,81312,4,15,693236
Event_Check_Colony_Researching_,1,81406,4,15,693330
Colony_Has_Event_,1,81504,4,15,693428
Kill_All_Events_At_Colony_,1,81951,4,15,693875
Event_Check_Space_Anomaly_At_Star_,1,82639,4,15,694563
Star_Has_Event_,1,82684,4,15,694608
Event_Pirate_Activity_Strength_,1,83087,4,15,695011
Determine_Lucky_Players_Events_,1,83217,4,15,695141
Update_Lucky_Players_Events_,1,83396,4,15,695320
Jim_Hot_Key_,1,83453,4,16,695377
Play_Streaming_Music_,1,83575,4,16,695499
Stop_Background_Music_,1,84017,4,16,695941
Play_Background_Music_,1,84047,4,16,695971
Fade_Down_Background_Music_,1,84237,4,16,696161
Play_Combat_Music_,1,84332,4,16,696256
Get_Text_Message_,1,84473,4,16,696397
Decode_Text_Message_,1,84682,4,16,696606
Decode_Text_Name_,1,85296,4,16,697220
Decode_Text_Race_,1,85296,4,16,697220
Decode_Text_Race_And_Name_,1,85296,4,16,697220
Decode_Text_Name_And_Stat_,1,85324,4,16,697248
Decode_Text_Name_And_System_,1,85354,4,16,697278
Decode_Text_Name_And_Tech_,1,85379,4,16,697303
Decode_Text_Name_And_Other_Tech_,1,85404,4,16,697328
Decode_Text_Name_Tech_And_Other_Tech_,1,85445,4,16,697369
Decode_Text_Name_And_Name_,1,85488,4,16,697412
Decode_Text_Stat_,1,85512,4,16,697436
Decode_Text_System_,1,85543,4,16,697467
Decode_Text_Field_,1,85566,4,16,697490
Decode_Text_Year_,1,85588,4,16,697512
Decode_Text_Tech_And_Other_Name_,1,85619,4,16,697543
Bill_Picture_To_Mouse_,1,85654,4,16,697578
Draw_Logos_,1,85715,4,16,697639
Logo_Fade_Out_,1,86415,4,16,698339
Slow_Fade_In_,1,86511,4,16,698435
Check_For_Simtex_Logo_,1,86617,4,16,698541
NPC_Diplomacy_,1,86695,4,17,698619
NPC_Tech_Exchange_,1,86725,4,17,698649
NPC_Threats_,1,86741,4,17,698665
NPC_To_NPC_Treaty_Negotiations_,1,87341,4,17,699265
Honor_Alliances_,1,88786,4,17,700710
Eliminate_NPC_Treaty_Conflicts_,1,89030,4,17,700954
NPC_Diplomacy_Buildup_Penalties_,1,89212,4,17,701136
NPC_Declarations_Of_War_,1,89585,4,17,701509
NPC_Peace_Negotiations_,1,91914,4,17,703838
NPC_Required_Alliances_,1,92317,4,17,704241
NPC_To_Human_Diplomacy_,1,92560,4,17,704484
Get_Tech_Exchange_Reaction_,1,93117,4,17,705041
compare_tech_,1,93453,4,17,705377
reverse_compare_tech_,1,93458,4,17,705382
Get_Exchange_Tech_List_,1,93465,4,17,705389
Get_Tech_Exchange_Expectation_,1,94138,4,17,706062
Get_Differential_Tech_List_,1,94356,4,17,706280
NPC_Tech_Exchange_Check_,1,94735,4,17,706659
NPC_Good_Proposal_Check_,1,95086,4,17,707010
Clear_Last_Proposal_Turn_,1,95495,4,17,707419
NPC_Message_Rejection_Check_,1,95583,4,17,707507
NPC_Proposal_Rejection_Accept_,1,95974,4,17,707898
NPC_Treaty_Hatred_,1,96207,4,17,708131
NPC_Surrender_Check_,1,96829,4,17,708753
Does_Ship_Have_Missiles_Incoming_,1,98086,4,18,710010
Safe_To_Fire_Sphere_Weapon_,1,98207,4,18,710131
Ai_Self_Destruct_Check_,1,98664,4,18,710588
Release_Smallest_Ship_From_Stasis_,1,99782,4,18,711706
Ai_Stasis_Check_,1,99914,4,18,711838
Range_To_XY_,1,100072,4,18,711996
Range_To_Missile_,1,100406,4,18,712330
Range_To_Ship_,1,100442,4,18,712366
Expected_Weapon_Damage_,1,100804,4,18,712728
Expected_Missile_Damage_,1,102062,4,18,713986
Expected_Beam_Bomb_Damage_,1,102618,4,18,714542
Missile_Overkill_Check_,1,103384,4,18,715308
Check_For_Launched_Fighters_,1,103552,4,18,715476
Is_Ship_Out_Of_Ammo_,1,103647,4,18,715571
Is_Ship_Targeted_By_Missile_,1,103888,4,18,715812
Toggle_Auto_Combat_Flags_,1,103958,4,18,715882
Crystal_Control_,1,104336,4,18,716260
Do_Auto_Ship_Turn_,1,104503,4,18,716427
Target_Missile_Value_,1,106267,4,18,718191
Select_Missile_To_Target_,1,106821,4,18,718745
Target_Ship_Value_,1,107065,4,18,718989
Select_Ship_To_Target_,1,107626,4,18,719550
Choose_Target_,1,107752,4,18,719676
Combat_Ship_Class_,1,107845,4,18,719769
Evaluate_Possible_Move_,1,108413,4,18,720337
Bring_Weapons_To_Bear_,1,108560,4,18,720484
Auto_Move_Ship_,1,108965,4,18,720889
Get_Current_Ship_Target_,1,109817,4,18,721741
Will_Missile_Do_Damage_,1,110290,4,18,722214
Get_Current_Missile_Target_,1,110505,4,18,722429
Get_Current_Target_,1,110750,4,18,722674
Convert_Ordinal_To_Msl_Type_,1,110993,5,18,722917
Get_Effective_Missile_Strength_,1,111101,4,18,723025
Average_Missile_Kills_,1,112588,4,18,724512
Get_Effective_Weapon_Damage_,1,113123,4,18,725047
Get_Effective_Beam_Strength_,1,113246,4,18,725170
Get_Total_Hits_,1,113414,4,18,725338
Retreat_Check_,1,113569,4,18,725493
Get_Long_Range_Beam_Strength_,1,114213,4,18,726137
Resolve_Ai_Boarding_,1,114547,4,18,726471
Boarding_Action_Type_,1,114985,4,18,726909
Get_Player_Mode_,1,115770,4,18,727694
Draw_Super_Fast_Screen_,1,116053,4,19,727977
Refresh_Combat_Screen_Full_,1,116225,4,19,728149
Full_Draw_Combat_Screen_,1,116410,4,19,728334
Draw_Grey_Damage_Bars_,1,117708,4,19,729632
Draw_Ship_Status_,1,119277,4,19,731201
Draw_Weapon_Status_Display_,1,123597,4,19,735521
Draw_Special_Status_Display_,1,125325,4,19,737249
Draw_Blip2_,1,125711,4,19,737635
Draw_Blip3_,1,125826,4,19,737750
Draw_Blip4_,1,126037,4,19,737961
Draw_Blip5_,1,126344,4,19,738268
Draw_Reduced_Map_Box_,1,126801,4,19,738725
Draw_Reduced_Combat_Map_,1,127346,4,19,739270
Draw_Option_Panel_Lights_,1,127874,4,19,739798
Draw_Crew_Level_Stars_,1,128069,4,19,739993
Draw_Main_Combat_Screen_,1,128238,4,19,740162
Draw_Ship_,1,131170,4,19,743094
Combat_Draw_View_Ship_,1,132657,4,19,744581
Detailed_View_Ship_,1,139045,4,19,750969
Draw_Shield_Arcs_,1,139843,4,19,751767
Draw_Weapon_Arcs_,1,141109,4,19,753033
Relative_Bearing_XY_,1,141732,4,19,753656
Relative_Bearing_,1,141856,4,19,753780
Get_Weapon_Arc_,1,142033,4,19,753957
Draw_Ship_To_Bitmap_,1,142118,4,19,754042
Draw_Retreating_Ship_,1,142740,4,19,754664
Get_Ship_Anim_Dimensions_,1,143702,4,19,755626
Remap_Draw_Ship_Status_,1,143769,4,19,755693
Scroll_Draw_Combat_Screen_,1,144707,4,19,756631
Ship_Completely_On_Screen_,1,145831,4,19,757755
Ship_On_Screen_,1,146201,4,19,758125
Display_Combat_View_Ship_,1,146437,4,19,758361
Crew_Quality_String_,1,146682,4,19,758606
Plasma_Darken_,1,146883,4,19,758807
Draw_Bombs_,1,147296,4,19,759220
Create_Ship_Darken_Map_,1,148102,4,19,760026
Get_Draw_Ship_Offsets_,1,148564,4,19,760488
Get_Ship_Center_Draw_XY_,1,148803,4,19,760727
Draw_Internals_Display_,1,148894,4,19,760818
Draw_Fake_Combat_Buttons_,1,149793,4,19,761717
Draw_Legal_Boxes_,1,150198,4,19,762122
Move_Options_Background_,1,150594,4,19,762518
Draw_Board_Popup_,1,151240,5,19,763164
Board_Popup_,1,151491,4,19,763415
Apply_Internal_Damage_,1,152145,4,20,764069
Repair_Combat_Ship_,1,153633,4,20,765557
Clear_Internal_Space_,1,154682,4,20,766606
Combat_Bonus_,1,154710,4,20,766634
Computer_Bonus_,1,154751,4,20,766675
Crew_Boarding_Combat_Bonus_,1,154797,4,20,766721
Crew_Defensive_Combat_Bonus_,1,154829,4,20,766753
Crew_Offensive_Combat_Bonus_,1,154861,4,20,766785
Defensive_Combat_Bonus_,1,154893,4,20,766817
Get_Fleet_Engineer_Bonus_,1,155148,4,20,767072
Fighter_Pilot_Bonus_,1,155242,4,20,767166
Get_Fleet_Pilot_Bonus_,1,155310,4,20,767234
Set_Combat_Ordnance_Values_,1,155402,4,20,767326
Leader_Ordnance_Bonus_,1,155469,4,20,767393
Get_Fleet_Ordnance_Bonus_,1,155518,4,20,767442
Get_Fleet_Commando_Bonus_,1,155610,4,20,767534
Commando_Bonus_,1,155702,4,20,767626
Engineer_Bonus_,1,155770,4,20,767694
Get_Fleet_Security_Bonus_,1,155818,4,20,767742
Security_Bonus_,1,155910,4,20,767834
Fleet_Defensive_Bonus_,1,155961,4,20,767885
Fleet_Offensive_Bonus_,1,156262,4,20,768186
Heal_System_,1,156561,4,20,768485
Init_Internal_Space_,1,156784,4,20,768708
Kill_Crew_,1,157359,4,20,769283
Offensive_Combat_Bonus_,1,157405,4,20,769329
Helmsman_Bonus_,1,157565,4,20,769489
Weaponry_Bonus_,1,157614,4,20,769538
Galactic_Lore_Bonus_,1,157663,4,20,769587
Select_Internal_,1,157712,4,20,769636
Ship_Specials_Defensive_Bonus_,1,158307,4,20,770231
Ship_Specials_Offensive_Bonus_,1,158534,4,20,770458
Total_Internal_Space_,1,158564,4,20,770488
Max_Total_Internal_Space_,1,158690,4,20,770614
Weapons_Left_,1,158816,4,20,770740
Final_Fire_,1,158876,4,20,770800
Defensive_Fire_Check_,1,159441,4,20,771365
Max_Defensive_Fire_Range_,1,160115,4,20,772039
Get_Combat_Ship_Special_Id_,1,160340,4,20,772264
Init_Boarding_Action_,1,160445,4,20,772369
Resolve_Raid_,1,160520,4,20,772444
Resolve_Capture_,1,163240,4,20,775164
Capture_Ship_,1,164626,4,20,776550
Select_Raid_Internal_,1,165032,4,20,776956
Damage_From_Ship_Exploding_,1,165462,4,20,777386
Apply_Combat_Artemis_Net_,1,165519,4,20,777443
Combat_Ship_Done_,1,165946,4,20,777870
Set_Combat_Ship_Done_,1,165976,4,20,777900
Used_Teleporter_,1,166006,4,20,777930
Set_Teleporter_Used_,1,166028,4,20,777952
Already_Boarded_,1,166050,4,20,777974
Set_Boarded_Flag_,1,166072,4,20,777996
Being_Captured_,1,166094,4,20,778018
Set_Capturing_Flag_,1,166119,4,20,778043
Clear_Capturing_Flag_,1,166144,4,20,778068
Retarget_Missiles_Aimed_At_,1,166174,4,21,778098
Is_Combat_Ship_Dead_,1,166266,4,21,778190
Target_Is_Legal_For_Weapon_,1,166376,4,21,778300
Fire_Ship_,1,166750,4,21,778674
Get_Beam_Range_To_Hit_Bonus_,1,168966,4,21,780890
Get_Beam_Weapon_Modifiers_,1,169012,4,21,780936
Fire_Beam_Weapon_,1,169207,4,21,781131
Apply_Ship_Damage_,1,170373,4,21,782297
Facing_Shield_,1,171488,4,21,783412
Destroy_Ship_,1,171541,4,21,783465
Weapon_In_Range_,1,171805,4,21,783729
Apply_Damage_To_Missile_,1,172217,4,21,784141
Does_Combat_Planet_Have_Defenses_,1,172354,4,21,784278
Destroy_Colony_Defense_,1,172446,4,21,784370
Apply_Damage_To_Planet_,1,172995,4,21,784919
Fire_Bomb_,1,173770,4,21,785694
Weapon_Can_Fire_At_Missiles_,1,173994,4,21,785918
Place_Ship_In_Stasis_,1,174098,4,21,786022
Fire_Special_Weapon_,1,174127,4,21,786051
Fire_Fighter_Bomb_,1,175136,4,21,787060
Fire_Fighter_Beam_,1,175447,4,21,787371
Remove_Stasis_Beam_,1,176051,4,21,787975
Special_Is_On_,1,176101,4,21,788025
Special_Is_Turned_On_,1,176132,4,21,788056
Energy_Absorber_Attack_,1,176247,4,21,788171
Pre_Weapon_Specials_,1,176946,4,21,788870
Draw_Energy_Absorber_,1,177133,4,21,789057
Draw_BHG_,1,177344,4,21,789268
BHG_,1,177703,4,21,789627
_missile_group_offset,1,178237,5,22,790161
_torpedo_group_offset,1,178749,5,22,790673
Missile_Owner_,1,179005,4,22,790929
Missile_Type_,1,179024,4,22,790948
Coord_Movement_,1,179190,4,22,791114
Kill_Missile_,1,179328,4,22,791252
Did_Missile_Hit_,1,179405,4,22,791329
Picture_Count_,1,179500,5,22,791424
Get_Multiple_Torpedo_Coords_,1,179674,5,22,791598
Get_Multiple_Missile_Coords_,1,180082,5,22,792006
Draw_Missile_,1,180956,4,22,792880
Draw_Missile_Status_,1,181561,4,22,793485
Draw_Missiles_,1,182324,4,22,794248
Fire_Missile_,1,182418,4,22,794342
Missile_Coord_Movement_,1,183332,4,22,795256
Missile_Facing_To_XY_,1,183410,4,22,795334
Missile_Facing_,1,183452,4,22,795376
Missile_Speed_,1,183585,4,22,795509
Missile_On_Combat_Screen_,1,183887,4,22,795811
Move_Missile_,1,183991,4,22,795915
Next_Missile_Id_,1,184861,4,22,796785
On_Combat_Screen_,1,184921,4,22,796845
Is_Missile_Target_Alive_,1,184985,4,22,796909
Resolve_Missile_,1,185055,4,22,796979
Find_Weakest_Shield_,1,187279,4,22,799203
Draw_Fighter_,1,187345,4,22,799269
Retarget_Missile_,1,187864,4,22,799788
Fighter_Ocv_,1,188301,4,22,800225
Missile_Dcv_,1,188384,4,22,800308
Get_Missile_Hits_,1,188565,4,22,800489
Fighter_Combat_SFX_,1,188836,4,22,800760
Ship_Is_In_Stasis_,1,189795,4,23,801719
Ship_In_Black_Hole_,1,189820,4,23,801744
Draw_Teleporting_Ship_,1,189848,4,23,801772
Rotate_Ship_Until_Impact_,1,190377,4,23,802301
Ship_In_Legal_Square_,1,190985,4,23,802909
Test_Move_Until_Impact_,1,191141,4,23,803065
Move_Ship_,1,192015,4,23,803939
Get_Facing_,1,194033,4,23,805957
Rotate_Ship_,1,194088,4,23,806012
Turn_Cost_,1,194851,4,23,806775
Move_Cost_,1,194911,4,23,806835
Turn_To_Face_,1,195169,4,23,807093
Wait_Until_Net_Opponent_Finished_,1,195582,4,23,807506
Tactical_Combat_Receive_Message_,1,195800,4,23,807724
Message_Box_Titled_,1,196010,4,24,807934
QLoad_Combat_Antaran_Ship_,1,196020,4,24,807944
QLoad_Antaran_Defense_Fleet_,1,196338,4,24,808262
Get_Leader_Combat_Bonuses_,1,196660,4,24,808584
Strategic_Combat_,1,196936,4,24,808860
Apply_Damage_To_Qship_,1,199722,4,24,811646
Get_Non_Player_Name_,1,199875,4,24,811799
Build_End_Of_Combat_Message_,1,200000,4,24,811924
Qload_Ships_,1,202447,4,24,814371
QGet_Hits_Bonus_,1,204322,4,24,816246
QGet_Target_,1,204424,4,24,816348
QGet_Target_SC_,1,204576,4,24,816500
Missile_Attack_,1,204672,4,24,816596
Strat_Bomb_Attack_,1,204992,4,24,816916
Stellar_Converter_Attack_,1,205115,4,24,817039
Draw_Qcombat_,1,205147,4,24,817071
Strat_Special_Attack_,1,205148,4,24,817072
Beam_Attack_,1,205343,4,24,817267
Combat_Satelite_Check_,1,205644,4,24,817568
Get_Colony_Hits_,1,205681,4,24,817605
Resolve_Strat_Colony_Damage_,1,205814,4,24,817738
Strategic_Bombardment_,1,206206,4,24,818130
Bombardment_,1,206459,4,24,818383
Tactical_Bombardment_,1,206721,4,24,818645
Get_Number_Of_Ships_In_Stasis_,1,207342,4,25,819266
Combat_Ship_Is_Functional_,1,207399,4,25,819323
Enemy_Dissipator_Exists_,1,207457,4,25,819381
Ship_Controlled_By_Computer_,1,207551,4,25,819475
Send_Tactical_Combat_Message_,1,207631,4,25,819555
Init_Ship_For_Start_Of_Turn_,1,207728,4,25,819652
Set_Ocv_Dcv_For_All_,1,208360,4,25,820284
