caller_module,callee_module,relationships,call_sites
D:\MOX\OTHERS\NEWGAME.C,D:\MOX\OTHERS\ESTRINGS.C,2,46
D:\MOX\OTHERS\COLBLDG.C,D:\MOX\OTHERS\COLONY.C,26,45
D:\MOX\OTHERS\AIDUDES.C,D:\MOX\OTHERS\COLCALC.C,18,44
D:\MOX\OTHERS\AIMOVE.C,D:\MOX\OTHERS\SHIPMOVE.C,30,43
D:\MOX\OTHERS\FLEETPOP.C,D:\MOX\OTHERS\HACCESS.C,34,40
D:\MOX\OTHERS\FLT2.C,D:\MOX\OTHERS\HAROLD.C,18,40
D:\MOX\DIP-SCRN.C,D:\MOX\OTHERS\COLCALC.C,29,39
D:\MOX\RACESCRN.C,D:\MOX\JIM.C,6,39
D:\MOX\OTHERS\FLT1.C,D:\MOX\OTHERS\HAROLD.C,20,38
D:\MOX\OTHERS\MAPGEN.C,D:\MOX\OTHERS\HAROLD.C,19,38
L:\MOX\FILEDEF.C,D:\MOX\OTHERS\RUSS.C,10,38
D:\MOX\OTHERS\MAINSCR2.C,D:\MOX\OTHERS\MAINSCR.C,35,37
D:\MOX\OTHERS\COMBAT1.C,D:\MOX\OTHERS\CMBTMOV1.C,14,37
D:\MOX\OTHERS\MAINPUPS.C,L:\MOX\MOX2.C,20,36
D:\MOX\OTHERS\AIDATA.C,D:\MOX\OTHERS\RUSS.C,5,35
D:\MOX\OTHERS\NETSTART.C,D:\MOX\OTHERS\MULTPLAY.C,28,34
D:\MOX\OTHERS\FLT1.C,D:\MOX\OTHERS\HACCESS.C,23,34
D:\MOX\OTHERS\COLSYSDI.C,D:\MOX\OTHERS\ESTRINGS.C,2,34
D:\MOX\OTHERS\COLMOVE.C,D:\MOX\OTHERS\COLONY.C,17,33
D:\MOX\OTHERS\COLDRAW.C,D:\MOX\OTHERS\COLONY.C,16,33
D:\MOX\OTHERS\CMBTSPEC.C,D:\MOX\OTHERS\COMBINIT.C,23,32
D:\MOX\OTHERS\AIDESIGN.C,D:\MOX\OTHERS\DESIGN.C,19,32
D:\MOX\INFO.C,D:\MOX\LIST.C,31,31
D:\MOX\OTHERS\CMBTFIRE.C,D:\MOX\OTHERS\COMBINIT.C,15,31
D:\MOX\OTHERS\COLREFIT.C,D:\MOX\OTHERS\ESTRINGS.C,8,31
D:\MOX\OTHERS\DESIGN.C,D:\MOX\OTHERS\HAROLD.C,6,31
D:\MOX\OTHERS\MAINPUPS.C,D:\MOX\OTHERS\COLONY.C,23,30
D:\MOX\OTHERS\SHIPS.C,D:\MOX\OTHERS\HAROLD.C,18,30
D:\MOX\OTHERS\MAINPUPS.C,D:\MOX\OTHERS\OFFICER.C,17,30
D:\MOX\COUNCIL.C,D:\MOX\JIM.C,14,29
D:\MOX\OTHERS\COLMOVE.C,D:\MOX\OTHERS\ESTRINGS.C,4,28
D:\MOX\OTHERS\COMBINIT.C,D:\MOX\OTHERS\INITSHIP.C,22,27
D:\MOX\NPCDIPLO.C,D:\MOX\DIPLOMAC.C,16,27
D:\MOX\OTHERS\AIBUILD.C,D:\MOX\OTHERS\COLCALC.C,12,27
D:\MOX\OTHERS\MAINSCR.C,D:\MOX\OTHERS\FLEETPOP.C,21,26
D:\MOX\OTHERS\COMBAT1.C,D:\MOX\OTHERS\CMBTDRW1.C,14,26
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\ERIC.C,20,25
D:\MOX\OTHERS\MAINPUPS.C,D:\MOX\FIELDSAV.C,18,25
D:\MOX\OTHERS\MULTPLAY.C,D:\MOX\OTHERS\HAROLD.C,17,25
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\NETMOX.C,16,25
D:\MOX\OTHERS\AIMOVE.C,D:\MOX\OTHERS\RUSS.C,11,25
D:\MOX\OTHERS\SPY.C,D:\MOX\BILL.C,10,25
D:\MOX\OTHERS\TECHINIT.C,D:\MOX\OTHERS\RUSS.C,2,25
D:\MOX\OTHERS\MAINSCR.C,D:\MOX\OTHERS\SHIPS.C,22,24
D:\MOX\OTHERS\COLSUM.C,D:\MOX\OTHERS\COLONY.C,21,24
D:\MOX\OTHERS\MAINSCR.C,L:\MOX\MOX2.C,14,24
D:\MOX\OTHERS\COLBLDG.C,D:\MOX\OTHERS\ERIC.C,12,24
D:\MOX\TECH.C,D:\MOX\OTHERS\RUSS.C,2,24
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\COLCALC.C,21,23
D:\MOX\OTHERS\SYS.C,D:\MOX\OTHERS\MISC.C,19,23
D:\MOX\OTHERS\COMBAT1.C,D:\MOX\OTHERS\CMBTFIR2.C,16,23
D:\MOX\OTHERS\MAINPUPS.C,D:\MOX\OTHERS\ERIC.C,15,23
D:\MOX\INFO.C,D:\MOX\JIM.C,14,23
D:\MOX\OTHERS\CMBTAI.C,D:\MOX\OTHERS\COMBINIT.C,14,23
D:\MOX\OTHERS\DESBOX.C,D:\MOX\OTHERS\HAROLD.C,8,23
D:\MOX\OTHERS\DESIGN.C,D:\MOX\OTHERS\MISC.C,8,23
D:\MOX\OTHERS\SHIPS.C,D:\MOX\OTHERS\HACCESS.C,21,22
D:\MOX\OTHERS\COLGCBT.C,D:\MOX\OTHERS\COLONY.C,18,22
D:\MOX\DIP-SCRN.C,D:\MOX\NPCDIPLO.C,17,22
D:\MOX\OTHERS\MULTPLAY.C,L:\MOX\MOX2.C,17,22
D:\MOX\DIP-SCRN.C,D:\MOX\OTHERS\NETMOX.C,14,22
D:\MOX\OTHERS\CMBTSPEC.C,L:\MOX\ERICNET.C,14,22
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\RUSS.C,5,22
D:\MOX\OTHERS\CMBTAI.C,D:\MOX\OTHERS\CMBTFIRE.C,18,21
D:\MOX\OTHERS\COLBLDG.C,D:\MOX\BILL.C,12,21
D:\MOX\OTHERS\COLCALC.C,D:\MOX\OTHERS\OFFICER.C,12,21
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\ERICHELP.C,12,21
D:\MOX\OTHERS\COMBINIT.C,D:\MOX\OTHERS\COMBAT1.C,9,21
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\RUSS.C,7,21
D:\MOX\OTHERS\DESIGN.C,D:\MOX\OTHERS\INITSHIP.C,20,20
D:\MOX\OTHERS\AIPOWER.C,D:\MOX\OTHERS\INITSHIP.C,19,20
D:\MOX\OTHERS\COMBAT.C,D:\MOX\OTHERS\INITSHIP.C,19,20
D:\MOX\OTHERS\CMBTAI.C,D:\MOX\OTHERS\CMBTFIR2.C,14,20
D:\MOX\OTHERS\CMBTSPEC.C,L:\MOX\MOX2.C,14,20
D:\MOX\OTHERS\MAINSCR2.C,D:\MOX\OTHERS\MOVEBOX.C,12,20
D:\MOX\OTHERS\NETSTART.C,D:\MOX\OTHERS\RUSS.C,10,20
D:\MOX\OTHERS\COLCALC.C,D:\MOX\EVENTS.C,19,19
D:\MOX\RACESCRN.C,D:\MOX\OTHERS\NETMOX.C,15,19
D:\MOX\OTHERS\COMBAT1.C,D:\MOX\OTHERS\COMBINIT.C,10,19
D:\MOX\OTHERS\SCORE.C,D:\MOX\OTHERS\MISC.C,10,19
D:\MOX\OTHERS\COLMOVE.C,D:\MOX\OTHERS\ERIC.C,4,19
D:\MOX\OTHERS\MAINSCR.C,D:\MOX\OTHERS\RUSS.C,4,19
D:\MOX\OTHERS\CMBTFIR2.C,D:\MOX\OTHERS\KEN.C,3,19
D:\MOX\OTHERS\CMBTFIR2.C,D:\MOX\OTHERS\COMBINIT.C,14,18
D:\MOX\OTHERS\COMBAT1.C,D:\MOX\OTHERS\CMBTFIRE.C,12,18
D:\MOX\OTHERS\FLEETPOP.C,D:\MOX\OTHERS\HAROLD.C,11,18
D:\MOX\OTHERS\LOADSAVE.C,L:\MOX\FILEDEF.C,16,17
D:\MOX\OTHERS\CMBTMOV1.C,D:\MOX\OTHERS\CMBTDRW1.C,15,17
D:\MOX\OTHERS\CMBTDRW1.C,L:\MOX\MOX2.C,11,17
D:\MOX\OTHERS\HOMEGEN.C,D:\MOX\OTHERS\HAROLD.C,11,17
D:\MOX\OTHERS\SCORE.C,D:\MOX\OTHERS\HAROLD.C,11,17
D:\MOX\OTHERS\RACEOPT.C,L:\MOX\MOX2.C,4,17
D:\MOX\OTHERS\CMBTDRW1.C,D:\MOX\OTHERS\RUSS.C,1,17
D:\MOX\OTHERS\CMBTDRW1.C,D:\MOX\OTHERS\COMBINIT.C,14,16
D:\MOX\OTHERS\COMBINIT.C,D:\MOX\OTHERS\CMBTFIR2.C,14,16
D:\MOX\OTHERS\NETSTART.C,D:\MOX\OTHERS\NETMOX.C,14,16
D:\MOX\OTHERS\COLREFIT.C,D:\MOX\OTHERS\COLONY.C,12,16
D:\MOX\OTHERS\BEAMS.C,D:\MOX\OTHERS\CMBTDRW1.C,11,16
D:\MOX\OTHERS\AIBUILD.C,D:\MOX\OTHERS\RUSS.C,7,16
D:\MOX\OTHERS\HOMEGEN.C,D:\MOX\OTHERS\RUSS.C,6,16
D:\MOX\TECH.C,D:\MOX\JIM.C,6,16
D:\MOX\OTHERS\NETSTART.C,L:\MOX\MOX2.C,5,16
D:\MOX\OTHERS\COLBOMB.C,D:\MOX\OTHERS\ESTRINGS.C,2,16
D:\MOX\OTHERS\FLT1.C,D:\MOX\OTHERS\FLT2.C,14,15
D:\MOX\OTHERS\MAINSCR2.C,D:\MOX\OTHERS\HACCESS.C,14,15
D:\MOX\OTHERS\CMBTFIRE.C,D:\MOX\OTHERS\CMBTMIS.C,13,15
D:\MOX\OTHERS\OFFICER.C,D:\MOX\OTHERS\COLCALC.C,13,15
D:\MOX\SCIENCE.C,D:\MOX\JIM.C,13,15
D:\MOX\DIP-SCRN.C,D:\MOX\OTHERS\ERIC.C,12,15
D:\MOX\RACESCRN.C,D:\MOX\BILL.C,11,15
D:\MOX\OTHERS\CMBTMOV1.C,D:\MOX\OTHERS\COMBINIT.C,9,15
D:\MOX\OTHERS\COMBINIT.C,D:\MOX\OTHERS\DESIGN.C,5,15
D:\MOX\OTHERS\CMBTAI.C,D:\MOX\OTHERS\CMBTMOV1.C,14,14
D:\MOX\OTHERS\FLT2.C,D:\MOX\OTHERS\HACCESS.C,14,14
D:\MOX\OTHERS\CMBTAI.C,D:\MOX\OTHERS\CMBTDRW1.C,13,14
D:\MOX\OTHERS\CMBTFIRE.C,D:\MOX\OTHERS\CMBTDRW1.C,12,14
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\MAINSCR.C,11,14
D:\MOX\OTHERS\LOADSAVE.C,D:\MOX\OTHERS\MAINSCR.C,11,14
D:\MOX\NPCDIPLO.C,D:\MOX\OTHERS\COLCALC.C,8,14
D:\MOX\OTHERS\CMBTMIS.C,D:\MOX\OTHERS\COMBINIT.C,7,14
D:\MOX\OTHERS\COLBLDG.C,D:\MOX\OTHERS\COLCALC.C,7,14
D:\MOX\OTHERS\NETSTART.C,D:\MOX\OTHERS\GENDRAW.C,7,14
D:\MOX\OTHERS\COLGCBT.C,D:\MOX\OTHERS\ESTRINGS.C,6,14
D:\MOX\OTHERS\MAINSCR2.C,D:\MOX\OTHERS\HAROLD.C,5,14
D:\MOX\OTHERS\HOMEGEN.C,D:\MOX\OTHERS\MAPGEN.C,13,13
D:\MOX\OTHERS\COLLAND.C,D:\MOX\OTHERS\COLONY.C,12,13
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\COLCALC.C,12,13
D:\MOX\OTHERS\DESIGN.C,D:\MOX\OTHERS\HACCESS.C,12,13
D:\MOX\OTHERS\OFFICER.C,D:\MOX\OTHERS\HACCESS.C,12,13
D:\MOX\OTHERS\PLNTSUM.C,D:\MOX\OTHERS\HACCESS.C,12,13
D:\MOX\OTHERS\INVASION.C,D:\MOX\OTHERS\COLCALC.C,11,13
D:\MOX\OTHERS\OFFICER.C,D:\MOX\OTHERS\MISC.C,11,13
D:\MOX\OTHERS\MAINPUPS.C,D:\MOX\OTHERS\HACCESS.C,9,13
D:\MOX\OTHERS\MAINPUPS.C,D:\MOX\OTHERS\MAINSCR.C,9,13
D:\MOX\OTHERS\COLSUM.C,D:\MOX\OTHERS\COLXPORT.C,8,13
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\ERIC.C,8,13
L:\MOX\ERICNET.C,D:\MOX\OTHERS\COLBLDG.C,4,13
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\COLDRAW.C,12,12
D:\MOX\OTHERS\AIDATA.C,D:\MOX\OTHERS\COLCALC.C,9,12
D:\MOX\OTHERS\CMBTFIRE.C,D:\MOX\OTHERS\CMBTSPEC.C,9,12
D:\MOX\OTHERS\TEXTBOX.C,D:\MOX\OTHERS\MISC.C,9,12
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\MULTPLAY.C,8,12
D:\MOX\JIM.C,D:\MOX\OTHERS\RUSS.C,7,12
D:\MOX\OTHERS\BEAMS.C,D:\MOX\OTHERS\COMBINIT.C,7,12
D:\MOX\OTHERS\COLSUM.C,D:\MOX\OTHERS\ERIC.C,6,12
D:\MOX\EVENTS.C,D:\MOX\OTHERS\COLCALC.C,5,12
D:\MOX\OTHERS\MAPGEN.C,D:\MOX\OTHERS\GEO.C,5,12
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\BOMB.C,4,12
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\HAROLD.C,3,12
D:\MOX\OTHERS\MAINMENU.C,D:\MOX\OTHERS\RUSS.C,3,12
D:\MOX\OTHERS\COMBAT1.C,D:\MOX\OTHERS\CMBTSPEC.C,2,12
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\COLMOVE.C,11,11
D:\MOX\TECH.C,D:\MOX\LIST.C,11,11
D:\MOX\OTHERS\CMBTFIR2.C,D:\MOX\OTHERS\CMBTFIRE.C,10,11
D:\MOX\OTHERS\CMBTMIS.C,D:\MOX\OTHERS\CMBTFIRE.C,10,11
D:\MOX\OTHERS\MAINPUPS.C,D:\MOX\OTHERS\ERICHELP.C,10,11
D:\MOX\OTHERS\OFFICER.C,D:\MOX\OTHERS\SYS.C,10,11
D:\MOX\OTHERS\CMBTFIR2.C,D:\MOX\OTHERS\OFFICER.C,9,11
D:\MOX\OTHERS\COLBOMB.C,D:\MOX\OTHERS\COLONY.C,8,11
D:\MOX\OTHERS\FLEETPOP.C,D:\MOX\OTHERS\MISC.C,8,11
D:\MOX\OTHERS\MAINSCR2.C,L:\MOX\MOX2.C,8,11
D:\MOX\OTHERS\COLCALC.C,D:\MOX\OTHERS\RUSS.C,7,11
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\OFFICER.C,7,11
D:\MOX\COUNCIL.C,D:\MOX\DIPLOMAC.C,6,11
D:\MOX\OTHERS\PLNTSUM.C,D:\MOX\OTHERS\GENDRAW.C,6,11
D:\MOX\OTHERS\NEWGAME.C,D:\MOX\OTHERS\FAKEBUTS.C,5,11
D:\MOX\OTHERS\RACEOPT.C,D:\MOX\OTHERS\KEN.C,2,11
D:\MOX\OTHERS\CMBTDRW1.C,D:\MOX\OTHERS\COMBAT1.C,10,10
D:\MOX\OTHERS\CMBTMIS.C,D:\MOX\OTHERS\BEAMS.C,10,10
D:\MOX\INFO.C,L:\MOX\MOX2.C,9,10
D:\MOX\OTHERS\COMBAT.C,D:\MOX\OTHERS\CMBTFIR2.C,9,10
D:\MOX\OTHERS\DESBOX.C,D:\MOX\OTHERS\TEXTBOX.C,8,10
D:\MOX\OTHERS\OFFICER.C,D:\MOX\OTHERS\MAINSCR.C,8,10
D:\MOX\OTHERS\CMBTMIS.C,D:\MOX\OTHERS\CMBTDRW1.C,7,10
D:\MOX\OTHERS\CMBTDRW1.C,D:\MOX\OTHERS\CMBTMIS.C,6,10
D:\MOX\OTHERS\COMBINIT.C,D:\MOX\OTHERS\CMBTDRW1.C,6,10
D:\MOX\OTHERS\HOMEGEN.C,D:\MOX\OTHERS\MISC.C,5,10
D:\MOX\OTHERS\NETTURN.C,D:\MOX\OTHERS\MULTPLAY.C,5,10
D:\MOX\OTHERS\RACEOPT.C,D:\MOX\OTHERS\GENDRAW.C,3,10
D:\MOX\OTHERS\COMBAT1.C,D:\MOX\OTHERS\KEN.C,2,10
D:\MOX\OTHERS\DESIGN.C,D:\MOX\OTHERS\RUSS.C,2,10
D:\MOX\OTHERS\SCORE.C,D:\MOX\OTHERS\ESTRINGS.C,2,10
D:\MOX\DIP-SCRN.C,L:\MOX\MOX2.C,9,9
D:\MOX\OTHERS\CMBTAI.C,D:\MOX\OTHERS\COMBAT1.C,9,9
D:\MOX\OTHERS\CMBTMOV1.C,D:\MOX\OTHERS\CMBTMIS.C,9,9
D:\MOX\OTHERS\NETMOX.C,D:\MOX\OTHERS\COMBFIND.C,9,9
D:\MOX\TURNSUM.C,D:\MOX\LIST.C,9,9
D:\MOX\OTHERS\CMBTAI.C,D:\MOX\OTHERS\CMBTMIS.C,8,9
D:\MOX\OTHERS\MAINSCR.C,D:\MOX\OTHERS\ERIC.C,8,9
D:\MOX\OTHERS\NETTURN.C,D:\MOX\OTHERS\NETMOX.C,8,9
L:\MOX\FILEDEF.C,D:\MOX\OTHERS\HAROLD.C,8,9
D:\MOX\OTHERS\MAINSCR.C,D:\MOX\OTHERS\SYS.C,6,9
D:\MOX\TECH.C,L:\MOX\MOX2.C,6,9
D:\MOX\OTHERS\MAINSCR.C,D:\MOX\OTHERS\EVANHELP.C,5,9
D:\MOX\OTHERS\TEXTBOX.C,D:\MOX\FMTPARA.C,5,9
D:\MOX\OTHERS\CMBTDRW1.C,D:\MOX\OTHERS\CMBTFIR2.C,4,9
D:\MOX\OTHERS\COMBAT1.C,D:\MOX\OTHERS\GENDRAW.C,3,9
D:\MOX\OTHERS\NEWPUP.C,D:\MOX\OTHERS\ESTRINGS.C,3,9
D:\MOX\OTHERS\RACESEL.C,L:\MOX\MOX2.C,3,9
D:\MOX\OTHERS\AIDESIGN.C,D:\MOX\OTHERS\INITSHIP.C,8,8
D:\MOX\OTHERS\CMBTFIRE.C,D:\MOX\OTHERS\CMBTAI.C,8,8
D:\MOX\OTHERS\CMBTSPEC.C,D:\MOX\OTHERS\BEAMS.C,8,8
D:\MOX\OTHERS\COLCALC.C,D:\MOX\OTHERS\SHIPMOVE.C,8,8
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\COLBCACH.C,8,8
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\COLBLDG.C,8,8
D:\MOX\OTHERS\COLREFIT.C,L:\MOX\MOX2.C,8,8
D:\MOX\OTHERS\COMBAT1.C,D:\MOX\OTHERS\CMBTMIS.C,8,8
D:\MOX\OTHERS\DESBOX.C,D:\MOX\OTHERS\SCROLL.C,8,8
D:\MOX\OTHERS\ERIC.C,L:\MOX\MOX2.C,8,8
D:\MOX\OTHERS\PLNTSUM.C,D:\MOX\OTHERS\SHIPMOVE.C,8,8
D:\MOX\DIPLOMAC.C,D:\MOX\NPCDIPLO.C,7,8
D:\MOX\INFO.C,D:\MOX\BILL.C,7,8
D:\MOX\OTHERS\CMBTDRW1.C,D:\MOX\OTHERS\CMBTFIRE.C,7,8
D:\MOX\OTHERS\LOADSAVE.C,L:\MOX\MOX2.C,7,8
D:\MOX\OTHERS\MOVEBOX.C,D:\MOX\OTHERS\HAROLD.C,7,8
D:\MOX\OTHERS\MULTPLAY.C,D:\MOX\OTHERS\GENDRAW.C,7,8
D:\MOX\OTHERS\PLNTSUM.C,D:\MOX\OTHERS\MOVEBOX.C,7,8
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\COLCALC.C,7,8
D:\MOX\NPCDIPLO.C,D:\MOX\OTHERS\NEWTECH.C,6,8
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\FAKEBUTS.C,6,8
D:\MOX\OTHERS\FLT1.C,D:\MOX\OTHERS\MOVEBOX.C,6,8
D:\MOX\OTHERS\LOADSAVE.C,D:\MOX\OTHERS\MISC.C,6,8
D:\MOX\EVENTS.C,D:\MOX\JIM.C,5,8
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\COMBAT.C,5,8
D:\MOX\TECH.C,D:\MOX\BILL.C,5,8
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\HACCESS.C,4,8
D:\MOX\OTHERS\REPORT.C,D:\MOX\OTHERS\NAMESTAR.C,4,8
D:\MOX\OTHERS\COLSUM.C,D:\MOX\OTHERS\COLBLDG.C,3,8
D:\MOX\OTHERS\COLLAND.C,D:\MOX\OTHERS\ESTRINGS.C,2,8
D:\MOX\OTHERS\COLXPORT.C,D:\MOX\OTHERS\ESTRINGS.C,2,8
D:\MOX\RACERPRT.C,D:\MOX\JIM.C,2,8
D:\MOX\OTHERS\CMBTFIR2.C,D:\MOX\FMTPARA.C,1,8
D:\MOX\RACERPRT.C,D:\MOX\OTHERS\RUSS.C,1,8
D:\MOX\DIPLOMAC.C,D:\MOX\OTHERS\COLCALC.C,7,7
D:\MOX\INFO.C,D:\MOX\BILLHELP.C,7,7
D:\MOX\OTHERS\AILEADER.C,D:\MOX\OTHERS\OFFICER.C,7,7
D:\MOX\OTHERS\CMBTSPEC.C,D:\MOX\OTHERS\CMBTMIS.C,7,7
D:\MOX\OTHERS\INITSHIP.C,D:\MOX\OTHERS\DESIGN.C,7,7
D:\MOX\OTHERS\OFFICER.C,D:\MOX\OTHERS\FLT2.C,7,7
D:\MOX\OTHERS\SHIPMOVE.C,D:\MOX\OTHERS\GEO.C,7,7
L:\MOX\INITGAME.C,D:\MOX\OTHERS\MAPGEN.C,7,7
L:\MOX\MOX2.C,D:\MOX\OTHERS\MAINSCR2.C,7,7
D:\MOX\INFO.C,D:\MOX\FMTPARA.C,6,7
D:\MOX\OTHERS\COLCALC.C,D:\MOX\OTHERS\COLBLDG.C,6,7
D:\MOX\OTHERS\DESIGN.C,D:\MOX\OTHERS\DESBOX.C,6,7
D:\MOX\OTHERS\ERIC.C,D:\MOX\SMACK.C,6,7
D:\MOX\OTHERS\FLT1.C,D:\MOX\OTHERS\SHIPS.C,6,7
D:\MOX\OTHERS\MULTPLAY.C,L:\MOX\FILEDEF.C,6,7
D:\MOX\OTHERS\SYS.C,D:\MOX\OTHERS\HACCESS.C,6,7
D:\MOX\OTHERS\COMBAT1.C,D:\MOX\OTHERS\CMBTAI.C,5,7
D:\MOX\OTHERS\ERIC.C,D:\MOX\OTHERS\ESTRINGS.C,5,7
D:\MOX\OTHERS\GENDRAW.C,L:\MOX\MOX2.C,5,7
D:\MOX\OTHERS\MISC.C,D:\MOX\OTHERS\RUSS.C,5,7
D:\MOX\COUNCIL.C,D:\MOX\OTHERS\ERIC.C,4,7
D:\MOX\COUNCIL.C,D:\MOX\OTHERS\RUSS.C,4,7
D:\MOX\OTHERS\COLCALC.C,D:\MOX\OTHERS\MSG.C,4,7
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\INVASION.C,4,7
D:\MOX\OTHERS\DESBOX.C,L:\MOX\MOX2.C,4,7
D:\MOX\OTHERS\MAINSCR2.C,D:\MOX\OTHERS\MISC.C,4,7
D:\MOX\OTHERS\MAPGEN.C,D:\MOX\OTHERS\MISC.C,4,7
D:\MOX\OTHERS\PLNTSUM.C,D:\MOX\OTHERS\RUSS.C,4,7
L:\MOX\MOX2.C,D:\MOX\OTHERS\RUSS.C,4,7
D:\MOX\OTHERS\CMBTSPEC.C,D:\MOX\OTHERS\ESTRINGS.C,3,7
D:\MOX\OTHERS\COMBINIT.C,D:\MOX\OTHERS\OFFICER.C,3,7
D:\MOX\OTHERS\RACESEL.C,D:\MOX\OTHERS\NETSTART.C,3,7
D:\MOX\SCIENCE.C,L:\MOX\MOX2.C,3,7
D:\MOX\OTHERS\OFFICER.C,D:\MOX\OTHERS\RUSS.C,2,7
D:\MOX\OTHERS\RACEOPT.C,D:\MOX\OTHERS\RUSS.C,2,7
L:\MOX\LOADER.C,D:\MOX\OTHERS\RUSS.C,2,7
D:\MOX\OTHERS\NEWGAME.C,D:\MOX\OTHERS\RUSS.C,1,7
D:\MOX\EVENTS.C,D:\MOX\OTHERS\ERIC.C,6,6
D:\MOX\OTHERS\COLSUM.C,D:\MOX\OTHERS\COLDRAW.C,6,6
D:\MOX\OTHERS\COLSUM.C,D:\MOX\OTHERS\COLMOVE.C,6,6
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\MAINPUPS.C,6,6
D:\MOX\OTHERS\COMBINIT.C,D:\MOX\OTHERS\CMBTMOV1.C,6,6
D:\MOX\OTHERS\MAINPUPS.C,D:\MOX\OTHERS\SYS.C,6,6
D:\MOX\OTHERS\OFFICER.C,D:\MOX\OTHERS\FLT1.C,6,6
D:\MOX\OTHERS\SHIPS.C,D:\MOX\OTHERS\INITSHIP.C,6,6
D:\MOX\TECH.C,D:\MOX\BILLHELP.C,6,6
L:\MOX\ERICNET.C,D:\MOX\OTHERS\COLCALC.C,6,6
L:\MOX\INITGAME.C,D:\MOX\OTHERS\HAROLD.C,6,6
L:\MOX\MOX2.C,L:\MOX\FILEDEF.C,6,6
D:\MOX\OTHERS\COLCALC.C,D:\MOX\BILL.C,5,6
D:\MOX\OTHERS\COLREFIT.C,D:\MOX\OTHERS\COLBLDG.C,5,6
D:\MOX\OTHERS\COLSUM.C,D:\MOX\OTHERS\FAKEBUTS.C,5,6
