caller_module_index,caller_module,caller,callee_module_index,callee_module,callee,call_sites
4,L:\MOX\INITGAME.C,Init_New_Game_,4,L:\MOX\INITGAME.C,Make_System_Monsters_Into_Ships_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,4,L:\MOX\INITGAME.C,Set_Defaults_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,4,L:\MOX\INITGAME.C,Set_Initial_Colony_Auto_Selects_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,29,D:\MOX\OTHERS\KEN.C,Ken_Init_,2
4,L:\MOX\INITGAME.C,Init_New_Game_,37,D:\MOX\OTHERS\ADVCIV.C,Advanced_Civilization_Colonies_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,37,D:\MOX\OTHERS\ADVCIV.C,Assign_Advanced_Civilization_Starting_Ships_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,48,D:\MOX\OTHERS\HAROLD.C,Confirm_Planet_And_Star_Index_Link_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,48,D:\MOX\OTHERS\HAROLD.C,Harold_Defaults_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,48,D:\MOX\OTHERS\HAROLD.C,Harold_Init_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,48,D:\MOX\OTHERS\HAROLD.C,Set_All_Visited_Flags_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,49,D:\MOX\OTHERS\HOMEGEN.C,Generate_Home_Worlds_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,49,D:\MOX\OTHERS\HOMEGEN.C,Make_System_Monsters_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,52,D:\MOX\OTHERS\MAINSCR.C,Draw_Mini_Main_Screen_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,52,D:\MOX\OTHERS\MAINSCR.C,Update_Star_Owners_,2
4,L:\MOX\INITGAME.C,Init_New_Game_,54,D:\MOX\OTHERS\MAPGEN.C,Assign_Marooned_Heroes_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,54,D:\MOX\OTHERS\MAPGEN.C,Enforce_Planet_Max_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,54,D:\MOX\OTHERS\MAPGEN.C,Generate_Wormhole_Links_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,54,D:\MOX\OTHERS\MAPGEN.C,Load_Nebula_Pictures_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,54,D:\MOX\OTHERS\MAPGEN.C,Set_Black_Hole_Visited_Flags_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,54,D:\MOX\OTHERS\MAPGEN.C,Universe_Generation_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,58,D:\MOX\OTHERS\OFFICER.C,Allocate_Adv_Civ_Game_Officers_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,79,D:\MOX\OTHERS\ERIC.C,Eric_Defaults_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,79,D:\MOX\OTHERS\ERIC.C,Eric_Init_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,102,D:\MOX\OTHERS\COLCALC.C,Compute_All_Star_Colony_Stuff_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,102,D:\MOX\OTHERS\COLCALC.C,Init_Surrenders_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,102,D:\MOX\OTHERS\COLCALC.C,Twiddle_Initial_Homeworlds_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,103,D:\MOX\OTHERS\COLONIZE.C,Allocate_New_Colony_Slots_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,106,D:\MOX\OTHERS\GEO.C,Initialize_Black_Hole_Blocks_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,106,D:\MOX\OTHERS\GEO.C,Initialize_Star_In_Nebula_Info_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,110,D:\MOX\OTHERS\MSG.C,Allocate_Msg_Slots_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,116,D:\MOX\OTHERS\REPORT.C,Initialize_Reports_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,117,D:\MOX\OTHERS\RUSS.C,Mox_Update_,29
4,L:\MOX\INITGAME.C,Init_New_Game_,117,D:\MOX\OTHERS\RUSS.C,PFMT_,2
4,L:\MOX\INITGAME.C,Init_New_Game_,119,D:\MOX\OTHERS\SHIPMOVE.C,Allocate_New_Ship_Slots_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,121,D:\MOX\OTHERS\TRADE.C,Process_Trade_And_Research_Agreements_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,122,D:\MOX\BILL.C,Bill_Default_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,122,D:\MOX\BILL.C,Bill_Init_,1
4,L:\MOX\INITGAME.C,Init_New_Game_,122,D:\MOX\BILL.C,Cache_Player_Scientist_Anim_,1
4,L:\MOX\INITGAME.C,Init_New_Session_,54,D:\MOX\OTHERS\MAPGEN.C,Load_Nebula_Pictures_,1
4,L:\MOX\INITGAME.C,Init_Players_,11,D:\MOX\RACECUST.C,Race_Customization_,1
4,L:\MOX\INITGAME.C,Init_Players_,27,D:\MOX\DIPLOMAC.C,Init_Diplomatic_Relations_,1
4,L:\MOX\INITGAME.C,Init_Players_,28,D:\MOX\OTHERS\INITSHIP.C,Best_Ship_Fuel_,1
4,L:\MOX\INITGAME.C,Init_Players_,28,D:\MOX\OTHERS\INITSHIP.C,Init_Ship_Designs_,1
4,L:\MOX\INITGAME.C,Init_Players_,29,D:\MOX\OTHERS\KEN.C,Init_NPC_Personalities_Objectives_Themes_,1
4,L:\MOX\INITGAME.C,Init_Players_,33,D:\MOX\OTHERS\TECHINIT.C,Init_Player_Tech_,1
4,L:\MOX\INITGAME.C,Init_Players_,49,D:\MOX\OTHERS\HOMEGEN.C,Assign_Home_Star_Names_,1
4,L:\MOX\INITGAME.C,Init_Players_,117,D:\MOX\OTHERS\RUSS.C,Mox_Update_,16
4,L:\MOX\INITGAME.C,Init_Ships_Array_,119,D:\MOX\OTHERS\SHIPMOVE.C,Allocate_New_Ship_Slots_,1
4,L:\MOX\INITGAME.C,Make_System_Monsters_Into_Ships_,49,D:\MOX\OTHERS\HOMEGEN.C,Random_Planet_,1
4,L:\MOX\INITGAME.C,Make_System_Monsters_Into_Ships_,49,D:\MOX\OTHERS\HOMEGEN.C,Upgrade_Planet_Guarded_By_Monster_,1
4,L:\MOX\INITGAME.C,Make_System_Monsters_Into_Ships_,62,D:\MOX\OTHERS\SHIPS.C,Build_Nonplayer_Ship_,2
4,L:\MOX\INITGAME.C,Set_Default_Game_Settings_,4,L:\MOX\INITGAME.C,Write_Game_Settings_,1
4,L:\MOX\INITGAME.C,Set_Default_Game_Settings_,111,D:\MOX\OTHERS\MULTPLAY.C,Set_Default_Modem_Settings_,1
4,L:\MOX\INITGAME.C,Set_Defaults_,29,D:\MOX\OTHERS\KEN.C,Ken_Init_,1
4,L:\MOX\INITGAME.C,Set_Defaults_,48,D:\MOX\OTHERS\HAROLD.C,Harold_Defaults_,1
4,L:\MOX\INITGAME.C,Set_Defaults_,79,D:\MOX\OTHERS\ERIC.C,Eric_Defaults_,1
4,L:\MOX\INITGAME.C,Set_Defaults_,122,D:\MOX\BILL.C,Bill_Default_,1
4,L:\MOX\INITGAME.C,Set_Initial_Colony_Auto_Selects_,47,D:\MOX\OTHERS\HACCESS.C,Set_Colony_Auto_Select_For_Star_,1
4,L:\MOX\INITGAME.C,Test_Create_Ship_,45,D:\MOX\OTHERS\FLT2.C,Crew_Quality_,1
5,L:\MOX\LOADER.C,Load_Main_Screen_Pictures_,117,D:\MOX\OTHERS\RUSS.C,Mox_Update_,4
5,L:\MOX\LOADER.C,Load_Pictures_,5,L:\MOX\LOADER.C,Load_Main_Screen_Pictures_,1
5,L:\MOX\LOADER.C,Load_Pictures_,33,D:\MOX\OTHERS\TECHINIT.C,Init_Tech_,1
5,L:\MOX\LOADER.C,Load_Pictures_,74,D:\MOX\OTHERS\COLONY.C,Load_Colony_Anims_,1
5,L:\MOX\LOADER.C,Load_Pictures_,117,D:\MOX\OTHERS\RUSS.C,Mox_Update_,3
6,L:\MOX\NEXTTURN.C,Do_Autosave_,3,L:\MOX\FILEDEF.C,Save_Game_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_,1,L:\MOX\MOX2.C,_TOGGLE_PAGES_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_,6,L:\MOX\NEXTTURN.C,Do_Autosave_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_,6,L:\MOX\NEXTTURN.C,Get_Winner_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_,6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_,48,D:\MOX\OTHERS\HAROLD.C,Confirm_Planet_And_Star_Index_Link_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_,60,D:\MOX\OTHERS\SCORE.C,End_Of_Game_Hi_Score_,2
6,L:\MOX\NEXTTURN.C,Next_Turn_,79,D:\MOX\OTHERS\ERIC.C,Fast_Fade_Out_,2
6,L:\MOX\NEXTTURN.C,Next_Turn_,79,D:\MOX\OTHERS\ERIC.C,Play_Antaran_Win_Flic_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_,79,D:\MOX\OTHERS\ERIC.C,Play_Loose_Flic_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_,79,D:\MOX\OTHERS\ERIC.C,Play_Normal_Win_Flic_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_,102,D:\MOX\OTHERS\COLCALC.C,N_Living_Human_Players_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_,102,D:\MOX\OTHERS\COLCALC.C,N_Living_Players_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,7,L:\MOX\ERICNET.C,Do_All_Ships_XP_Check_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,12,D:\MOX\COUNCIL.C,Check_For_Council_Meeting_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,14,D:\MOX\DIP-SCRN.C,Resolve_Delayed_Diplomacy_Orders_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,14,D:\MOX\DIP-SCRN.C,Set_Opportunity_Attacks_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,15,D:\MOX\EVENTS.C,Determine_Event_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,15,D:\MOX\EVENTS.C,Event_Twiddle_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,17,D:\MOX\NPCDIPLO.C,NPC_Diplomacy_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,27,D:\MOX\DIPLOMAC.C,Clear_Diplomacy_Messages_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,27,D:\MOX\DIPLOMAC.C,Determine_Diplomacy_Messages_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,27,D:\MOX\DIPLOMAC.C,Determine_First_Contacts_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,27,D:\MOX\DIPLOMAC.C,Diplomacy_Growth_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,27,D:\MOX\DIPLOMAC.C,End_Of_Turn_Diplomacy_Adjustments_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,28,D:\MOX\OTHERS\INITSHIP.C,Repair_Ships_At_Colonies_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,38,D:\MOX\OTHERS\ANTARANS.C,Antaran_Invasion_Check_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,58,D:\MOX\OTHERS\OFFICER.C,Assert_Marooned_Leaders_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,58,D:\MOX\OTHERS\OFFICER.C,Check_For_Officer_Level_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,58,D:\MOX\OTHERS\OFFICER.C,Decrement_Officer_ETA_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,58,D:\MOX\OTHERS\OFFICER.C,Random_Officer_Check_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,91,D:\MOX\OTHERS\AIBUILD.C,Compute_Empire_Building_Needs_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,92,D:\MOX\OTHERS\AIDATA.C,Compute_AI_Data_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,92,D:\MOX\OTHERS\AIDATA.C,Deallocate_AI_Data_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,93,D:\MOX\OTHERS\AIDUDES.C,All_Colony_AI_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,94,D:\MOX\OTHERS\AILEADER.C,Do_AI_Leaders_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,95,D:\MOX\OTHERS\AIMOVE.C,Move_All_AI_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,97,D:\MOX\OTHERS\AITECH.C,All_AI_Tech_Select_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,97,D:\MOX\OTHERS\AITECH.C,Apply_Evolutionary_Upgrades_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,102,D:\MOX\OTHERS\COLCALC.C,Apply_All_Colony_Changes_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,102,D:\MOX\OTHERS\COLCALC.C,Apply_All_Player_Changes_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,102,D:\MOX\OTHERS\COLCALC.C,Compute_Blockades_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,102,D:\MOX\OTHERS\COLCALC.C,Do_Colony_Calculations_,2
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,102,D:\MOX\OTHERS\COLCALC.C,Do_Surrenders_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,103,D:\MOX\OTHERS\COLONIZE.C,All_AI_Colonize_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,103,D:\MOX\OTHERS\COLONIZE.C,Allocate_New_Colony_Slots_,1
6,L:\MOX\NEXTTURN.C,Next_Turn_Calc_,104,D:\MOX\OTHERS\COMBFIND.C,Search_For_Battles_,1
