module,incoming_modules,outgoing_modules,incoming_relationships,outgoing_relationships,incoming_call_sites,outgoing_call_sites,total_call_sites
D:\MOX\OTHERS\SPY.C,4,8,4,25,5,49,54
D:\MOX\OTHERS\MSG.C,18,4,36,8,44,9,53
D:\MOX\OTHERS\ERICHELP.C,10,0,35,0,50,0,50
D:\MOX\OTHERS\AIDESIGN.C,1,4,3,30,5,43,48
D:\MOX\OTHERS\AIPOWER.C,7,2,19,22,23,25,48
D:\MOX\OTHERS\COLSYSDI.C,1,5,5,9,5,43,48
D:\MOX\FMTPARA.C,16,0,34,0,47,0,47
D:\MOX\OTHERS\EVANHELP.C,15,2,34,3,44,3,47
D:\MOX\OTHERS\RACESEL.C,4,9,6,22,6,41,47
D:\MOX\SCIENCE.C,3,9,3,33,4,42,46
D:\MOX\OTHERS\COLLAND.C,2,11,2,30,2,43,45
D:\MOX\OTHERS\COLXPORT.C,4,10,13,19,18,27,45
D:\MOX\OTHERS\GEO.C,17,0,34,0,44,0,44
D:\MOX\OTHERS\NAMESTAR.C,7,6,21,14,25,16,41
D:\MOX\OTHERS\NETTURN.C,4,10,6,25,6,33,39
D:\MOX\OTHERS\COLBOMB.C,1,5,2,15,3,35,38
D:\MOX\OTHERS\BOMB.C,9,7,17,8,26,9,35
D:\MOX\OTHERS\MAINMENU.C,2,9,2,18,3,31,34
D:\MOX\FIELDSAV.C,4,2,24,2,31,2,33
D:\MOX\OTHERS\TECHINIT.C,3,4,3,6,3,29,32
D:\MOX\RACERPRT.C,1,8,1,15,1,29,30
D:\MOX\OTHERS\SCROLL.C,6,0,27,0,29,0,29
D:\MOX\OTHERS\NEWPUP.C,1,10,1,19,1,26,27
D:\MOX\OTHERS\FAKEBUTS.C,3,1,16,1,25,1,26
D:\MOX\TURNSUM.C,1,9,1,23,1,24,25
D:\MOX\OTHERS\MAINTAIN.C,3,9,3,19,3,20,23
D:\MOX\OTHERS\ASSERT.C,12,0,20,0,20,0,20
D:\MOX\SMACK.C,2,4,7,8,9,11,20
D:\MOX\OTHERS\AITECH.C,5,5,11,5,14,5,19
D:\MOX\OTHERS\COLONIZE.C,4,8,8,10,8,11,19
D:\MOX\OTHERS\ANTARANS.C,5,5,9,7,10,7,17
D:\MOX\ANTAROOM.C,1,5,1,12,1,15,16
D:\MOX\BILLHELP.C,5,0,16,0,16,0,16
D:\MOX\OTHERS\ADVCIV.C,1,6,2,10,2,14,16
D:\MOX\OTHERS\HOTPOP.C,1,8,1,10,1,15,16
D:\MOX\OTHERS\NEWTECH.C,4,2,9,2,11,2,13
D:\MOX\OTHERS\SETTLER.C,3,4,4,6,4,9,13
D:\MOX\OTHERS\TRADE.C,4,3,6,4,6,7,13
D:\MOX\OTHERS\OCPOLPUP.C,2,5,3,6,3,9,12
L:\MOX\LOADER.C,2,3,2,4,2,9,11
D:\MOX\OTHERS\COLBCACH.C,1,2,8,2,8,2,10
D:\MOX\OTHERS\FLCQUEUE.C,2,0,7,0,10,0,10
D:\MOX\OTHERS\AILEADER.C,1,1,1,7,1,7,8
D:\MOX\OTHERS\CONTACT.C,2,2,2,3,2,6,8
D:\MOX\OTHERS\CHAT.C,3,2,3,4,3,4,7
D:\MOX\OTHERS\AIBOMB.C,1,1,2,3,3,3,6
D:\MOX\OTHERS\LOSTSHIP.C,1,3,1,3,1,4,5
D:\MOX\OTHERS\SHIPSTAK.C,2,2,2,2,2,2,4
D:\MOX\OTHERS\AISTAGE.C,1,2,1,2,1,2,3
D:\MOX\OTHERS\FIREPTS.C,1,0,3,0,3,0,3
D:\MOX\OTHERS\AITRADE.C,0,1,0,2,0,2,2
D:\MOX\RACECUST.C,1,0,1,0,1,0,1
L:\MOX\ALLOC.C,1,0,1,0,1,0,1
L:\MOX\MOX.C,1,0,1,0,1,0,1
D:\MOX\OTHERS\ESCROLL.C,0,0,0,0,0,0,0
