name,offset,inferred_end,inferred_size,module_index,kind
Init_Homeworld_Colony_,16295,16311,16,7,4
Init_Advanced_Civilization_Fleet_,16311,16312,1,7,4
Init_Non_Homeworld_Colony_,16312,16345,33,7,4
Add_Building_,16345,17898,1553,7,4
Remove_Building_,17898,18391,493,7,4
Mox_Play_Sound_,18391,18407,16,7,4
Calc_Ship_Level_,18407,18554,147,7,4
Do_Academy_At_Location_Check_,18554,18709,155,7,4
Best_Instructor_Bonus_,18709,18901,192,7,4
Do_XP_For_Ship_,18901,18983,82,7,4
Do_All_Ships_XP_Check_,18983,19080,97,7,4
_rifles,19080,19098,18,8,4
_personal_shields,19098,19104,6,8,4
_planetary_shields,19104,19116,12,8,4
Main_Antaran_Room_Screen_,19116,19453,337,9,4
Draw_Main_Antaran_Room_Screen_,19453,19587,134,9,4
Reload_Main_Antaran_Room_Screen_,19587,19836,249,9,4
Get_Antaran_Room_Message_,19836,19937,101,9,4
Check_Show_Main_Antaran_Room_Screen_,19937,19959,22,9,4
Play_Cinematic_,19959,20613,654,10,4
Smack_Fade_,20613,20709,96,10,4
Draw_Smack_Screen_,20709,20731,22,10,4
Race_Customization_,20731,21049,318,11,4
Main_Council_Screen_,21049,21408,359,12,4
Control_Main_Council_Screen_,21408,21537,129,12,4
Draw_Main_Council_Screen_,21537,22228,691,12,4
Reload_Main_Council_Screen_,22228,23440,1212,12,4
Calc_Council_Vote_,23440,23529,89,12,4
Get_Council_Message_,23529,23984,455,12,4
Next_Council_State_,23984,24056,72,12,4
Council_Finished_Voting_,24056,24252,196,12,4
Council_Votes_,24252,24609,357,12,4
Vote_Check_,24609,25060,451,12,4
Council_Vote_Result_,25060,25404,344,12,4
Council_Player_Vote_,25404,26123,719,12,4
Council_Accept_Ruling_,26123,26799,676,12,4
Check_For_Council_Meeting_,26799,26970,171,12,4
Load_Council_Text_Messages_,26970,27081,111,12,4
Council_Player_Voted_Winner_,27081,27199,118,12,4
Drive_Council_Player_Voted_Winner_,27199,27346,147,12,4
Draw_Council_Player_Voted_Winner_,27346,27644,298,12,4
Get_Player_Voted_Winner_Message_,27644,27726,82,12,4
Diplomacy_Screen_,27726,28416,690,14,4
Draw_Diplomacy_Screen_,28416,29223,807,14,4
Draw_Diplomacy_Synch_Mode_,28416,29223,807,14,4
Get_Main_Repulsive_Diplomacy_Choices_,29223,30092,869,14,4
Get_Main_Diplomacy_Choices_,30092,30791,699,14,4
Diplomacy_Set_Main_Options_,30791,31220,429,14,4
Diplomacy_Declare_War_Resolution_,31220,31569,349,14,4
Setup_Back_Page_,31569,31666,97,14,4
Setup_Ambassador_Pic_,31666,31751,85,14,4
Diplomacy_Fade_In_,31751,32029,278,14,4
Draw_Diplomacy_Fade_In_Screen_,32029,32091,62,14,4
Diplomacy_Propose_Treaty_,32091,32980,889,14,4
Diplomacy_Break_Treaty_,32980,33545,565,14,4
Diplomacy_Break_Treaty_Resolution_,33545,34144,599,14,4
Get_Human_Surrender_Message_,34144,34198,54,14,4
Get_Human_Declare_War_Message_,34198,34237,39,14,4
Get_Human_Offer_Gift_Message_,34237,34515,278,14,4
Get_Human_Demand_Message_,34515,34874,359,14,4
Get_Human_Break_Treaty_Message_,34874,35040,166,14,4
Get_Human_Form_Treaty_Message_,35040,35308,268,14,4
Get_Human_Propose_Treaty_Message_,35308,35479,171,14,4
Get_Human_Tech_Exchange_Message_,35479,35554,75,14,4
Get_Human_Tech_Exchange_First_Message_,35554,35623,69,14,4
Get_Human_Tech_Exchange_Accept_Message_,35623,35646,23,14,4
Get_Human_Tech_Exchange_Decline_Message_,35646,35705,59,14,4
Diplomacy_Demand_,35705,38085,2380,14,4
Diplomacy_Offer_Gift_,38085,39193,1108,14,4
Diplomacy_Display_Response_,39193,39319,126,14,4
Diplomacy_Determine_Treaty_Proposal_,39319,39800,481,14,4
Diplomacy_Need_Better_Offer_,39800,40287,487,14,4
Get_Diplomacy_Tech_List_,40287,40424,137,14,4
Diplomacy_Generic_List_,40424,40742,318,14,4
Diplomacy_Generic_Exchange_Tech_List_,40742,41469,727,14,4
Diplomacy_Generic_System_List_,41469,42029,560,14,4
Draw_Diplomacy_Generic_System_List_,42029,42061,32,14,4
Get_Diplomacy_Demand_Treaty_List_,42061,42247,186,14,4
Npc_Display_Diplomacy_Messages_,42247,43966,1719,14,4
Accepted_Npc_Demand_Resolution_,43966,44050,84,14,4
Get_Non_Player_Proposals_,44050,44725,675,14,4
Npc_Give_Gift_,44725,44960,235,14,4
Show_Sneak_Attack_Message_,44960,44966,6,14,4
Npc_Diplomacy_Screen_,44966,45163,197,14,4
Check_Human_Treaty_Proposal_,45163,45479,316,14,4
Get_Human_Treaty_Choice_,45479,45914,435,14,4
Check_Better_Offer_Available_,45914,46005,91,14,4
Get_Human_Demand_Choice_,46005,46215,210,14,4
Diplomacy_Give_In_To_Demand_,46215,46520,305,14,4
Get_Human_Demand_Response_,46520,46884,364,14,4
Get_Human_Gift_Response_,46884,47099,215,14,4
Get_Human_Tech_Exchange_Choice_,47099,47233,134,14,4
Diplomacy_Load_New_Ambassador_,47233,47406,173,14,4
Diplomacy_Mouse_Init_,47406,48475,1069,14,4
Diplomacy_Human_Need_Better_Offer_,48475,50199,1724,14,4
Check_Surrender_System_,50199,50297,98,14,4
Diplomacy_System_Display_,50297,51176,879,14,4
Draw_Diplomacy_System_Display_,51176,51315,139,14,4
Draw_Diplomacy_System_,51315,51417,102,14,4
Draw_Diplomacy_System_Text_,51417,51836,419,14,4
Diplomacy_System_Scan_,51836,52045,209,14,4
Diplomacy_Exchange_Technology_,52045,53169,1124,14,4
Get_Diplomacy_Tech_Exchange_Lists_,53169,53461,292,14,4
Start_Diplomacy_Music_,53461,53496,35,14,4
Diplomacy_Surrender_,53496,53815,319,14,4
Diplomacy_Offer_Money_,53815,54629,814,14,4
Get_Diplomacy_Statement_,54629,56855,2226,14,4
An_,56855,57080,225,14,4
Get_Net_Diplomacy_Choices_,57080,60695,3615,14,4
Diplomacy_Net_Switcheroo_,60695,60828,133,14,4
Diplomacy_Initial_Synch_Up_,60828,60905,77,14,4
Diplomacy_Listen_Mode_,60905,61275,370,14,4
Diplomacy_Chat_,61275,61628,353,14,4
Draw_Diplomacy_Listen_Mode_,61628,61743,115,14,4
Diplomacy_Synch_Mode_,61743,61821,78,14,4
Start_Net_Treaty_,61821,62000,179,14,4
Diplomacy_Receive_Message_,62000,62283,283,14,4
Get_Listen_Mode_Message_,62283,62332,49,14,4
Load_Diplomacy_Text_Messages_,62332,64531,2199,14,4
Setup_Diplomacy_Help_,64531,64774,243,14,4
Setup_Full_Screen_Diplomacy_Help_,64774,64896,122,14,4
Set_Opportunity_Attacks_,64896,65269,373,14,4
Add_Diplomacy_Turn_Summary_Messages_,65269,65517,248,14,4
Resolve_Delayed_Diplomacy_Orders_,65517,65731,214,14,4
Diplomacy_Main_Net_Chat_,65731,65890,159,14,4
Diplomacy_Message_Is_Interactive_,65890,65956,66,14,4
Init_Events_,65956,66041,85,15,4
Reset_Events_,66041,66111,70,15,4
Check_For_Event_Message_,66111,66174,63,15,4
Check_For_Event_,66174,66333,159,15,4
Start_Main_Event_,66333,66507,174,15,4
Load_Event_Picture_,66507,66560,53,15,4
Drive_Event_Screen_,66560,66656,96,15,4
Draw_Event_Screen_,66656,66872,216,15,4
Event_Fade_In_,66872,67234,362,15,4
Event_Twiddle_,67234,70513,3279,15,4
Setup_Next_Event_,70513,72557,2044,15,4
Get_Event_Message_,72557,74301,1744,15,4
Event_Get_Fleet_Strength_,74301,74506,205,15,4
Determine_Event_,74506,77143,2637,15,4
Get_Event_Victim_,77143,77660,517,15,4
Get_Antaran_Victim_,77660,78006,346,15,4
Player_Has_Bad_Event_,78006,78092,86,15,4
Get_Event_Climate_Change_Colony_,78092,78260,168,15,4
Get_Event_Industrial_Accident_Colony_,78260,78430,170,15,4
Get_Event_Mineral_Depletion_Colony_,78430,78523,93,15,4
Get_Event_Mineral_Deposit_Colony_,78523,78636,113,15,4
Event_Monster_Update_,78636,78763,127,15,4
Event_Race_Eliminated_,78763,78776,13,15,4
Event_Orion_Discovered_,78776,78789,13,15,4
Event_Defeat_Antarans_,78789,78802,13,15,4
Event_Surrender_,78802,78822,20,15,4
Event_Rebel_Assimilation_,78822,78842,20,15,4
Event_Check_Hyperspace_Flux_,78842,78878,36,15,4
Event_Check_Space_Anomaly_,78878,78958,80,15,4
Event_Check_Pirate_Activity_,78958,79032,74,15,4
Event_Check_Plague_,79032,79077,45,15,4
Event_Check_Warp_Beast_,79077,79113,36,15,4
Event_Check_Population_Boom_,79113,79158,45,15,4
Event_Check_Comet_,79158,79203,45,15,4
Event_Check_Planet_Warning_,79203,79679,476,15,4
Event_Check_General_Status_,79679,79744,65,15,4
Allocate_Comet_Hit_,79744,79923,179,15,4
Allocate_Industrial_Accident_Hit_,79923,80040,117,15,4
Allocate_Earthquake_Hit_,80040,80264,224,15,4
Find_Nearest_Player_Colony_to_Ship_,80264,80360,96,15,4
Colony_To_Ship_Dist2_,80360,80479,119,15,4
Pick_Completely_Random_Star_,80479,80680,201,15,4
Ship_Size_Points_At_Star_,80680,80740,60,15,4
Colony_Research_Points_,80740,80765,25,15,4
Pick_Random_Player_In_Contact_,80765,80876,111,15,4
Pick_Random_Star_,80876,81057,181,15,4
Pick_Random_Officer_,81057,81133,76,15,4
Pick_Random_Ship_,81133,81220,87,15,4
Pick_Random_Colony_No_Outpost_,81220,81312,92,15,4
Pick_Random_Colony_No_Capitol_,81312,81406,94,15,4
Event_Check_Colony_Researching_,81406,81504,98,15,4
Colony_Has_Event_,81504,81951,447,15,4
Kill_All_Events_At_Colony_,81951,82639,688,15,4
Event_Check_Space_Anomaly_At_Star_,82639,82684,45,15,4
Star_Has_Event_,82684,83087,403,15,4
Event_Pirate_Activity_Strength_,83087,83217,130,15,4
Determine_Lucky_Players_Events_,83217,83396,179,15,4
Update_Lucky_Players_Events_,83396,83453,57,15,4
Jim_Hot_Key_,83453,83575,122,16,4
Play_Streaming_Music_,83575,84017,442,16,4
Stop_Background_Music_,84017,84047,30,16,4
Play_Background_Music_,84047,84237,190,16,4
Fade_Down_Background_Music_,84237,84332,95,16,4
Play_Combat_Music_,84332,84473,141,16,4
Get_Text_Message_,84473,84682,209,16,4
Decode_Text_Message_,84682,85296,614,16,4
Decode_Text_Name_,85296,85324,28,16,4
Decode_Text_Race_,85296,85324,28,16,4
Decode_Text_Race_And_Name_,85296,85324,28,16,4
Decode_Text_Name_And_Stat_,85324,85354,30,16,4
Decode_Text_Name_And_System_,85354,85379,25,16,4
Decode_Text_Name_And_Tech_,85379,85404,25,16,4
Decode_Text_Name_And_Other_Tech_,85404,85445,41,16,4
Decode_Text_Name_Tech_And_Other_Tech_,85445,85488,43,16,4
Decode_Text_Name_And_Name_,85488,85512,24,16,4
Decode_Text_Stat_,85512,85543,31,16,4
Decode_Text_System_,85543,85566,23,16,4
Decode_Text_Field_,85566,85588,22,16,4
Decode_Text_Year_,85588,85619,31,16,4
Decode_Text_Tech_And_Other_Name_,85619,85654,35,16,4
Bill_Picture_To_Mouse_,85654,85715,61,16,4
Draw_Logos_,85715,86415,700,16,4
Logo_Fade_Out_,86415,86511,96,16,4
Slow_Fade_In_,86511,86617,106,16,4
Check_For_Simtex_Logo_,86617,86695,78,16,4
NPC_Diplomacy_,86695,86725,30,17,4
NPC_Tech_Exchange_,86725,86741,16,17,4
NPC_Threats_,86741,87341,600,17,4
NPC_To_NPC_Treaty_Negotiations_,87341,88786,1445,17,4
Honor_Alliances_,88786,89030,244,17,4
Eliminate_NPC_Treaty_Conflicts_,89030,89212,182,17,4
NPC_Diplomacy_Buildup_Penalties_,89212,89585,373,17,4
NPC_Declarations_Of_War_,89585,91914,2329,17,4
NPC_Peace_Negotiations_,91914,92317,403,17,4
NPC_Required_Alliances_,92317,92560,243,17,4
NPC_To_Human_Diplomacy_,92560,93117,557,17,4
Get_Tech_Exchange_Reaction_,93117,93453,336,17,4
compare_tech_,93453,93458,5,17,4
reverse_compare_tech_,93458,93465,7,17,4
Get_Exchange_Tech_List_,93465,94138,673,17,4
Get_Tech_Exchange_Expectation_,94138,94356,218,17,4
Get_Differential_Tech_List_,94356,94735,379,17,4
NPC_Tech_Exchange_Check_,94735,95086,351,17,4
NPC_Good_Proposal_Check_,95086,95495,409,17,4
Clear_Last_Proposal_Turn_,95495,95583,88,17,4
NPC_Message_Rejection_Check_,95583,95974,391,17,4
NPC_Proposal_Rejection_Accept_,95974,96207,233,17,4
NPC_Treaty_Hatred_,96207,96829,622,17,4
NPC_Surrender_Check_,96829,98086,1257,17,4
Does_Ship_Have_Missiles_Incoming_,98086,98207,121,18,4
Safe_To_Fire_Sphere_Weapon_,98207,98664,457,18,4
Ai_Self_Destruct_Check_,98664,99782,1118,18,4
Release_Smallest_Ship_From_Stasis_,99782,99914,132,18,4
Ai_Stasis_Check_,99914,100072,158,18,4
Range_To_XY_,100072,100406,334,18,4
Range_To_Missile_,100406,100442,36,18,4
Range_To_Ship_,100442,100804,362,18,4
Expected_Weapon_Damage_,100804,102062,1258,18,4
Expected_Missile_Damage_,102062,102618,556,18,4
Expected_Beam_Bomb_Damage_,102618,103384,766,18,4
Missile_Overkill_Check_,103384,103552,168,18,4
Check_For_Launched_Fighters_,103552,103647,95,18,4
Is_Ship_Out_Of_Ammo_,103647,103888,241,18,4
Is_Ship_Targeted_By_Missile_,103888,103958,70,18,4
Toggle_Auto_Combat_Flags_,103958,104336,378,18,4
Crystal_Control_,104336,104503,167,18,4
Do_Auto_Ship_Turn_,104503,106267,1764,18,4
Target_Missile_Value_,106267,106821,554,18,4
Select_Missile_To_Target_,106821,107065,244,18,4
Target_Ship_Value_,107065,107626,561,18,4
Select_Ship_To_Target_,107626,107752,126,18,4
Choose_Target_,107752,107845,93,18,4
Combat_Ship_Class_,107845,108413,568,18,4
Evaluate_Possible_Move_,108413,108560,147,18,4
Bring_Weapons_To_Bear_,108560,108965,405,18,4
Auto_Move_Ship_,108965,109817,852,18,4
Get_Current_Ship_Target_,109817,110290,473,18,4
Will_Missile_Do_Damage_,110290,110505,215,18,4
Get_Current_Missile_Target_,110505,110750,245,18,4
Get_Current_Target_,110750,110993,243,18,4
Convert_Ordinal_To_Msl_Type_,110993,111101,108,18,5
Get_Effective_Missile_Strength_,111101,112588,1487,18,4
Average_Missile_Kills_,112588,113123,535,18,4
Get_Effective_Weapon_Damage_,113123,113246,123,18,4
Get_Effective_Beam_Strength_,113246,113414,168,18,4
Get_Total_Hits_,113414,113569,155,18,4
Retreat_Check_,113569,114213,644,18,4
Get_Long_Range_Beam_Strength_,114213,114547,334,18,4
Resolve_Ai_Boarding_,114547,114985,438,18,4
Boarding_Action_Type_,114985,115770,785,18,4
Get_Player_Mode_,115770,116053,283,18,4
Draw_Super_Fast_Screen_,116053,116225,172,19,4
Refresh_Combat_Screen_Full_,116225,116410,185,19,4
Full_Draw_Combat_Screen_,116410,117708,1298,19,4
Draw_Grey_Damage_Bars_,117708,119277,1569,19,4
Draw_Ship_Status_,119277,123597,4320,19,4
Draw_Weapon_Status_Display_,123597,125325,1728,19,4
Draw_Special_Status_Display_,125325,125711,386,19,4
Draw_Blip2_,125711,125826,115,19,4
Draw_Blip3_,125826,126037,211,19,4
Draw_Blip4_,126037,126344,307,19,4
Draw_Blip5_,126344,126801,457,19,4
Draw_Reduced_Map_Box_,126801,127346,545,19,4
Draw_Reduced_Combat_Map_,127346,127874,528,19,4
Draw_Option_Panel_Lights_,127874,128069,195,19,4
Draw_Crew_Level_Stars_,128069,128238,169,19,4
Draw_Main_Combat_Screen_,128238,131170,2932,19,4
Draw_Ship_,131170,132657,1487,19,4
Combat_Draw_View_Ship_,132657,139045,6388,19,4
Detailed_View_Ship_,139045,139843,798,19,4
Draw_Shield_Arcs_,139843,141109,1266,19,4
Draw_Weapon_Arcs_,141109,141732,623,19,4
Relative_Bearing_XY_,141732,141856,124,19,4
Relative_Bearing_,141856,142033,177,19,4
Get_Weapon_Arc_,142033,142118,85,19,4
Draw_Ship_To_Bitmap_,142118,142740,622,19,4
Draw_Retreating_Ship_,142740,143702,962,19,4
Get_Ship_Anim_Dimensions_,143702,143769,67,19,4
Remap_Draw_Ship_Status_,143769,144707,938,19,4
Scroll_Draw_Combat_Screen_,144707,145831,1124,19,4
Ship_Completely_On_Screen_,145831,146201,370,19,4
Ship_On_Screen_,146201,146437,236,19,4
Display_Combat_View_Ship_,146437,146682,245,19,4
Crew_Quality_String_,146682,146883,201,19,4
Plasma_Darken_,146883,147296,413,19,4
Draw_Bombs_,147296,148102,806,19,4
Create_Ship_Darken_Map_,148102,148564,462,19,4
Get_Draw_Ship_Offsets_,148564,148803,239,19,4
Get_Ship_Center_Draw_XY_,148803,148894,91,19,4
Draw_Internals_Display_,148894,149793,899,19,4
Draw_Fake_Combat_Buttons_,149793,150198,405,19,4
Draw_Legal_Boxes_,150198,150594,396,19,4
Move_Options_Background_,150594,151240,646,19,4
Draw_Board_Popup_,151240,151491,251,19,5
Board_Popup_,151491,152145,654,19,4
Apply_Internal_Damage_,152145,153633,1488,20,4
Repair_Combat_Ship_,153633,154682,1049,20,4
Clear_Internal_Space_,154682,154710,28,20,4
Combat_Bonus_,154710,154751,41,20,4
Computer_Bonus_,154751,154797,46,20,4
Crew_Boarding_Combat_Bonus_,154797,154829,32,20,4
Crew_Defensive_Combat_Bonus_,154829,154861,32,20,4
Crew_Offensive_Combat_Bonus_,154861,154893,32,20,4
Defensive_Combat_Bonus_,154893,155148,255,20,4
Get_Fleet_Engineer_Bonus_,155148,155242,94,20,4
Fighter_Pilot_Bonus_,155242,155310,68,20,4
Get_Fleet_Pilot_Bonus_,155310,155402,92,20,4
Set_Combat_Ordnance_Values_,155402,155469,67,20,4
Leader_Ordnance_Bonus_,155469,155518,49,20,4
Get_Fleet_Ordnance_Bonus_,155518,155610,92,20,4
Get_Fleet_Commando_Bonus_,155610,155702,92,20,4
Commando_Bonus_,155702,155770,68,20,4
Engineer_Bonus_,155770,155818,48,20,4
Get_Fleet_Security_Bonus_,155818,155910,92,20,4
Security_Bonus_,155910,155961,51,20,4
Fleet_Defensive_Bonus_,155961,156262,301,20,4
Fleet_Offensive_Bonus_,156262,156561,299,20,4
Heal_System_,156561,156784,223,20,4
Init_Internal_Space_,156784,157359,575,20,4
Kill_Crew_,157359,157405,46,20,4
Offensive_Combat_Bonus_,157405,157565,160,20,4
Helmsman_Bonus_,157565,157614,49,20,4
Weaponry_Bonus_,157614,157663,49,20,4
Galactic_Lore_Bonus_,157663,157712,49,20,4
Select_Internal_,157712,158307,595,20,4
Ship_Specials_Defensive_Bonus_,158307,158534,227,20,4
Ship_Specials_Offensive_Bonus_,158534,158564,30,20,4
Total_Internal_Space_,158564,158690,126,20,4
Max_Total_Internal_Space_,158690,158816,126,20,4
Weapons_Left_,158816,158876,60,20,4
Final_Fire_,158876,159441,565,20,4
Defensive_Fire_Check_,159441,160115,674,20,4
Max_Defensive_Fire_Range_,160115,160340,225,20,4
Get_Combat_Ship_Special_Id_,160340,160445,105,20,4
Init_Boarding_Action_,160445,160520,75,20,4
Resolve_Raid_,160520,163240,2720,20,4
Resolve_Capture_,163240,164626,1386,20,4
Capture_Ship_,164626,165032,406,20,4
Select_Raid_Internal_,165032,165462,430,20,4
Damage_From_Ship_Exploding_,165462,165519,57,20,4
Apply_Combat_Artemis_Net_,165519,165946,427,20,4
Combat_Ship_Done_,165946,165976,30,20,4
Set_Combat_Ship_Done_,165976,166006,30,20,4
Used_Teleporter_,166006,166028,22,20,4
Set_Teleporter_Used_,166028,166050,22,20,4
Already_Boarded_,166050,166072,22,20,4
Set_Boarded_Flag_,166072,166094,22,20,4
Being_Captured_,166094,166119,25,20,4
Set_Capturing_Flag_,166119,166144,25,20,4
Clear_Capturing_Flag_,166144,166174,30,20,4
Retarget_Missiles_Aimed_At_,166174,166266,92,21,4
Is_Combat_Ship_Dead_,166266,166376,110,21,4
Target_Is_Legal_For_Weapon_,166376,166750,374,21,4
Fire_Ship_,166750,168966,2216,21,4
Get_Beam_Range_To_Hit_Bonus_,168966,169012,46,21,4
Get_Beam_Weapon_Modifiers_,169012,169207,195,21,4
Fire_Beam_Weapon_,169207,170373,1166,21,4
Apply_Ship_Damage_,170373,171488,1115,21,4
Facing_Shield_,171488,171541,53,21,4
Destroy_Ship_,171541,171805,264,21,4
Weapon_In_Range_,171805,172217,412,21,4
Apply_Damage_To_Missile_,172217,172354,137,21,4
Does_Combat_Planet_Have_Defenses_,172354,172446,92,21,4
Destroy_Colony_Defense_,172446,172995,549,21,4
Apply_Damage_To_Planet_,172995,173770,775,21,4
Fire_Bomb_,173770,173994,224,21,4
Weapon_Can_Fire_At_Missiles_,173994,174098,104,21,4
Place_Ship_In_Stasis_,174098,174127,29,21,4
Fire_Special_Weapon_,174127,175136,1009,21,4
Fire_Fighter_Bomb_,175136,175447,311,21,4
Fire_Fighter_Beam_,175447,176051,604,21,4
Remove_Stasis_Beam_,176051,176101,50,21,4
Special_Is_On_,176101,176132,31,21,4
Special_Is_Turned_On_,176132,176247,115,21,4
Energy_Absorber_Attack_,176247,176946,699,21,4
Pre_Weapon_Specials_,176946,177133,187,21,4
Draw_Energy_Absorber_,177133,177344,211,21,4
Draw_BHG_,177344,177703,359,21,4
BHG_,177703,178237,534,21,4
_missile_group_offset,178237,178749,512,22,5
_torpedo_group_offset,178749,179005,256,22,5
Missile_Owner_,179005,179024,19,22,4
Missile_Type_,179024,179190,166,22,4
Coord_Movement_,179190,179328,138,22,4
Kill_Missile_,179328,179405,77,22,4
Did_Missile_Hit_,179405,179500,95,22,4
Picture_Count_,179500,179674,174,22,5
Get_Multiple_Torpedo_Coords_,179674,180082,408,22,5
Get_Multiple_Missile_Coords_,180082,180956,874,22,5
Draw_Missile_,180956,181561,605,22,4
Draw_Missile_Status_,181561,182324,763,22,4
Draw_Missiles_,182324,182418,94,22,4
Fire_Missile_,182418,183332,914,22,4
Missile_Coord_Movement_,183332,183410,78,22,4
Missile_Facing_To_XY_,183410,183452,42,22,4
Missile_Facing_,183452,183585,133,22,4
Missile_Speed_,183585,183887,302,22,4
Missile_On_Combat_Screen_,183887,183991,104,22,4
Move_Missile_,183991,184861,870,22,4
Next_Missile_Id_,184861,184921,60,22,4
On_Combat_Screen_,184921,184985,64,22,4
Is_Missile_Target_Alive_,184985,185055,70,22,4
Resolve_Missile_,185055,187279,2224,22,4
Find_Weakest_Shield_,187279,187345,66,22,4
Draw_Fighter_,187345,187864,519,22,4
Retarget_Missile_,187864,188301,437,22,4
Fighter_Ocv_,188301,188384,83,22,4
Missile_Dcv_,188384,188565,181,22,4
Get_Missile_Hits_,188565,188836,271,22,4
Fighter_Combat_SFX_,188836,189795,959,22,4
Ship_Is_In_Stasis_,189795,189820,25,23,4
Ship_In_Black_Hole_,189820,189848,28,23,4
Draw_Teleporting_Ship_,189848,190377,529,23,4
Rotate_Ship_Until_Impact_,190377,190985,608,23,4
Ship_In_Legal_Square_,190985,191141,156,23,4
Test_Move_Until_Impact_,191141,192015,874,23,4
Move_Ship_,192015,194033,2018,23,4
Get_Facing_,194033,194088,55,23,4
Rotate_Ship_,194088,194851,763,23,4
Turn_Cost_,194851,194911,60,23,4
Move_Cost_,194911,195169,258,23,4
Turn_To_Face_,195169,195582,413,23,4
Wait_Until_Net_Opponent_Finished_,195582,195800,218,23,4
Tactical_Combat_Receive_Message_,195800,196010,210,23,4
Message_Box_Titled_,196010,196020,10,24,4
QLoad_Combat_Antaran_Ship_,196020,196338,318,24,4
QLoad_Antaran_Defense_Fleet_,196338,196660,322,24,4
Get_Leader_Combat_Bonuses_,196660,196936,276,24,4
Strategic_Combat_,196936,199722,2786,24,4
Apply_Damage_To_Qship_,199722,199875,153,24,4
Get_Non_Player_Name_,199875,200000,125,24,4
Build_End_Of_Combat_Message_,200000,202447,2447,24,4
Qload_Ships_,202447,204322,1875,24,4
QGet_Hits_Bonus_,204322,204424,102,24,4
QGet_Target_,204424,204576,152,24,4
QGet_Target_SC_,204576,204672,96,24,4
Missile_Attack_,204672,204992,320,24,4
Strat_Bomb_Attack_,204992,205115,123,24,4
Stellar_Converter_Attack_,205115,205147,32,24,4
Draw_Qcombat_,205147,205148,1,24,4
Strat_Special_Attack_,205148,205343,195,24,4
Beam_Attack_,205343,205644,301,24,4
Combat_Satelite_Check_,205644,205681,37,24,4
Get_Colony_Hits_,205681,205814,133,24,4
Resolve_Strat_Colony_Damage_,205814,206206,392,24,4
Strategic_Bombardment_,206206,206459,253,24,4
Bombardment_,206459,206721,262,24,4
Tactical_Bombardment_,206721,207342,621,24,4
Get_Number_Of_Ships_In_Stasis_,207342,207399,57,25,4
Combat_Ship_Is_Functional_,207399,207457,58,25,4
Enemy_Dissipator_Exists_,207457,207551,94,25,4
Ship_Controlled_By_Computer_,207551,207631,80,25,4
Send_Tactical_Combat_Message_,207631,207728,97,25,4
