site_hex,case_index,target_offset,target_hex
0x10732,11,68617,0x10c09
0x10732,12,68743,0x10c87
0x10732,13,70353,0x112d1
0x10732,14,68824,0x10cd8
0x10732,15,69017,0x10d99
0x10732,16,69133,0x10e0d
0x10732,17,69280,0x10ea0
0x10732,18,69322,0x10eca
0x10732,19,69477,0x10f65
0x10732,20,69555,0x10fb3
0x10732,21,69595,0x10fdb
0x10732,22,69635,0x11003
0x10732,23,69722,0x1105a
0x10732,24,69759,0x1107f
0x10732,25,70047,0x1119f
0x10732,26,70212,0x11244
0x10732,27,70334,0x112be
0x10732,28,68732,0x10c7c
0x10732,29,68732,0x10c7c
0x10732,30,68732,0x10c7c
0x10732,31,68732,0x10c7c
0x10732,32,68732,0x10c7c
0x10732,33,68732,0x10c7c
0x10732,34,68732,0x10c7c
0x10732,35,68732,0x10c7c
0x11bb1,0,72685,0x11bed
0x11bb1,1,72633,0x11bb9
0x11bb1,2,72643,0x11bc3
0x11bb1,3,72653,0x11bcd
0x11bb1,4,72663,0x11bd7
0x11bb1,5,72673,0x11be1
0x12fc6,0,77774,0x12fce
0x12fc6,1,77785,0x12fd9
0x12fc6,2,77810,0x12ff2
0x12fc6,3,77793,0x12fe1
0x12fc6,4,77807,0x12fef
0x13340,0,78664,0x13348
0x13340,1,78671,0x1334f
0x13340,2,78678,0x13356
0x13340,3,78685,0x1335d
0x13340,4,78692,0x13364
0x144e2,0,83178,0x144ea
0x144e2,1,83200,0x14500
0x144e2,2,83205,0x14505
0x144e2,3,83187,0x144f3
0x144e2,4,83211,0x1450b
0x144e2,5,83187,0x144f3
0x14af3,0,84731,0x14afb
0x14af3,1,84802,0x14b42
0x14af3,2,84830,0x14b5e
0x14af3,3,84866,0x14b82
0x14af3,4,84972,0x14bec
0x14af3,5,84948,0x14bd4
0x14af3,6,84768,0x14b20
0x14af3,7,85007,0x14c0f
0x14af3,8,85027,0x14c23
0x14af3,9,85105,0x14c71
0x14af3,10,85133,0x14c8d
0x1a5aa,0,107972,0x1a5c4
0x1a5aa,1,108083,0x1a633
0x1a5aa,2,108143,0x1a66f
0x1a5aa,3,107954,0x1a5b2
0x1a5aa,4,108179,0x1a693
0x1a5aa,5,108201,0x1a6a9
0x1b19b,0,111011,0x1b1a3
0x1b19b,1,111020,0x1b1ac
0x1b19b,2,111029,0x1b1b5
0x1b19b,3,111038,0x1b1be
0x1b19b,4,111047,0x1b1c7
0x1b19b,5,111056,0x1b1d0
0x1b19b,6,111065,0x1b1d9
0x1b19b,7,111083,0x1b1eb
0x1b19b,8,111092,0x1b1f4
0x1b19b,9,111074,0x1b1e2
0x1e5db,0,124387,0x1e5e3
0x1e5db,1,124392,0x1e5e8
0x1e5db,2,124355,0x1e5c3
0x1e5db,3,124397,0x1e5ed
0x227b3,0,141243,0x227bb
0x227b3,1,141344,0x22820
0x227b3,2,141445,0x22885
0x227b3,3,141543,0x228e7
0x227b3,4,141243,0x227bb
0x227b3,5,141344,0x22820
0x227b3,6,141445,0x22885
0x227b3,7,141543,0x228e7
0x227b3,8,141243,0x227bb
0x227b3,9,141344,0x22820
0x227b3,10,141445,0x22885
0x227b3,11,141543,0x228e7
0x227b3,12,141243,0x227bb
0x227b3,13,141344,0x22820
0x227b3,14,141445,0x22885
0x227b3,15,141543,0x228e7
0x2322d,0,143925,0x23235
0x2322d,1,143996,0x2327c
0x2322d,2,144109,0x232ed
0x2322d,3,144264,0x23388
0x2322d,4,144442,0x2343a
0x23d14,0,146716,0x23d1c
0x23d14,1,146738,0x23d32
0x23d14,2,146760,0x23d48
0x23d14,3,146785,0x23d61
0x23d14,4,146810,0x23d7a
0x23e41,0,147291,0x23f5b
0x23e41,1,147017,0x23e49
0x23e41,2,147099,0x23e9b
0x23e41,3,147026,0x23e52
0x23e41,4,147116,0x23eac
0x23e41,5,147131,0x23ebb
0x24523,0,148792,0x24538
0x24523,1,148779,0x2452b
0x24523,2,148785,0x24531
0x24523,3,148789,0x24535
0x29fa8,0,172047,0x2a00f
0x29fa8,1,171952,0x29fb0
0x29fa8,2,171952,0x29fb0
0x29fa8,3,171998,0x29fde
0x29fa8,4,171952,0x29fb0
0x29fa8,5,172062,0x2a01e
0x2be32,0,180042,0x2bf4a
0x2be32,1,179770,0x2be3a
0x2be32,2,179873,0x2bea1
0x2be32,3,179980,0x2bf0c
0x2bfb8,0,180952,0x2c2d8
0x2bfb8,1,180160,0x2bfc0
0x2bfb8,2,180232,0x2c008
0x2bfb8,3,180352,0x2c080
0x2bfb8,4,180448,0x2c0e0
0x2bfb8,5,180546,0x2c142
0x2bfb8,6,180686,0x2c1ce
0x2bfb8,7,180828,0x2c25c
0x2bfb8,8,180888,0x2c298
0x2fd03,0,195851,0x2fd0b
0x2fd03,1,196009,0x2fda9
0x2fd03,2,195894,0x2fd36
0x2fd03,3,195972,0x2fd84
0x2fd03,4,195887,0x2fd2f
0x2fd03,5,195994,0x2fd9a
0x30cd5,0,199901,0x30cdd
0x30cd5,1,199930,0x30cfa
0x30cd5,2,199943,0x30d07
0x30cd5,3,199990,0x30d36
0x30cd5,4,199957,0x30d15
0x30cd5,5,199980,0x30d2c
0x30cd5,6,199967,0x30d1f
0x31936,0,203089,0x31951
0x31936,1,203069,0x3193d
0x31936,2,203834,0x31c3a
0x31936,3,203715,0x31bc3
0x31936,4,203762,0x31bf2
0x31936,5,203787,0x31c0b
0x31936,6,203740,0x31bdc
0x31936,7,203812,0x31c24
0x38f90,0,233368,0x38f98
0x38f90,1,233375,0x38f9f
0x38f90,2,233382,0x38fa6
0x38f90,3,233389,0x38fad
0x38f90,4,233396,0x38fb4
0x39f29,0,237360,0x39f30
0x39f29,1,237367,0x39f37
0x39f29,2,237293,0x39eed
0x39f29,3,237374,0x39f3e
0x39f29,4,237381,0x39f45
0x3d11b,0,250147,0x3d123
0x3d11b,1,250153,0x3d129
0x3d11b,2,250159,0x3d12f
0x3d11b,3,250165,0x3d135
0x3d11b,4,250171,0x3d13b
0x3da0d,0,252437,0x3da15
0x3da0d,1,252444,0x3da1c
0x3da0d,2,252451,0x3da23
0x3da0d,3,252451,0x3da23
0x3da0d,4,252455,0x3da27
0x3da0d,5,252462,0x3da2e
0x427b0,0,272312,0x427b8
0x427b0,1,272567,0x428b7
0x427b0,2,272560,0x428b0
0x427b0,3,272839,0x429c7
0x4376f,0,276342,0x43776
0x4376f,1,276409,0x437b9
0x4376f,2,276424,0x437c8
0x4376f,3,276545,0x43841
0x45159,0,283492,0x45364
0x45159,1,284253,0x4565d
0x45159,2,285148,0x459dc
0x45159,3,286230,0x45e16
0x45159,4,287446,0x462d6
0x46778,0,288640,0x46780
0x46778,1,288650,0x4678a
0x46778,2,288660,0x46794
0x46778,3,288650,0x4678a
0x46778,4,288640,0x46780
0x46778,5,288640,0x46780
0x46778,6,288660,0x46794
0x46965,0,289133,0x4696d
0x46965,1,289140,0x46974
0x46965,2,289161,0x46989
0x46965,3,289168,0x46990
0x46965,4,289154,0x46982
0x46965,5,289161,0x46989
0x46965,6,289147,0x4697b
0x46bb8,0,289728,0x46bc0
0x46bb8,1,289738,0x46bca
0x46bb8,2,289728,0x46bc0
0x46bb8,3,289728,0x46bc0
0x46bb8,4,289748,0x46bd4
0x46bb8,5,289728,0x46bc0
0x46bb8,6,289728,0x46bc0
0x46c7c,0,289924,0x46c84
0x46c7c,1,289934,0x46c8e
0x46c7c,2,289924,0x46c84
0x46c7c,3,289924,0x46c84
0x46c7c,4,289944,0x46c98
0x46c7c,5,289924,0x46c84
0x46c7c,6,289924,0x46c84
0x46dde,0,290278,0x46de6
0x46dde,1,290299,0x46dfb
0x46dde,2,290285,0x46ded
0x46dde,3,290299,0x46dfb
0x46dde,4,290299,0x46dfb
0x46dde,5,290292,0x46df4
0x46dde,6,290299,0x46dfb
0x483b3,0,295928,0x483f8
0x483b3,1,295887,0x483cf
0x483b3,2,295867,0x483bb
0x483b3,3,295908,0x483e4
0x483b3,4,295895,0x483d7
0x48619,0,296481,0x48621
0x48619,1,296526,0x4864e
0x48619,2,296533,0x48655
0x48619,3,296540,0x4865c
0x48619,4,296547,0x48663
0x48619,5,296554,0x4866a
0x48619,6,296561,0x48671
0x4f12d,0,323913,0x4f149
0x4f12d,1,323893,0x4f135
0x4f12d,2,323909,0x4f145
0x4f12d,3,323988,0x4f194
0x4f12d,4,323990,0x4f196
0x4f12d,5,323990,0x4f196
0x56526,0,353582,0x5652e
0x56526,1,353589,0x56535
0x56526,2,353599,0x5653f
0x56526,3,353609,0x56549
0x56526,4,353619,0x56553
0x56526,5,353644,0x5656c
0x56526,6,353654,0x56576
0x56526,7,353661,0x5657d
0x56526,8,353680,0x56590
0x56526,9,353687,0x56597
0x56526,10,353707,0x565ab
0x56526,11,353714,0x565b2
0x56526,12,353721,0x565b9
0x56526,13,353741,0x565cd
0x567df,0,354279,0x567e7
0x567df,1,354301,0x567fd
0x567df,2,354314,0x5680a
0x567df,3,354293,0x567f5
0x57cfd,0,359685,0x57d05
0x57cfd,1,359731,0x57d33
0x57cfd,2,359883,0x57dcb
0x57cfd,3,359910,0x57de6
0x57cfd,4,359917,0x57ded
0x57cfd,5,359924,0x57df4
0x5b526,0,374062,0x5b52e
0x5b526,1,374069,0x5b535
0x5b526,2,374076,0x5b53c
0x5b526,3,374083,0x5b543
0x5b526,4,374090,0x5b54a
0x5c90f,0,379158,0x5c916
0x5c90f,1,379170,0x5c922
0x5c90f,2,379182,0x5c92e
0x5c90f,3,379194,0x5c93a
0x5c90f,4,379206,0x5c946
0x5c90f,5,379218,0x5c952
0x5e620,0,386678,0x5e676
0x5e620,1,386600,0x5e628
0x5e620,2,386607,0x5e62f
0x5e620,3,386614,0x5e636
0x5e620,4,386621,0x5e63d
0x5e659,0,386678,0x5e676
0x5e659,1,386600,0x5e628
0x5e659,2,386657,0x5e661
0x5e659,3,386664,0x5e668
0x5e659,4,386614,0x5e636
0x5f24c,0,389716,0x5f254
0x5f24c,1,389728,0x5f260
0x5f24c,2,389735,0x5f267
0x5f24c,3,389742,0x5f26e
0x5f24c,4,389749,0x5f275
0x65414,0,414748,0x6541c
0x65414,1,414755,0x65423
0x65414,2,414762,0x6542a
0x65414,3,414769,0x65431
0x65414,4,414776,0x65438
0x663b6,0,418750,0x663be
0x663b6,1,418796,0x663ec
0x663b6,2,418886,0x66446
0x663b6,3,418935,0x66477
0x663b6,4,419172,0x66564
0x663b6,5,419182,0x6656e
0x663b6,6,419271,0x665c7
0x663b6,7,419309,0x665ed
0x663b6,8,419578,0x666fa
0x663b6,9,419588,0x66704
0x6a27c,0,434995,0x6a333
0x6a27c,1,434820,0x6a284
0x6a27c,2,434843,0x6a29b
0x6a27c,3,434882,0x6a2c2
0x6a27c,4,434899,0x6a2d3
0x6a27c,5,434940,0x6a2fc
0x6a853,0,436315,0x6a85b
0x6a853,1,436339,0x6a873
0x6a853,2,436363,0x6a88b
0x6a853,3,436387,0x6a8a3
0x6a853,4,436411,0x6a8bb
0x6aa43,0,436811,0x6aa4b
0x6aa43,1,436823,0x6aa57
0x6aa43,2,436830,0x6aa5e
0x6aa43,3,436844,0x6aa6c
0x6aa43,4,436837,0x6aa65
0x6aae3,0,436971,0x6aaeb
0x6aae3,1,436978,0x6aaf2
0x6aae3,2,436985,0x6aaf9
0x6aae3,3,436992,0x6ab00
0x6aae3,4,436999,0x6ab07
0x6abb6,0,437182,0x6abbe
0x6abb6,1,437189,0x6abc5
0x6abb6,2,437182,0x6abbe
0x6abb6,3,437182,0x6abbe
0x6abb6,4,437196,0x6abcc
0x6ca3c,0,444996,0x6ca44
0x6ca3c,1,445068,0x6ca8c
0x6ca3c,2,445062,0x6ca86
0x6ca3c,3,445106,0x6cab2
0x6ca3c,4,445068,0x6ca8c
0x71b8e,0,465814,0x71b96
0x71b8e,1,465833,0x71ba9
0x71b8e,2,465849,0x71bb9
0x71b8e,3,465865,0x71bc9
0x71b8e,4,465874,0x71bd2
0x725f2,0,468917,0x727b5
0x725f2,1,468889,0x72799
0x725f2,2,468528,0x72630
0x725f2,3,468528,0x72630
0x725f2,4,468801,0x72741
0x725f2,5,468677,0x726c5
0x725f2,6,468545,0x72641
0x725f2,7,468528,0x72630
0x725f2,8,468533,0x72635
0x725f2,9,468474,0x725fa
0x7a231,0,500281,0x7a239
0x7a231,1,500332,0x7a26c
0x7a231,2,500383,0x7a29f
0x7a231,3,500636,0x7a39c
0x7a231,4,500434,0x7a2d2
0x7a231,5,500485,0x7a305
0x7a231,6,500533,0x7a335
0x7a231,7,500590,0x7a36e
0x7a80c,0,501780,0x7a814
0x7a80c,1,501787,0x7a81b
0x7a80c,2,501794,0x7a822
0x7a80c,3,501801,0x7a829
0x7a80c,4,501808,0x7a830
0x7c4ec,0,509172,0x7c4f4
0x7c4ec,1,509186,0x7c502
0x7c4ec,2,509202,0x7c512
0x7c4ec,3,509209,0x7c519
0x7cf1b,0,511779,0x7cf23
0x7cf1b,1,511834,0x7cf5a
0x7cf1b,2,511889,0x7cf91
0x7cf1b,3,511944,0x7cfc8
0x7e536,0,517438,0x7e53e
0x7e536,1,517482,0x7e56a
0x7e536,2,517513,0x7e589
0x7e536,3,517513,0x7e589
0x7e536,4,517513,0x7e589
0x7e536,5,517524,0x7e594
0x7e86b,0,518259,0x7e873
0x7e86b,1,518304,0x7e8a0
0x7e86b,2,518340,0x7e8c4
0x7e86b,3,518385,0x7e8f1
0x7e86b,4,518410,0x7e90a
0x7e86b,5,518410,0x7e90a
0x89413,0,562203,0x8941b
0x89413,1,562210,0x89422
0x89413,2,562217,0x89429
0x89413,3,562224,0x89430
0x89413,4,562231,0x89437
0x90b0a,0,592658,0x90b12
0x90b0a,1,592675,0x90b23
0x90b0a,2,592727,0x90b57
0x90b0a,3,592727,0x90b57
0x90b0a,4,592727,0x90b57
0x90b0a,5,592769,0x90b81
0x916d6,0,595743,0x9171f
0x916d6,1,595678,0x916de
0x916d6,2,595691,0x916eb
0x916d6,3,595704,0x916f8
0x916d6,4,595717,0x91705
0x916d6,5,595730,0x91712
0x96557,0,615775,0x9655f
0x96557,1,615786,0x9656a
0x96557,2,615793,0x96571
0x96557,3,615807,0x9657f
0x96557,4,615800,0x96578
0x99642,0,628298,0x9964a
0x99642,1,628330,0x9966a
0x99642,2,628353,0x99681
0x99642,3,628401,0x996b1
0x9aa54,0,633436,0x9aa5c
0x9aa54,1,633603,0x9ab03
0x9aa54,2,633689,0x9ab59
0x9aa54,3,633817,0x9abd9
0x9b575,0,636284,0x9b57c
0x9b575,1,636451,0x9b623
0x9b575,2,636532,0x9b674
0x9b575,3,636658,0x9b6f2
0x9d78b,0,645022,0x9d79e
0x9d78b,1,645011,0x9d793
0x9d78b,2,645022,0x9d79e
0x9d78b,3,645098,0x9d7ea
0x9ec24,0,650284,0x9ec2c
0x9ec24,1,650291,0x9ec33
0x9ec24,2,650291,0x9ec33
0x9ec24,3,650291,0x9ec33
0x9ec24,4,650291,0x9ec33
0x9ec24,5,650298,0x9ec3a
0x9fc83,0,654565,0x9fce5
0x9fc83,1,654572,0x9fcec
0x9fc83,2,654579,0x9fcf3
0x9fc83,3,654586,0x9fcfa
0x9fc83,4,654558,0x9fcde
0x9fc83,5,654551,0x9fcd7
0x9fc83,6,654544,0x9fcd0
0x9fc83,7,654495,0x9fc9f
0x9fc83,8,654537,0x9fcc9
0x9fc83,9,654530,0x9fcc2
0x9fc83,10,654523,0x9fcbb
0x9fc83,11,654516,0x9fcb4
0x9fc83,12,654509,0x9fcad
0x9fc83,13,654502,0x9fca6
0x9fc83,14,654488,0x9fc98
0x9fc83,15,654475,0x9fc8b
0x9fc83,16,654537,0x9fcc9
0x9fc83,17,654537,0x9fcc9
0xa3367,0,669948,0xa38fc
0xa3367,1,669867,0xa38ab
0xa3367,2,670219,0xa3a0b
0xa3367,3,670460,0xa3afc
0xa3367,4,669834,0xa388a
0xa3367,5,670091,0xa398b
0xa3367,6,670342,0xa3a86
0xa3367,7,668774,0xa3466
0xa3367,8,670460,0xa3afc
0xa3367,9,669585,0xa3791
0xa3367,10,669436,0xa36fc
0xa3367,11,669285,0xa3665
0xa3367,12,669135,0xa35cf
0xa3367,13,668959,0xa351f
0xa3367,14,668669,0xa33fd
0xa3367,15,668527,0xa336f
0xa3367,16,656989,0xa065d
0xa3367,17,656989,0xa065d
0xa453d,0,673093,0xa4545
0xa453d,1,673186,0xa45a2
0xa453d,2,673197,0xa45ad
0xa453d,3,673208,0xa45b8
0xa45e7,0,673263,0xa45ef
0xa45e7,1,673284,0xa4604
0xa45e7,2,673284,0xa4604
0xa45e7,3,673284,0xa4604
0xa50d0,0,676056,0xa50d8
0xa50d0,1,676307,0xa51d3
0xa50d0,2,676325,0xa51e5
0xa50d0,3,676332,0xa51ec
0xa50d0,4,676411,0xa523b
0xa51cb,0,676478,0xa527e
0xa51cb,1,676632,0xa5318
0xa51cb,2,676708,0xa5364
0xa51cb,3,676622,0xa530e
0xa51cb,4,676622,0xa530e
0xa6701,0,681911,0xa67b7
0xa6701,1,681886,0xa679e
0xa6701,2,681936,0xa67d0
0xa6701,3,681737,0xa6709
0xa6701,4,681951,0xa67df
0xa6701,5,681832,0xa6768
0xa6701,6,681747,0xa6713
0xa6701,7,681757,0xa671d
0xa6701,8,681767,0xa6727
0xa6701,9,681767,0xa6727
0xa673b,0,681795,0xa6743
0xa673b,1,681805,0xa674d
0xa673b,2,681815,0xa6757
0xa673b,3,681822,0xa675e
0xa6778,0,681856,0xa6780
0xa6778,1,681866,0xa678a
0xa6778,2,681876,0xa6794
0xa6778,3,681951,0xa67df
0xa81ff,0,688647,0xa8207
0xa81ff,1,688653,0xa820d
0xa81ff,2,688673,0xa8221
0xa81ff,3,688693,0xa8235
0xa81ff,4,688713,0xa8249
0xa81ff,5,688733,0xa825d
0xa82a4,0,689078,0xa83b6
0xa82a4,1,689052,0xa839c
0xa82a4,2,688812,0xa82ac
0xa82a4,3,688949,0xa8335
0xa82a4,4,688852,0xa82d4
0xa82a4,5,688940,0xa832c
0xa85d2,0,689626,0xa85da
0xa85d2,1,689634,0xa85e2
0xa85d2,2,689642,0xa85ea
0xa85d2,3,689650,0xa85f2
0xab69e,0,702118,0xab6a6
0xab69e,1,702161,0xab6d1
0xab69e,2,702204,0xab6fc
0xab69e,3,702214,0xab706
0xab73c,0,702276,0xab744
0xab73c,1,702335,0xab77f
0xab73c,2,702383,0xab7af
0xab73c,3,702367,0xab79f
0xabaa4,0,703255,0xabb17
0xabaa4,1,703163,0xababb
0xabaa4,2,703352,0xabb78
0xabaa4,3,703170,0xabac2
0xabaa4,4,703185,0xabad1
0xabaa4,5,703192,0xabad8
0xabaa4,6,703199,0xabadf
0xabaa4,7,703206,0xabae6
0xabaa4,8,703213,0xabaed
0xabaa4,9,703220,0xabaf4
0xabaa4,10,703227,0xabafb
0xabaa4,11,703352,0xabb78
0xabaa4,12,703352,0xabb78
0xabaa4,13,703148,0xabaac
0xabaa4,14,703234,0xabb02
0xabaa4,15,703241,0xabb09
0xabaa4,16,703352,0xabb78
0xabaa4,17,703352,0xabb78
0xabaa4,18,703352,0xabb78
0xabaa4,19,703352,0xabb78
0xabaa4,20,703352,0xabb78
0xabaa4,21,703352,0xabb78
0xabaa4,22,703352,0xabb78
0xabaa4,23,703352,0xabb78
0xabaa4,24,703352,0xabb78
0xabaa4,25,703352,0xabb78
0xabaa4,26,703352,0xabb78
0xabaa4,27,703352,0xabb78
0xabaa4,28,703352,0xabb78
0xabaa4,29,703365,0xabb85
0xabaa4,30,703352,0xabb78
0xabaa4,31,703352,0xabb78
0xabaa4,32,703352,0xabb78
0xabaa4,33,703248,0xabb10
0xabaa4,34,703321,0xabb59
0xabaa4,35,703345,0xabb71
0xac18c,0,704916,0xac194
0xac18c,1,704942,0xac1ae
0xac18c,2,704968,0xac1c8
0xac18c,3,704994,0xac1e2
0xac8f8,0,706816,0xac900
0xac8f8,1,706823,0xac907
0xac8f8,2,706830,0xac90e
0xac8f8,3,706837,0xac915
0xb38ab,0,735411,0xb38b3
0xb38ab,1,735435,0xb38cb
0xb38ab,2,735465,0xb38e9
0xb38ab,3,735489,0xb3901
0xb38ab,4,735513,0xb3919
0xb38ab,5,735423,0xb38bf
0xb38ab,6,735536,0xb3930
0xb8830,0,755768,0xb8838
0xb8830,1,755890,0xb88b2
0xb8830,2,755916,0xb88cc
0xb8830,3,755945,0xb88e9
0xb9896,0,759966,0xb989e
0xb9896,1,759973,0xb98a5
0xb9896,2,759980,0xb98ac
0xb9896,3,759987,0xb98b3
0xb9896,4,759994,0xb98ba
0xb9896,5,760001,0xb98c1
0xb9896,6,760008,0xb98c8
0xc01bf,0,787479,0xc0417
0xc01bf,1,787135,0xc02bf
0xc01bf,2,787790,0xc054e
0xc01bf,3,788131,0xc06a3
0xc01bf,4,788307,0xc0753
0xc01bf,5,788141,0xc06ad
0xc01bf,6,788176,0xc06d0
0xc01bf,7,786994,0xc0232
0xc01bf,8,788193,0xc06e1
0xc01bf,9,788252,0xc071c
0xc01bf,10,787479,0xc0417
0xc01bf,11,788281,0xc0739
0xc01bf,12,788299,0xc074b
0xc01bf,13,787479,0xc0417
0xc01bf,14,788356,0xc0784
0xc01bf,15,788375,0xc0797
0xc01bf,16,788418,0xc07c2
0xc01bf,17,787479,0xc0417
0xc01bf,18,788426,0xc07ca
0xc01bf,19,787990,0xc0616
0xc01bf,20,788457,0xc07e9
0xc01bf,21,787257,0xc0339
0xc01bf,22,787563,0xc046b
0xc01bf,23,787494,0xc0426
0xc01bf,24,788548,0xc0844
0xc01bf,25,787653,0xc04c5
0xc01bf,26,787698,0xc04f2
0xc01bf,27,787381,0xc03b5
0xc01bf,28,788636,0xc089c
0xc01bf,29,788685,0xc08cd
0xc01bf,30,788060,0xc065c
0xc01bf,31,788307,0xc0753
0xc01bf,32,788718,0xc08ee
0xc01bf,33,788760,0xc0918
0xc01bf,34,788773,0xc0925
0xc01bf,35,788807,0xc0947
0xc01bf,36,788822,0xc0956
0xc01bf,37,788890,0xc099a
0xc01bf,38,788944,0xc09d0
0xc01bf,39,786886,0xc01c6
0xc01bf,40,787063,0xc0277
0xc01bf,41,787698,0xc04f2
0xc01bf,42,788978,0xc09f2
0xc01bf,43,789075,0xc0a53
0xc01bf,44,787901,0xc05bd
0xc01bf,45,789177,0xc0ab9
0xc01bf,46,787635,0xc04b3
0xc0a67,0,789103,0xc0a6f
0xc0a67,1,789119,0xc0a7f
0xc0a67,2,789110,0xc0a76
0xc0a67,3,789126,0xc0a86
0xc0a67,4,789142,0xc0a96
0xc0a67,5,789119,0xc0a7f
0xc9a3b,0,825923,0xc9a43
0xc9a3b,1,825973,0xc9a75
0xc9a3b,2,825923,0xc9a43
0xc9a3b,3,825923,0xc9a43
0xc9a3b,4,825973,0xc9a75
0xc9a3b,5,825923,0xc9a43
0xc9a3b,6,825973,0xc9a75
0xc9a3b,7,825923,0xc9a43
0xd8ac9,0,888058,0xd8cfa
0xd8ac9,1,888209,0xd8d91
0xd8ac9,2,887505,0xd8ad1
0xd8ac9,3,887642,0xd8b5a
0xd8ac9,4,887869,0xd8c3d
0xd8ac9,5,888067,0xd8d03
0xda801,0,894919,0xda7c7
0xda801,1,894919,0xda7c7
0xda801,2,894919,0xda7c7
0xda801,3,893729,0xda321
0xda801,4,893801,0xda369
0xda801,5,894919,0xda7c7
0xda801,6,894022,0xda446
0xda801,7,894065,0xda471
0xda801,8,894139,0xda4bb
0xda801,9,894342,0xda586
0xda801,10,894495,0xda61f
0xda801,11,894587,0xda67b
0xda801,12,894680,0xda6d8
0xda801,13,894864,0xda790
0xda801,14,894919,0xda7c7
0xda801,15,894919,0xda7c7
0xda801,16,894985,0xda809
0xda801,17,894919,0xda7c7
0xda801,18,894919,0xda7c7
0xda801,19,894919,0xda7c7
0xda801,20,894919,0xda7c7
0xda801,21,894919,0xda7c7
0xda801,22,895067,0xda85b
0xda801,23,894919,0xda7c7
0xdab11,0,895693,0xdaacd
0xdab11,1,895693,0xdaacd
0xdab11,2,895693,0xdaacd
0xdab11,3,895769,0xdab19
0xdab11,4,895693,0xdaacd
0xdab11,5,895693,0xdaacd
0xdab11,6,895693,0xdaacd
0xdab11,7,895693,0xdaacd
0xdab11,8,895693,0xdaacd
0xdab11,9,895693,0xdaacd
0xdab11,10,895693,0xdaacd
0xdab11,11,895693,0xdaacd
0xdab11,12,895693,0xdaacd
0xdab11,13,896227,0xdace3
0xdab11,14,895693,0xdaacd
0xdab11,15,896318,0xdad3e
0xdab11,16,896366,0xdad6e
0xdab11,17,896401,0xdad91
0xdab11,18,895693,0xdaacd
0xdc48d,0,902292,0xdc494
