site_offset,site_hex,function,slot_offset,slot_hex,width,slot_symbols,classification
1290775,0x13b217,SMACKNEXTFRAME,310324,0x4bc34,DWORD,_LowSoundCheckAddr,named runtime/static callback slot
1290902,0x13b296,SMACKNEXTFRAME,310324,0x4bc34,DWORD,_LowSoundCheckAddr,named runtime/static callback slot
1290945,0x13b2c1,SMACKSUMMARY,75180,0x125ac,DWORD,_SmackTimerReadAddr,named runtime/static callback slot
1291211,0x13b3cb,timeframe_,75180,0x125ac,DWORD,_SmackTimerReadAddr,named runtime/static callback slot
1291359,0x13b45f,timeframe_,75180,0x125ac,DWORD,_SmackTimerReadAddr,named runtime/static callback slot
1291413,0x13b495,timeframe_,75180,0x125ac,DWORD,_SmackTimerReadAddr,named runtime/static callback slot
1291492,0x13b4e4,SMACKDOFRAME,75180,0x125ac,DWORD,_SmackTimerReadAddr,named runtime/static callback slot
1291666,0x13b592,SMACKDOFRAME,310324,0x4bc34,DWORD,_LowSoundCheckAddr,named runtime/static callback slot
1291753,0x13b5e9,doskip_,310328,0x4bc38,DWORD,_LowSoundPlayedAddr,named runtime/static callback slot
1292067,0x13b723,soundnext_,310324,0x4bc34,DWORD,_LowSoundCheckAddr,named runtime/static callback slot
1292504,0x13b8d8,SMACKCLOSE,310332,0x4bc3c,DWORD,_LowSoundCloseAddr,named runtime/static callback slot
1292774,0x13b9e6,SMACKCLOSE,333872,0x51830,DWORD,_SmackTimerDoneAddr,named runtime/static callback slot
1293405,0x13bc5d,SMACKOPEN,75192,0x125b8,DWORD,_SmackTimerSetupAddr,named runtime/static callback slot
1293411,0x13bc63,SMACKOPEN,75180,0x125ac,DWORD,_SmackTimerReadAddr,named runtime/static callback slot
1293518,0x13bcce,SMACKOPEN,333872,0x51830,DWORD,_SmackTimerDoneAddr,named runtime/static callback slot
1296070,0x13c6c6,soundopen_,69988,0x11164,DWORD,_LowSoundOpenAddr,named runtime/static callback slot
1297220,0x13cb44,gotoframe_,310320,0x4bc30,DWORD,_LowSoundPurgeAddr,named runtime/static callback slot
1297770,0x13cd6a,blockread_,75180,0x125ac,DWORD,_SmackTimerReadAddr,named runtime/static callback slot
1298079,0x13ce9f,blockread_,310324,0x4bc34,DWORD,_LowSoundCheckAddr,named runtime/static callback slot
1298381,0x13cfcd,blockread_,75180,0x125ac,DWORD,_SmackTimerReadAddr,named runtime/static callback slot
1298394,0x13cfda,blockread_,75180,0x125ac,DWORD,_SmackTimerReadAddr,named runtime/static callback slot
1298486,0x13d036,backgroundload_,75180,0x125ac,DWORD,_SmackTimerReadAddr,named runtime/static callback slot
1298656,0x13d0e0,backgroundload_,75180,0x125ac,DWORD,_SmackTimerReadAddr,named runtime/static callback slot
1298668,0x13d0ec,backgroundload_,75180,0x125ac,DWORD,_SmackTimerReadAddr,named runtime/static callback slot
1301289,0x13db29,scan_float_,75084,0x1254c,DWORD,___EFG_scanf,named runtime/static callback slot
1303571,0x13e413,HandleUserMessage_,310376,0x4bc68,DWORD,_recFunc,named runtime/static callback slot
1306206,0x13ee5e,Modem_Update_,291720,0x47388,DWORD,_modemUserRecFunc,named runtime/static callback slot
1320635,0x1426bb,HMInputLine_,77012,0x12cd4,DWORD,__AbortModemFunctionPtr,named runtime/static callback slot
1320674,0x1426e2,HMInputLine_,71624,0x117c8,DWORD,_hm_character_printer,named runtime/static callback slot
1320712,0x142708,HMInputLine_,77016,0x12cd8,DWORD,__PortIdleFunctionPtr,named runtime/static callback slot
1327294,0x1440be,_MEM_alloc_lock,71780,0x11864,DWORD,_MEM_alloc,named runtime/static callback slot
1327386,0x14411a,_MEM_free_lock,71784,0x11868,DWORD,_MEM_free,named runtime/static callback slot
1328597,0x1445d5,_DLL_load,71780,0x11864,DWORD,_MEM_alloc,named runtime/static callback slot
1340661,0x1474f5,_AIL_API_install_DIG_driver_file,71784,0x11868,DWORD,_MEM_free,named runtime/static callback slot
1351731,0x14a033,_XMI_construct_MDI_driver,71780,0x11864,DWORD,_MEM_alloc,named runtime/static callback slot
1352581,0x14a385,_AIL_API_install_MDI_driver_file,71784,0x11868,DWORD,_MEM_free,named runtime/static callback slot
1361909,0x14c7f5,DEFWINSMACKTIMERREAD,333878,0x51836,FWORD,_snaddr,named runtime/static callback slot
1368519,0x14e1c7,timer_,77016,0x12cd8,DWORD,__PortIdleFunctionPtr,named runtime/static callback slot
1368553,0x14e1e9,PortKillTime_,77016,0x12cd8,DWORD,__PortIdleFunctionPtr,named runtime/static callback slot
1389193,0x153289,abort_,77128,0x12d48,DWORD,___abort,named runtime/static callback slot
1391940,0x153d44,__FPE2Handler_,51757,0xca2d,DWORD,__FPE_handler;___FPE_handler,named runtime/static callback slot
