caller,caller_offset,jump_site,target_owner,target_owner_offset,target,target_delta
NPC_Tech_Exchange_,86725,86736,NPC_To_Human_Diplomacy_,92560,93099,539
NPC_To_NPC_Treaty_Negotiations_,87341,88781,NPC_Threats_,86741,87334,593
Eliminate_NPC_Treaty_Conflicts_,89030,89207,NPC_Threats_,86741,87334,593
NPC_Diplomacy_Buildup_Penalties_,89212,89580,NPC_Threats_,86741,87334,593
NPC_Declarations_Of_War_,89585,91909,NPC_Threats_,86741,87334,593
NPC_Peace_Negotiations_,91914,92312,NPC_Threats_,86741,87334,593
NPC_To_Human_Diplomacy_,92560,93112,NPC_Threats_,86741,87334,593
Get_Tech_Exchange_Expectation_,94138,94331,Honor_Alliances_,88786,89024,238
Get_Tech_Exchange_Expectation_,94138,94351,Honor_Alliances_,88786,89024,238
NPC_Good_Proposal_Check_,95086,95483,Honor_Alliances_,88786,89024,238
NPC_Good_Proposal_Check_,95086,95490,Honor_Alliances_,88786,89024,238
NPC_Treaty_Hatred_,96207,96824,NPC_Threats_,86741,87334,593
NPC_Surrender_Check_,96829,98081,NPC_Threats_,86741,87334,593
Does_Ship_Have_Missiles_Incoming_,98086,98202,Get_Effective_Beam_Strength_,113246,113407,161
Safe_To_Fire_Sphere_Weapon_,98207,98659,Does_Ship_Have_Missiles_Incoming_,98086,98199,113
Ai_Self_Destruct_Check_,98664,99777,Get_Effective_Beam_Strength_,113246,113408,162
Ai_Stasis_Check_,99914,100067,Get_Effective_Beam_Strength_,113246,113407,161
Range_To_Ship_,100442,100799,Get_Current_Missile_Target_,110505,110744,239
Expected_Missile_Damage_,102062,102606,Expected_Weapon_Damage_,100804,102056,1252
Expected_Missile_Damage_,102062,102613,Expected_Weapon_Damage_,100804,102056,1252
Missile_Overkill_Check_,103384,103547,Get_Effective_Beam_Strength_,113246,113407,161
Is_Ship_Targeted_By_Missile_,103888,103953,Check_For_Launched_Fighters_,103552,103616,64
Crystal_Control_,104336,104498,Get_Effective_Beam_Strength_,113246,113407,161
Do_Auto_Ship_Turn_,104503,106262,Get_Effective_Beam_Strength_,113246,113407,161
Select_Missile_To_Target_,106821,107060,Get_Effective_Beam_Strength_,113246,113407,161
Select_Ship_To_Target_,107626,107747,Missile_Overkill_Check_,103384,103544,160
Combat_Ship_Class_,107845,108383,Get_Current_Missile_Target_,110505,110744,239
Combat_Ship_Class_,107845,108393,Get_Current_Missile_Target_,110505,110744,239
Combat_Ship_Class_,107845,108408,Get_Current_Missile_Target_,110505,110744,239
Auto_Move_Ship_,108965,109812,Get_Current_Missile_Target_,110505,110744,239
Get_Current_Target_,110750,110859,Get_Current_Missile_Target_,110505,110744,239
Get_Current_Target_,110750,110874,Get_Current_Missile_Target_,110505,110744,239
Get_Current_Target_,110750,110933,Get_Current_Missile_Target_,110505,110744,239
Get_Current_Target_,110750,110948,Get_Current_Missile_Target_,110505,110742,237
Get_Effective_Missile_Strength_,111101,112583,Get_Current_Missile_Target_,110505,110744,239
Average_Missile_Kills_,112588,113118,Expected_Beam_Bomb_Damage_,102618,103378,760
Get_Total_Hits_,113414,113564,Get_Effective_Beam_Strength_,113246,113408,162
Retreat_Check_,113569,114208,Get_Effective_Beam_Strength_,113246,113407,161
Get_Long_Range_Beam_Strength_,114213,114542,Get_Effective_Beam_Strength_,113246,113405,159
Get_Player_Mode_,115770,115826,Get_Effective_Beam_Strength_,113246,113407,161
Get_Player_Mode_,115770,116000,Get_Effective_Beam_Strength_,113246,113407,161
Get_Player_Mode_,115770,116010,Get_Effective_Beam_Strength_,113246,113407,161
Get_Player_Mode_,115770,116040,Get_Effective_Beam_Strength_,113246,113407,161
Full_Draw_Combat_Screen_,116410,117703,Ship_Completely_On_Screen_,145831,146174,343
Draw_Special_Status_Display_,125325,125706,Ship_Completely_On_Screen_,145831,146174,343
Draw_Blip3_,125826,126032,Draw_Blip2_,125711,125817,106
Draw_Blip4_,126037,126339,Draw_Blip2_,125711,125817,106
Draw_Blip5_,126344,126796,Draw_Blip2_,125711,125817,106
Draw_Reduced_Combat_Map_,127346,127869,Ship_Completely_On_Screen_,145831,146174,343
Draw_Main_Combat_Screen_,128238,131149,Ship_Completely_On_Screen_,145831,146174,343
Draw_Ship_,131170,131427,Draw_Ship_Status_,119277,123570,4293
Draw_Ship_,131170,132017,Draw_Ship_Status_,119277,123570,4293
Draw_Ship_,131170,132575,Draw_Ship_Status_,119277,123570,4293
Draw_Ship_,131170,132619,Draw_Ship_Status_,119277,123570,4293
Draw_Ship_,131170,132652,Draw_Ship_Status_,119277,123570,4293
Combat_Draw_View_Ship_,132657,139040,Ship_Completely_On_Screen_,145831,146175,344
Detailed_View_Ship_,139045,139774,Ship_Completely_On_Screen_,145831,146174,343
Draw_Shield_Arcs_,139843,140424,Ship_Completely_On_Screen_,145831,146174,343
Draw_Weapon_Arcs_,141109,141727,Ship_Completely_On_Screen_,145831,146174,343
Draw_Retreating_Ship_,142740,143697,Ship_Completely_On_Screen_,145831,146174,343
Ship_On_Screen_,146201,146364,Ship_Completely_On_Screen_,145831,146172,341
Ship_On_Screen_,146201,146428,Ship_Completely_On_Screen_,145831,146172,341
Create_Ship_Darken_Map_,148102,148543,Ship_Completely_On_Screen_,145831,146174,343
Draw_Internals_Display_,148894,149788,Draw_Weapon_Status_Display_,123597,125313,1716
Draw_Legal_Boxes_,150198,150589,Ship_Completely_On_Screen_,145831,146174,343
Move_Options_Background_,150594,151235,Ship_Completely_On_Screen_,145831,146174,343
Draw_Board_Popup_,151240,151486,Draw_Reduced_Map_Box_,126801,127334,533
Defensive_Combat_Bonus_,154893,155143,Repair_Combat_Ship_,153633,154676,1043
Get_Fleet_Pilot_Bonus_,155310,155397,Get_Fleet_Engineer_Bonus_,155148,155235,87
Leader_Ordnance_Bonus_,155469,155504,Fighter_Pilot_Bonus_,155242,155304,62
Leader_Ordnance_Bonus_,155469,155513,Fighter_Pilot_Bonus_,155242,155283,41
Get_Fleet_Ordnance_Bonus_,155518,155605,Get_Fleet_Engineer_Bonus_,155148,155235,87
Get_Fleet_Commando_Bonus_,155610,155697,Get_Fleet_Engineer_Bonus_,155148,155235,87
Commando_Bonus_,155702,155739,Fighter_Pilot_Bonus_,155242,155304,62
Commando_Bonus_,155702,155765,Fighter_Pilot_Bonus_,155242,155304,62
Engineer_Bonus_,155770,155807,Fighter_Pilot_Bonus_,155242,155304,62
Engineer_Bonus_,155770,155816,Commando_Bonus_,155702,155748,46
Get_Fleet_Security_Bonus_,155818,155905,Get_Fleet_Engineer_Bonus_,155148,155235,87
Security_Bonus_,155910,155947,Fighter_Pilot_Bonus_,155242,155304,62
Security_Bonus_,155910,155956,Commando_Bonus_,155702,155748,46
Init_Internal_Space_,156784,157354,Fleet_Offensive_Bonus_,156262,156554,292
Offensive_Combat_Bonus_,157405,157560,Repair_Combat_Ship_,153633,154676,1043
Helmsman_Bonus_,157565,157600,Fighter_Pilot_Bonus_,155242,155304,62
Helmsman_Bonus_,157565,157609,Fighter_Pilot_Bonus_,155242,155283,41
Weaponry_Bonus_,157614,157649,Fighter_Pilot_Bonus_,155242,155304,62
Weaponry_Bonus_,157614,157658,Fighter_Pilot_Bonus_,155242,155283,41
Galactic_Lore_Bonus_,157663,157698,Fighter_Pilot_Bonus_,155242,155304,62
Galactic_Lore_Bonus_,157663,157707,Fighter_Pilot_Bonus_,155242,155283,41
Defensive_Fire_Check_,159441,160110,Apply_Internal_Damage_,152145,153627,1482
Max_Defensive_Fire_Range_,160115,160335,Fleet_Offensive_Bonus_,156262,156554,292
Get_Combat_Ship_Special_Id_,160340,160440,Repair_Combat_Ship_,153633,154676,1043
Apply_Combat_Artemis_Net_,165519,165941,Fleet_Offensive_Bonus_,156262,156554,292
Used_Teleporter_,166006,166026,Combat_Ship_Done_,165946,165969,23
Set_Teleporter_Used_,166028,166048,Set_Combat_Ship_Done_,165976,165999,23
Already_Boarded_,166050,166070,Combat_Ship_Done_,165946,165966,20
Set_Boarded_Flag_,166072,166092,Set_Combat_Ship_Done_,165976,165996,20
Being_Captured_,166094,166114,Combat_Ship_Done_,165946,165966,20
Set_Capturing_Flag_,166119,166139,Set_Combat_Ship_Done_,165976,165996,20
Fire_Special_Weapon_,174127,174331,Get_Beam_Weapon_Modifiers_,169012,169201,189
Fire_Special_Weapon_,174127,174491,Get_Beam_Weapon_Modifiers_,169012,169201,189
Fire_Special_Weapon_,174127,174613,Get_Beam_Weapon_Modifiers_,169012,169201,189
Fire_Special_Weapon_,174127,174667,Get_Beam_Weapon_Modifiers_,169012,169201,189
Fire_Special_Weapon_,174127,175131,Get_Beam_Weapon_Modifiers_,169012,169201,189
Fire_Fighter_Beam_,175447,176046,Weapon_In_Range_,171805,172211,406
Energy_Absorber_Attack_,176247,176941,Special_Is_Turned_On_,176132,176241,109
BHG_,177703,178232,Special_Is_Turned_On_,176132,176241,109
Find_Weakest_Shield_,187279,187340,Draw_Missiles_,182324,182396,72
Draw_Fighter_,187345,187859,Draw_Missile_,180956,181547,591
Retarget_Missile_,187864,188296,Draw_Missiles_,182324,182396,72
QGet_Target_SC_,204576,204667,QGet_Hits_Bonus_,204322,204418,96
Missile_Attack_,204672,204987,QLoad_Combat_Antaran_Ship_,196020,196332,312
Strat_Special_Attack_,205148,205338,QLoad_Combat_Antaran_Ship_,196020,196332,312
Beam_Attack_,205343,205639,QLoad_Combat_Antaran_Ship_,196020,196332,312
Resolve_Strat_Colony_Damage_,205814,206201,QGet_Target_,204424,204570,146
Bombardment_,206459,206634,QGet_Target_,204424,204570,146
Bombardment_,206459,206655,QGet_Target_,204424,204570,146
Enemy_Dissipator_Exists_,207457,207546,Init_Ship_For_Start_Of_Turn_,207728,208354,626
Seeking_Missiles_,216740,217738,Init_Ship_For_Start_Of_Turn_,207728,208353,625
Calc_Current_Speed_,217743,218198,Init_Ship_For_Start_Of_Turn_,207728,208353,625
Check_For_Winner_,218203,218370,Init_Ship_For_Start_Of_Turn_,207728,208354,626
Next_Ship_,218532,218576,Init_Ship_For_Start_Of_Turn_,207728,208353,625
Next_Ship_,218532,219207,Init_Ship_For_Start_Of_Turn_,207728,208353,625
Ship_Done_Check_,219405,219487,Combat_Ship_Is_Functional_,207399,207451,52
Add_Missile_Fields_,220839,221221,Init_Ship_For_Start_Of_Turn_,207728,208353,625
Set_Combat_Help_Fields_,221226,222667,Init_Ship_For_Start_Of_Turn_,207728,208353,625
Add_Tactical_Combat_Fields_,222672,223056,Init_Ship_For_Start_Of_Turn_,207728,208353,625
Add_Tactical_Combat_Fields_,222672,224431,Init_Ship_For_Start_Of_Turn_,207728,208353,625
Assign_Combat_Grids_,224456,225085,Init_Ship_For_Start_Of_Turn_,207728,208353,625
Assign_Mouse_Images_,225090,226602,Init_Ship_For_Start_Of_Turn_,207728,208353,625
Scroll_Combat_Screen_,236097,236804,Deploy_Ships_,233539,234657,1118
Load_Combat_Ship_Palette_,237465,237861,Deploy_Ships_,233539,234657,1118
Load_Individual_Ship_Pictures_,237866,238815,Deploy_Ships_,233539,234657,1118
Increment_Bhg_,238820,238960,Deploy_Ships_,233539,234657,1118
Plasma_Web_Damage_,239054,239499,Deploy_Ships_,233539,234657,1118
Recharge_Shields_,239504,239743,Deploy_Ships_,233539,234657,1118
Load_Tactical_Colony_,240182,241685,Load_Combat_Ship_,234826,236091,1265
Unload_Combat_Ship_,244193,244688,Deploy_Ships_,233539,234657,1118
Load_Combat_Satelite_,244693,248305,Deploy_Ships_,233539,234657,1118
Load_Display_Combat_Ship_,248606,249826,Deploy_Ships_,233539,234658,1119
Repair_All_Combat_Ships_,249831,250101,Deploy_Ships_,233539,234657,1118
Load_Antaran_Star_Fortress_,250254,251761,Deploy_Ships_,233539,234657,1118
End_Of_Turn_Diplomacy_Adjustments_,252594,253286,Init_Diplomatic_Relations_,251790,252587,797
Diplomacy_Growth_,253291,254896,Init_Diplomatic_Relations_,251790,252587,797
Determine_Diplomacy_Messages_,256774,258263,Init_Diplomatic_Relations_,251790,252587,797
Fleet_Strength_Comparison_,262351,262495,Required_Alliances_,261424,261643,219
Maintenance_Strength_Comparison_,262558,262600,Tech_Strength_Comparison_,262500,262550,50
Unprovoked_Good_Messages_,262602,264210,Required_Alliances_,261424,261643,219
Unprovoked_Good_Messages_,262602,264226,Required_Alliances_,261424,261643,219
Clear_Diplomacy_Messages_,264460,264908,Init_Diplomatic_Relations_,251790,252587,797
Determine_First_Contacts_,265047,265639,Init_Diplomatic_Relations_,251790,252587,797
Modifier_Diplomacy_Adjustments_,265644,266202,Init_Diplomatic_Relations_,251790,252588,798
Declare_War_,266360,267145,Required_Alliances_,261424,261643,219
Break_Treaties_,267150,268118,Required_Alliances_,261424,261643,219
Break_Research_,268123,268711,Required_Alliances_,261424,261643,219
Break_Trade_,268716,269309,Required_Alliances_,261424,261643,219
Break_Tribute_,269314,269769,Required_Alliances_,261424,261643,219
Total_War_Loss_Comparison_,270095,270304,Required_Alliances_,261424,261643,219
Start_Research_Treaty_,270672,270906,Required_Alliances_,261424,261643,219
Start_Trade_Treaty_,270911,271145,Required_Alliances_,261424,261643,219
Declare_Peace_,271611,271869,Required_Alliances_,261424,261643,219
Get_Gift_Response_,276259,276912,Reward_Check_,256515,256768,253
Get_Demand_Response_,276953,278161,Change_Relations_,254901,256509,1608
NPC_Sneak_Attacks_,278235,279708,Init_Diplomatic_Relations_,251790,252587,797
Sneak_Attack_Evaluations_,279713,281787,Reward_Check_,256515,256768,253
Init_Ship_Designs_,282559,282859,Best_Point_Defense_Weapon_,289180,289332,152
Init_Ship_Designs_,282559,282931,Best_Point_Defense_Weapon_,289180,289332,152
Load_Small_Antaran_Combat_Ship_,282977,283487,Load_Large_Antaran_Design_,285148,285452,304
Load_Small_Antaran_Design_,283492,283687,Load_Large_Antaran_Design_,285148,285452,304
Load_Medium_Antaran_Combat_Ship_,283692,284248,Load_Small_Antaran_Combat_Ship_,282977,283473,496
Load_Medium_Antaran_Design_,284253,284467,Load_Small_Antaran_Design_,283492,283663,171
Load_Large_Antaran_Combat_Ship_,284472,285143,Load_Small_Antaran_Combat_Ship_,282977,283473,496
Load_Huge_Antaran_Combat_Ship_,285458,286225,Load_Small_Antaran_Combat_Ship_,282977,283473,496
Load_Huge_Antaran_Design_,286230,286562,Load_Large_Antaran_Design_,285148,285428,280
Load_Titan_Antaran_Combat_Ship_,286567,287441,Best_Point_Defense_Weapon_,289180,289332,152
Load_Titan_Antaran_Design_,287446,287835,Load_Large_Antaran_Design_,285148,285428,280
Load_Outpost_Ship_Design_,288134,288313,Load_Colony_Ship_Design_,287949,288128,179
Best_Armor_,288863,288970,Best_Ship_Shield_,288670,288775,105
Best_Beam_Weapon_,289003,289175,Best_Bomb_Weapon_,289954,290072,118
Best_Point_Defense_Weapon_,289180,289333,Load_Large_Antaran_Design_,285148,285452,304
Best_Missile_Weapon_,289574,289733,Best_Bomb_Weapon_,289954,290072,118
Best_Missile_Weapon_,289574,289743,Best_Bomb_Weapon_,289954,290072,118
Best_Missile_Weapon_,289574,289753,Best_Bomb_Weapon_,289954,290072,118
Best_Missile_Weapon_NT_,289786,289929,Best_Beam_Weapon_,289003,289173,170
Best_Missile_Weapon_NT_,289786,289939,Best_Beam_Weapon_,289003,289173,170
Best_Missile_Weapon_NT_,289786,289949,Best_Beam_Weapon_,289003,289173,170
Best_Beam_To_Hit_Special_,290308,290413,Best_Bomb_Weapon_,289954,290070,116
Best_Beam_Damage_Special_,290418,290539,Best_Bomb_Weapon_,289954,290070,116
Best_Beam_Defense_Special_,290544,290665,Best_Bomb_Weapon_,289954,290070,116
Best_Missile_Defense_Special_,290670,290791,Best_Bomb_Weapon_,289954,290070,116
Best_Missile_Damage_Special_,290796,290925,Best_Beam_Weapon_,289003,289173,170
Best_Ship_Fuel_,290975,291085,Best_Bomb_Weapon_,289954,290070,116
Update_Player_Ship_Designs_,291090,291116,Best_Point_Defense_Weapon_,289180,289332,152
Update_Player_Ship_Designs_,291090,291157,Best_Point_Defense_Weapon_,289180,289332,152
Update_Player_Ship_Designs_,291090,291218,Best_Point_Defense_Weapon_,289180,289332,152
Update_Equipment_On_Ships_Being_Built_,291223,291494,Best_Point_Defense_Weapon_,289180,289332,152
Update_Automatic_Design_Equipment_,291499,291778,Best_Point_Defense_Weapon_,289180,289332,152
Update_Strategic_Ship_Designs_,291783,291996,Best_Point_Defense_Weapon_,289180,289332,152
Update_Player_Strategic_Ship_Designs_,292001,292193,Best_Point_Defense_Weapon_,289180,289332,152
Load_Eel_Ship_Design_,294164,294422,Load_Colony_Ship_Design_,287949,288128,179
Load_Guardian_Ship_Design_,294700,295043,Load_Large_Antaran_Design_,285148,285449,301
Check_For_Auto_Refit_,295048,295152,Load_Large_Antaran_Design_,285148,285452,304
Repair_Ships_At_Colonies_,295157,295406,Best_Ship_Shield_,288670,288775,105
Ship_Has_Weapon_,295536,295610,Load_Colony_Ship_Design_,287949,288128,179
Load_Loknar_Ship_Design_,296071,296383,Load_Large_Antaran_Design_,285148,285449,301
Get_Weighted_Choice_Best_Long_,296967,297041,Get_Weighted_Best_Choice_,296883,296961,78
Calculate_Picks_,299091,299264,Draw_Race_Option_Background_,299269,300703,1434
Draw_Racial_Option_Screen_,300709,303004,Draw_Race_Option_Background_,299269,300681,1412
Racial_Option_Screen_,304060,305267,Draw_Race_Option_Background_,299269,300696,1427
Racial_Option_Screen_,304060,305871,Draw_Race_Option_Background_,299269,300696,1427
Add_Race_Options_Fields_,305876,306578,Calculate_Picks_,299091,299263,172
Convert_Player_To_Flags_,306583,306739,Calculate_Picks_,299091,299263,172
Setup_Evolutionary_Upgrade_,307370,307525,Calculate_Picks_,299091,299263,172
Convert_Player_To_Flags_EM_,308429,308640,Calculate_Picks_,299091,299263,172
Convert_Flags_To_Player_EM_,308645,308804,Convert_Flags_To_Player_,306744,306926,182
Evolutionary_Mutation_Screen_,308809,310303,Draw_Race_Option_Background_,299269,300696,1427
Draw_Race_Selection_Screen_,310679,311817,Reload_Race_Selection_Screen_,310388,310673,285
Race_Selection_Screen_,312592,315186,Draw_Race_Selection_Screen_,310679,311810,1131
Draw_Flag_Screen_,315191,315386,Reload_Race_Selection_Screen_,310388,310672,284
Set_Flag_Screen_Help_,315391,315447,Set_Race_Select_Help_,311899,312585,686
Flag_Screen_,315452,315924,Reload_Race_Selection_Screen_,310388,310672,284
Flag_Screen_,315452,316014,Reload_Race_Selection_Screen_,310388,310672,284
Ken_Test_,316952,317063,Find_Ship_Stacks_,316446,316946,500
Remove_Non_Detected_Ships_,317779,318847,Find_Ship_Stacks_,316446,316945,499
Init_Player_Tech_,320863,322268,Init_Tech_,319971,320504,533
Ship_Strength_Vs_Shield_,323403,324279,Satelite_Strength_Vs_Ships_,322418,323089,671
Ship_Strength_Vs_Shield_,323403,324286,Satelite_Strength_Vs_Ships_,322418,323089,671
Missile_Base_Strength_,324900,324922,Ship_Strength_Vs_Planetary_Shield_,324473,324894,421
Missile_Base_Strength_,324900,325022,Ship_Strength_Vs_Planetary_Shield_,324473,324894,421
Phasor_Base_Strength_,325027,325191,Ship_Strength_Vs_Planetary_Shield_,324473,324894,421
Fighter_Garrison_Strength_,325196,325442,Ship_Strength_Vs_Planetary_Shield_,324473,324894,421
Get_Ship_Class_,326279,326345,Special_Devices_Available_,326122,326270,148
Get_Ship_Class_,326279,326387,Special_Devices_Available_,326122,326270,148
Get_Ship_Class_,326279,326449,Special_Devices_Available_,326122,326270,148
Get_Ship_Class_,326279,326500,Special_Devices_Available_,326122,326270,148
Get_Ship_Class_,326279,326515,Special_Devices_Available_,326122,326270,148
Get_Ship_Class_,326279,326549,Special_Devices_Available_,326122,326270,148
Get_Ship_Class_,326279,326564,Special_Devices_Available_,326122,326270,148
