site_offset,site_hex,index_register,bound_source_hex,dispatch_evidence,max_index,entry_count,table_offset,table_hex,table_end_hex,unique_targets
147009,0x23e41,edi,0x23e1b,cmp/ja,5,6,146859,0x23dab,0x23dc3,6
148771,0x24523,eax,0x2451e,cmp/ja,3,4,148548,0x24444,0x24454,4
171944,0x29fa8,eax,0x29f9d,cmp/ja,5,6,171781,0x29f05,0x29f1d,4
179762,0x2be32,ebx,0x2be13,cmp/ja,3,4,179658,0x2bdca,0x2bdda,4
180152,0x2bfb8,eax,0x2bfab,cmp/ja,8,9,180046,0x2bf4e,0x2bf72,9
195843,0x2fd03,eax,0x2fcf6,cmp/ja,5,6,195776,0x2fcc0,0x2fcd8,6
199893,0x30cd5,eax,0x30ccc,cmp/ja,6,7,199847,0x30ca7,0x30cc3,7
203062,0x31936,edx,0x31927,cmp/ja,7,8,202415,0x316af,0x316cf,8
233360,0x38f90,eax,0x38f89,cmp/ja,4,5,233269,0x38f35,0x38f49,5
237353,0x39f29,edi,0x39f18,cmp/ja,4,5,237245,0x39ebd,0x39ed1,5
250139,0x3d11b,edx,0x3d10e,cmp/ja,4,5,250106,0x3d0fa,0x3d10e,5
252429,0x3da0d,ebx,0x3da05,cmp/ja,5,6,251766,0x3d776,0x3d78e,5
272304,0x427b0,eax,0x427a3,cmp/ja,3,4,272125,0x426fd,0x4270d,4
276335,0x4376f,edx,0x4375f,cmp/ja,3,4,276243,0x43713,0x43723,4
282969,0x45159,edx,0x4514c,cmp/ja,4,5,282936,0x45138,0x4514c,5
288632,0x46778,esi,0x4676f,cmp/ja,6,7,288522,0x4670a,0x46726,3
289125,0x46965,eax,0x4695c,cmp/ja,6,7,288975,0x468cf,0x468eb,6
289720,0x46bb8,edx,0x46bab,cmp/ja,6,7,289546,0x46b0a,0x46b26,3
289916,0x46c7c,eax,0x46c6f,cmp/ja,6,7,289758,0x46bde,0x46bfa,3
290270,0x46dde,eax,0x46dd5,cmp/ja,6,7,290078,0x46d1e,0x46d3a,4
295859,0x483b3,eax,0x483a8,cmp/ja,4,5,295795,0x48373,0x48387,5
296473,0x48619,eax,0x48610,cmp/ja,6,7,296388,0x485c4,0x485e0,7
323885,0x4f12d,eax,0x4f11c,cmp/ja,5,6,323379,0x4ef33,0x4ef4b,5
353574,0x56526,edi,0x56519,cmp/ja,13,14,353381,0x56465,0x5649d,14
354271,0x567df,eax,0x567d6,cmp/ja,3,4,354172,0x5677c,0x5678c,4
359677,0x57cfd,edx,0x57cee,cmp/ja,5,6,359607,0x57cb7,0x57ccf,6
374054,0x5b526,eax,0x5b51d,cmp/ja,4,5,374021,0x5b505,0x5b519,5
379151,0x5c90f,edi,0x5c903,cmp/ja,5,6,379105,0x5c8e1,0x5c8f9,6
386592,0x5e620,eax,0x5e617,cmp/ja,4,5,386534,0x5e5e6,0x5e5fa,5
386649,0x5e659,eax,0x5e650,cmp/ja,4,5,386554,0x5e5fa,0x5e60e,5
389708,0x5f24c,eax,0x5f245,cmp/ja,4,5,389672,0x5f228,0x5f23c,5
414740,0x65414,eax,0x6540d,cmp/ja,4,5,414686,0x653de,0x653f2,5
418742,0x663b6,eax,0x663a7,cmp/ja,9,10,418173,0x6617d,0x661a5,10
434812,0x6a27c,eax,0x6a26f,cmp/ja,5,6,434759,0x6a247,0x6a25f,6
436307,0x6a853,eax,0x6a84c,cmp/ja,4,5,436226,0x6a802,0x6a816,5
436803,0x6aa43,eax,0x6aa3c,cmp/ja,4,5,436767,0x6aa1f,0x6aa33,5
436963,0x6aae3,eax,0x6aadc,cmp/ja,4,5,436927,0x6aabf,0x6aad3,5
437174,0x6abb6,eax,0x6abaf,cmp/ja,4,5,437138,0x6ab92,0x6aba6,3
444988,0x6ca3c,eax,0x6ca2f,cmp/ja,4,5,444890,0x6c9da,0x6c9ee,4
465806,0x71b8e,eax,0x71b87,cmp/ja,4,5,465768,0x71b68,0x71b7c,5
468466,0x725f2,eax,0x725e5,cmp/ja,9,10,468352,0x72580,0x725a8,8
500273,0x7a231,eax,0x7a224,cmp/ja,7,8,500214,0x7a1f6,0x7a216,8
501772,0x7a80c,eax,0x7a805,cmp/ja,4,5,501736,0x7a7e8,0x7a7fc,5
509164,0x7c4ec,eax,0x7c4e3,cmp/ja,3,4,509123,0x7c4c3,0x7c4d3,4
511771,0x7cf1b,eax,0x7cf0e,cmp/ja,3,4,511737,0x7cef9,0x7cf09,4
517430,0x7e536,ebx,0x7e516,cmp/ja,5,6,517320,0x7e4c8,0x7e4e0,4
518251,0x7e86b,ebx,0x7e847,cmp/ja,5,6,518154,0x7e80a,0x7e822,5
562195,0x89413,eax,0x8940c,cmp/ja,4,5,562159,0x893ef,0x89403,5
592650,0x90b0a,eax,0x90afd,cmp/ja,5,6,592452,0x90a44,0x90a5c,4
595670,0x916d6,edx,0x916cd,cmp/ja,5,6,595623,0x916a7,0x916bf,6
615767,0x96557,eax,0x96550,cmp/ja,4,5,615731,0x96533,0x96547,5
628290,0x99642,eax,0x99635,cmp/ja,3,4,628232,0x99608,0x99618,4
633428,0x9aa54,esi,0x9aa3b,cmp/ja,3,4,632391,0x9a647,0x9a657,4
636277,0x9b575,eax,0x9b553,cmp/ja,3,4,636190,0x9b51e,0x9b52e,4
645003,0x9d78b,eax,0x9d786,cmp/ja,3,4,644464,0x9d570,0x9d580,3
650276,0x9ec24,eax,0x9ec1b,cmp/ja,5,6,650227,0x9ebf3,0x9ec0b,3
654467,0x9fc83,eax,0x9fc76,cmp/ja,17,18,654373,0x9fc25,0x9fc6d,16
668519,0xa3367,eax,0xa335a,cmp/ja,17,18,668384,0xa32e0,0xa3328,16
673085,0xa453d,edx,0xa4531,cmp/ja,3,4,673043,0xa4513,0xa4523,4
673255,0xa45e7,edx,0xa45df,cmp/ja,3,4,673220,0xa45c4,0xa45d4,2
676048,0xa50d0,eax,0xa50be,cmp/ja,4,5,675534,0xa4ece,0xa4ee2,5
676299,0xa51cb,eax,0xa51bc,cmp/ja,4,5,675554,0xa4ee2,0xa4ef6,4
681729,0xa6701,eax,0xa66f6,cmp/ja,9,10,681608,0xa6688,0xa66b0,9
681787,0xa673b,eax,0xa6732,cmp/ja,3,4,681648,0xa66b0,0xa66c0,4
681848,0xa6778,eax,0xa6773,cmp/ja,3,4,681664,0xa66c0,0xa66d0,4
688639,0xa81ff,edx,0xa81f7,cmp/ja,5,6,688607,0xa81df,0xa81f7,6
688804,0xa82a4,eax,0xa8298,cmp/ja,5,6,688756,0xa8274,0xa828c,6
689618,0xa85d2,eax,0xa85cd,cmp/ja,3,4,689509,0xa8565,0xa8575,4
702110,0xab69e,edx,0xab695,cmp/ja,3,4,702085,0xab685,0xab695,4
702268,0xab73c,edx,0xab727,cmp/ja,3,4,702227,0xab713,0xab723,4
703140,0xabaa4,eax,0xaba97,cmp/ja,35,36,702974,0xab9fe,0xaba8e,18
704908,0xac18c,eax,0xac185,cmp/ja,3,4,704590,0xac04e,0xac05e,4
706808,0xac8f8,eax,0xac8f1,cmp/ja,3,4,706767,0xac8cf,0xac8df,4
735403,0xb38ab,edi,0xb3892,cmp/ja,6,7,735311,0xb384f,0xb386b,7
755760,0xb8830,eax,0xb8825,cmp/ja,3,4,755662,0xb87ce,0xb87de,4
759958,0xb9896,eax,0xb9891,cmp/ja,6,7,759743,0xb97bf,0xb97db,7
786879,0xc01bf,edx,0xc01a2,cmp/ja,46,47,786274,0xbff62,0xc001e,42
789095,0xc0a67,eax,0xc0a62,cmp/ja,5,6,786462,0xc001e,0xc0036,5
825915,0xc9a3b,eax,0xc9a34,cmp/ja,7,8,825784,0xc99b8,0xc99d8,2
887497,0xd8ac9,eax,0xd8abc,cmp/ja,5,6,886714,0xd87ba,0xd87d2,6
894977,0xda801,ecx,0xda7f0,repnz-scan,23,24,893585,0xda291,0xda2f1,13
895761,0xdab11,edx,0xdab09,cmp/ja,18,19,895573,0xdaa55,0xdaaa1,6
902285,0xdc48d,ecx,0xdc47f,cmp/ja,3,4,902078,0xdc3be,0xdc3ce,4
912566,0xdecb6,eax,0xdecab,cmp/ja,22,23,912396,0xdec0c,0xdec68,23
913162,0xdef0a,edx,0xdeefe,cmp/ja,11,12,912488,0xdec68,0xdec98,12
939683,0xe56a3,eax,0xe5698,cmp/ja,3,4,939649,0xe5681,0xe5691,4
940756,0xe5ad4,ecx,0xe5ac1,repnz-scan,67,68,940431,0xe598f,0xe5a9f,65
946572,0xe718c,edx,0xe7163,cmp/ja,4,5,946391,0xe70d7,0xe70eb,5
996937,0xf3649,ecx,0xf3636,repnz-scan,8,9,996747,0xf358b,0xf35af,9
1000810,0xf456a,eax,0xf455f,cmp/ja,8,9,1000332,0xf438c,0xf43b0,9
1003404,0xf4f8c,ebx,0xf4f81,cmp/ja,5,6,1003346,0xf4f52,0xf4f6a,5
1003532,0xf500c,ebx,0xf5001,cmp/ja,5,6,1003475,0xf4fd3,0xf4feb,4
1012997,0xf7505,eax,0xf74fa,cmp/ja,5,6,1012220,0xf71fc,0xf7214,6
1046257,0xff6f1,esi,0xff6ea,cmp/ja,4,5,1046043,0xff61b,0xff62f,3
1092759,0x10ac97,ecx,0x10ac8a,repnz-scan,34,35,1092593,0x10abf1,0x10ac7d,35
1100744,0x10cbc8,ecx,0x10cbbb,repnz-scan,21,22,1100611,0x10cb43,0x10cb9b,22
1134772,0x1150b4,eax,0x1150a0,cmp/ja,5,6,1134719,0x11507f,0x115097,6
1135436,0x11534c,eax,0x11533c,cmp/ja,5,6,1135387,0x11531b,0x115333,6
1135884,0x11550c,eax,0x1154fc,cmp/ja,5,6,1135835,0x1154db,0x1154f3,6
1165606,0x11c926,eax,0x11c914,cmp/ja,3,4,1165559,0x11c8f7,0x11c907,4
1165770,0x11c9ca,eax,0x11c9b8,cmp/ja,3,4,1165723,0x11c99b,0x11c9ab,4
1166422,0x11cc56,eax,0x11cc48,cmp/ja,3,4,1166379,0x11cc2b,0x11cc3b,4
1211073,0x127ac1,eax,0x127aa9,cmp/ja,3,4,1210983,0x127a67,0x127a77,4
1211972,0x127e44,eax,0x127e2c,cmp/ja,3,4,1211879,0x127de7,0x127df7,4
1239455,0x12e99f,eax,0x12e98b,cmp/ja,3,4,1239386,0x12e95a,0x12e96a,4
1240276,0x12ecd4,eax,0x12ecc0,cmp/ja,3,4,1240234,0x12ecaa,0x12ecba,4
1337625,0x146919,eax,0x146910,cmp/ja,3,4,1337412,0x146844,0x146854,4
1338089,0x146ae9,eax,0x146ae4,cmp/ja,3,4,1337428,0x146854,0x146864,4
1342068,0x147a74,eax,0x147a6f,cmp/ja,3,4,1342024,0x147a48,0x147a58,3
1342818,0x147d62,eax,0x147d55,cmp/ja,9,10,1342740,0x147d14,0x147d3c,8
1391020,0x1539ac,ebx,0x1539a3,cmp/ja,11,12,1390938,0x15395a,0x15398a,5
