name,start,provisional_end,size,instruction,opcode,target,direction,delta,target_owner,target_owner_start,target_relation,classification
Npc_Diplomacy_Screen_,44966,45163,197,44991,je,43962,before,1004,Npc_Display_Diplomacy_Messages_,42247,interior,cross_function_conditional
Check_Better_Offer_Available_,45914,46005,91,45941,je,32569,before,13345,Diplomacy_Propose_Treaty_,32091,interior,cross_function_conditional
Get_Human_Demand_Response_,46520,46884,364,46691,jmp,40281,before,6239,Diplomacy_Need_Better_Offer_,39800,interior,shared_epilogue_or_tail
Diplomacy_Mouse_Init_,47406,48475,1069,48470,jmp,29189,before,18217,Draw_Diplomacy_Synch_Mode_,28416,interior,shared_epilogue_or_tail
Diplomacy_Human_Need_Better_Offer_,48475,50199,1724,50194,jmp,32569,before,15906,Diplomacy_Propose_Treaty_,32091,interior,shared_epilogue_or_tail
Check_Surrender_System_,50199,50297,98,50292,jmp,32569,before,17630,Diplomacy_Propose_Treaty_,32091,interior,shared_epilogue_or_tail
Draw_Diplomacy_System_Text_,51417,51836,419,51831,jmp,32569,before,18848,Diplomacy_Propose_Treaty_,32091,interior,shared_epilogue_or_tail
Diplomacy_System_Scan_,51836,52045,209,52040,jmp,40281,before,11555,Diplomacy_Need_Better_Offer_,39800,interior,shared_epilogue_or_tail
Diplomacy_Exchange_Technology_,52045,53169,1124,52127,jle,32569,before,19476,Diplomacy_Propose_Treaty_,32091,interior,cross_function_conditional
Diplomacy_Surrender_,53496,53815,319,53597,je,31556,before,21940,Diplomacy_Declare_War_Resolution_,31220,interior,cross_function_conditional
Diplomacy_Offer_Money_,53815,54629,814,54299,jle,51168,before,2647,Diplomacy_System_Display_,50297,interior,cross_function_conditional
An_,56855,57080,225,57049,jmp,3941719774,after,3941662694,__SegmentEndPC32,1410708,interior,shared_epilogue_or_tail
Get_Net_Diplomacy_Choices_,57080,60695,3615,58812,jne,29188,before,27892,Draw_Diplomacy_Synch_Mode_,28416,interior,cross_function_conditional
Diplomacy_Listen_Mode_,60905,61275,370,61270,jmp,32569,before,28336,Diplomacy_Propose_Treaty_,32091,interior,shared_epilogue_or_tail
Diplomacy_Synch_Mode_,61743,61821,78,61816,jmp,1085898,after,1024077,Assign_Auto_Function_,1085898,entry,tail_call
Get_Listen_Mode_Message_,62283,62332,49,62327,jmp,34170,before,28113,Get_Human_Surrender_Message_,34144,interior,shared_epilogue_or_tail
Load_Diplomacy_Text_Messages_,62332,64531,2199,64526,jmp,29189,before,33143,Draw_Diplomacy_Synch_Mode_,28416,interior,shared_epilogue_or_tail
Setup_Diplomacy_Help_,64531,64774,243,64599,jne,32569,before,31962,Diplomacy_Propose_Treaty_,32091,interior,cross_function_conditional
Set_Opportunity_Attacks_,64896,65269,373,65240,jmp,29188,before,35708,Draw_Diplomacy_Synch_Mode_,28416,interior,shared_epilogue_or_tail
Add_Diplomacy_Turn_Summary_Messages_,65269,65517,248,65512,jmp,29188,before,36081,Draw_Diplomacy_Synch_Mode_,28416,interior,shared_epilogue_or_tail
Resolve_Delayed_Diplomacy_Orders_,65517,65731,214,65726,jmp,29189,before,36328,Draw_Diplomacy_Synch_Mode_,28416,interior,shared_epilogue_or_tail
Setup_Next_Event_,70513,72557,2044,72108,je,81305,after,8748,Pick_Random_Colony_No_Outpost_,81220,interior,cross_function_conditional
Determine_Event_,74506,77143,2637,74744,jne,81305,after,4162,Pick_Random_Colony_No_Outpost_,81220,interior,cross_function_conditional
Get_Event_Victim_,77143,77660,517,77595,jne,81305,after,3645,Pick_Random_Colony_No_Outpost_,81220,interior,cross_function_conditional
Get_Antaran_Victim_,77660,78006,346,78001,jmp,81305,after,3299,Pick_Random_Colony_No_Outpost_,81220,interior,shared_epilogue_or_tail
Get_Event_Climate_Change_Colony_,78092,78260,168,78255,jmp,81306,after,3046,Pick_Random_Colony_No_Outpost_,81220,interior,shared_epilogue_or_tail
Get_Event_Industrial_Accident_Colony_,78260,78430,170,78350,jne,78253,before,7,Get_Event_Climate_Change_Colony_,78092,interior,near_predecessor_epilogue
Get_Event_Mineral_Depletion_Colony_,78430,78523,93,78450,jne,78253,before,177,Get_Event_Climate_Change_Colony_,78092,interior,cross_function_conditional
Get_Event_Mineral_Deposit_Colony_,78523,78636,113,78543,jne,78253,before,270,Get_Event_Climate_Change_Colony_,78092,interior,cross_function_conditional
Event_Check_Planet_Warning_,79203,79679,476,79220,jg,81305,after,1626,Pick_Random_Colony_No_Outpost_,81220,interior,cross_function_conditional
Pick_Completely_Random_Star_,80479,80680,201,80664,jle,78253,before,2226,Get_Event_Climate_Change_Colony_,78092,interior,cross_function_conditional
Ship_Size_Points_At_Star_,80680,80740,60,80735,jmp,74363,before,6317,Event_Get_Fleet_Strength_,74301,interior,shared_epilogue_or_tail
Pick_Random_Player_In_Contact_,80765,80876,111,80871,jmp,81305,after,429,Pick_Random_Colony_No_Outpost_,81220,interior,shared_epilogue_or_tail
Pick_Random_Star_,80876,81057,181,81052,jmp,81305,after,248,Pick_Random_Colony_No_Outpost_,81220,interior,shared_epilogue_or_tail
Pick_Random_Officer_,81057,81133,76,81128,jmp,81306,after,173,Pick_Random_Colony_No_Outpost_,81220,interior,shared_epilogue_or_tail
Pick_Random_Ship_,81133,81220,87,81218,jmp,81306,after,86,Pick_Random_Colony_No_Outpost_,81220,interior,shared_epilogue_or_tail
Pick_Random_Colony_No_Capitol_,81312,81406,94,81404,jmp,81303,before,9,Pick_Random_Colony_No_Outpost_,81220,interior,near_predecessor_epilogue
Kill_All_Events_At_Colony_,81951,82639,688,82512,jne,81306,before,645,Pick_Random_Colony_No_Outpost_,81220,interior,cross_function_conditional
Star_Has_Event_,82684,83087,403,83063,jmp,325,before,82359,main2_,87,interior,shared_epilogue_or_tail
Determine_Lucky_Players_Events_,83217,83396,179,83377,jge,81303,before,1914,Pick_Random_Colony_No_Outpost_,81220,interior,cross_function_conditional
Stop_Background_Music_,84017,84047,30,84042,jmp,1063502,after,979455,Stop_Stream_,1063502,entry,tail_call
Get_Text_Message_,84473,84682,209,84674,jno,84752,after,70,Decode_Text_Message_,84682,interior,cross_function_conditional
Decode_Text_Name_,85296,85324,28,85319,jmp,85536,after,212,Decode_Text_Stat_,85512,interior,shared_epilogue_or_tail
Decode_Text_Race_,85296,85324,28,85319,jmp,85536,after,212,Decode_Text_Stat_,85512,interior,shared_epilogue_or_tail
Decode_Text_Race_And_Name_,85296,85324,28,85319,jmp,85536,after,212,Decode_Text_Stat_,85512,interior,shared_epilogue_or_tail
Decode_Text_Name_And_System_,85354,85379,25,85377,jmp,85348,before,6,Decode_Text_Name_And_Stat_,85324,interior,near_predecessor_epilogue
Decode_Text_Name_And_Tech_,85379,85404,25,85402,jmp,85348,before,31,Decode_Text_Name_And_Stat_,85324,interior,shared_epilogue_or_tail
Decode_Text_Name_And_Name_,85488,85512,24,85507,jmp,85343,before,145,Decode_Text_Name_And_Stat_,85324,interior,shared_epilogue_or_tail
Decode_Text_System_,85543,85566,23,85564,jmp,85534,before,9,Decode_Text_Stat_,85512,interior,near_predecessor_epilogue
Decode_Text_Field_,85566,85588,22,85586,jmp,85532,before,34,Decode_Text_Stat_,85512,interior,shared_epilogue_or_tail
Decode_Text_Tech_And_Other_Name_,85619,85654,35,85649,jmp,85435,before,184,Decode_Text_Name_And_Other_Tech_,85404,interior,shared_epilogue_or_tail
NPC_Tech_Exchange_,86725,86741,16,86736,jmp,93099,after,6358,NPC_To_Human_Diplomacy_,92560,interior,shared_epilogue_or_tail
NPC_To_NPC_Treaty_Negotiations_,87341,88786,1445,88781,jmp,87334,before,7,NPC_Threats_,86741,interior,near_predecessor_epilogue
Eliminate_NPC_Treaty_Conflicts_,89030,89212,182,89207,jmp,87334,before,1696,NPC_Threats_,86741,interior,shared_epilogue_or_tail
NPC_Diplomacy_Buildup_Penalties_,89212,89585,373,89241,jne,87334,before,1878,NPC_Threats_,86741,interior,cross_function_conditional
NPC_Declarations_Of_War_,89585,91914,2329,91909,jmp,87334,before,2251,NPC_Threats_,86741,interior,shared_epilogue_or_tail
NPC_Peace_Negotiations_,91914,92317,403,92312,jmp,87334,before,4580,NPC_Threats_,86741,interior,shared_epilogue_or_tail
NPC_To_Human_Diplomacy_,92560,93117,557,93112,jmp,87334,before,5226,NPC_Threats_,86741,interior,shared_epilogue_or_tail
Get_Tech_Exchange_Expectation_,94138,94356,218,94331,jmp,89024,before,5114,Honor_Alliances_,88786,interior,shared_epilogue_or_tail
NPC_Good_Proposal_Check_,95086,95495,409,95483,jmp,89024,before,6062,Honor_Alliances_,88786,interior,shared_epilogue_or_tail
NPC_Message_Rejection_Check_,95583,95974,391,95958,jp,96079,after,105,NPC_Proposal_Rejection_Accept_,95974,interior,cross_function_conditional
NPC_Treaty_Hatred_,96207,96829,622,96223,jb,87334,before,8873,NPC_Threats_,86741,interior,cross_function_conditional
NPC_Surrender_Check_,96829,98086,1257,98081,jmp,87334,before,9495,NPC_Threats_,86741,interior,shared_epilogue_or_tail
Does_Ship_Have_Missiles_Incoming_,98086,98207,121,98202,jmp,113407,after,15200,Get_Effective_Beam_Strength_,113246,interior,shared_epilogue_or_tail
Safe_To_Fire_Sphere_Weapon_,98207,98664,457,98649,jge,98199,before,8,Does_Ship_Have_Missiles_Incoming_,98086,interior,near_predecessor_epilogue
Ai_Self_Destruct_Check_,98664,99782,1118,99777,jmp,113408,after,13626,Get_Effective_Beam_Strength_,113246,interior,shared_epilogue_or_tail
Ai_Stasis_Check_,99914,100072,158,100067,jmp,113407,after,13335,Get_Effective_Beam_Strength_,113246,interior,shared_epilogue_or_tail
Range_To_Ship_,100442,100804,362,100799,jmp,110744,after,9940,Get_Current_Missile_Target_,110505,interior,shared_epilogue_or_tail
Expected_Missile_Damage_,102062,102618,556,102606,jmp,102056,before,6,Expected_Weapon_Damage_,100804,interior,near_predecessor_epilogue
Missile_Overkill_Check_,103384,103552,168,103547,jmp,113407,after,9855,Get_Effective_Beam_Strength_,113246,interior,shared_epilogue_or_tail
Check_For_Launched_Fighters_,103552,103647,95,103643,jne,103538,before,14,Missile_Overkill_Check_,103384,interior,near_predecessor_epilogue
Is_Ship_Targeted_By_Missile_,103888,103958,70,103942,jge,103616,before,272,Check_For_Launched_Fighters_,103552,interior,cross_function_conditional
Crystal_Control_,104336,104503,167,104348,je,113407,after,8904,Get_Effective_Beam_Strength_,113246,interior,cross_function_conditional
Do_Auto_Ship_Turn_,104503,106267,1764,104530,jne,113407,after,7140,Get_Effective_Beam_Strength_,113246,interior,cross_function_conditional
Select_Missile_To_Target_,106821,107065,244,107060,jmp,113407,after,6342,Get_Effective_Beam_Strength_,113246,interior,shared_epilogue_or_tail
Select_Ship_To_Target_,107626,107752,126,107747,jmp,103544,before,4082,Missile_Overkill_Check_,103384,interior,shared_epilogue_or_tail
Combat_Ship_Class_,107845,108413,568,108383,jmp,110744,after,2331,Get_Current_Missile_Target_,110505,interior,shared_epilogue_or_tail
Auto_Move_Ship_,108965,109817,852,109812,jmp,110744,after,927,Get_Current_Missile_Target_,110505,interior,shared_epilogue_or_tail
Get_Current_Target_,110750,110993,243,110859,jmp,110744,before,6,Get_Current_Missile_Target_,110505,interior,near_predecessor_epilogue
Get_Effective_Missile_Strength_,111101,112588,1487,112583,jmp,110744,before,357,Get_Current_Missile_Target_,110505,interior,shared_epilogue_or_tail
Average_Missile_Kills_,112588,113123,535,113118,jmp,103378,before,9210,Expected_Beam_Bomb_Damage_,102618,interior,shared_epilogue_or_tail
Get_Total_Hits_,113414,113569,155,113564,jmp,113408,before,6,Get_Effective_Beam_Strength_,113246,interior,near_predecessor_epilogue
Retreat_Check_,113569,114213,644,114208,jmp,113407,before,162,Get_Effective_Beam_Strength_,113246,interior,shared_epilogue_or_tail
Get_Long_Range_Beam_Strength_,114213,114547,334,114542,jmp,113405,before,808,Get_Effective_Beam_Strength_,113246,interior,shared_epilogue_or_tail
Get_Player_Mode_,115770,116053,283,115826,jmp,113407,before,2363,Get_Effective_Beam_Strength_,113246,interior,shared_epilogue_or_tail
Full_Draw_Combat_Screen_,116410,117708,1298,116427,je,146174,after,28466,Ship_Completely_On_Screen_,145831,interior,cross_function_conditional
Draw_Special_Status_Display_,125325,125711,386,125640,jne,146174,after,20463,Ship_Completely_On_Screen_,145831,interior,cross_function_conditional
Draw_Blip3_,125826,126037,211,126032,jmp,125817,before,9,Draw_Blip2_,125711,interior,near_predecessor_epilogue
Draw_Blip4_,126037,126344,307,126339,jmp,125817,before,220,Draw_Blip2_,125711,interior,shared_epilogue_or_tail
Draw_Blip5_,126344,126801,457,126796,jmp,125817,before,527,Draw_Blip2_,125711,interior,shared_epilogue_or_tail
Draw_Reduced_Combat_Map_,127346,127874,528,127869,jmp,146174,after,18300,Ship_Completely_On_Screen_,145831,interior,shared_epilogue_or_tail
Draw_Main_Combat_Screen_,128238,131170,2932,128301,je,146174,after,15004,Ship_Completely_On_Screen_,145831,interior,cross_function_conditional
Draw_Ship_,131170,132657,1487,131427,jmp,123570,before,7600,Draw_Ship_Status_,119277,interior,shared_epilogue_or_tail
Combat_Draw_View_Ship_,132657,139045,6388,139040,jmp,146175,after,7130,Ship_Completely_On_Screen_,145831,interior,shared_epilogue_or_tail
Detailed_View_Ship_,139045,139843,798,139774,jmp,146174,after,6331,Ship_Completely_On_Screen_,145831,interior,shared_epilogue_or_tail
Draw_Shield_Arcs_,139843,141109,1266,139860,je,146174,after,5065,Ship_Completely_On_Screen_,145831,interior,cross_function_conditional
Draw_Weapon_Arcs_,141109,141732,623,141727,jmp,146174,after,4442,Ship_Completely_On_Screen_,145831,interior,shared_epilogue_or_tail
Draw_Retreating_Ship_,142740,143702,962,143017,jne,146174,after,2472,Ship_Completely_On_Screen_,145831,interior,cross_function_conditional
Ship_On_Screen_,146201,146437,236,146326,ja,146172,before,29,Ship_Completely_On_Screen_,145831,interior,cross_function_conditional
Create_Ship_Darken_Map_,148102,148564,462,148543,jmp,146174,before,1928,Ship_Completely_On_Screen_,145831,interior,shared_epilogue_or_tail
Draw_Internals_Display_,148894,149793,899,148921,je,125313,before,23581,Draw_Weapon_Status_Display_,123597,interior,cross_function_conditional
Draw_Legal_Boxes_,150198,150594,396,150215,je,146174,before,4024,Ship_Completely_On_Screen_,145831,interior,cross_function_conditional
Move_Options_Background_,150594,151240,646,151235,jmp,146174,before,4420,Ship_Completely_On_Screen_,145831,interior,shared_epilogue_or_tail
Draw_Board_Popup_,151240,151491,251,151486,jmp,127334,before,23906,Draw_Reduced_Map_Box_,126801,interior,shared_epilogue_or_tail
Defensive_Combat_Bonus_,154893,155148,255,155143,jmp,154676,before,217,Repair_Combat_Ship_,153633,interior,shared_epilogue_or_tail
Get_Fleet_Pilot_Bonus_,155310,155402,92,155397,jmp,155235,before,75,Get_Fleet_Engineer_Bonus_,155148,interior,shared_epilogue_or_tail
Leader_Ordnance_Bonus_,155469,155518,49,155504,jmp,155304,before,165,Fighter_Pilot_Bonus_,155242,interior,shared_epilogue_or_tail
Get_Fleet_Ordnance_Bonus_,155518,155610,92,155605,jmp,155235,before,283,Get_Fleet_Engineer_Bonus_,155148,interior,shared_epilogue_or_tail
Get_Fleet_Commando_Bonus_,155610,155702,92,155697,jmp,155235,before,375,Get_Fleet_Engineer_Bonus_,155148,interior,shared_epilogue_or_tail
Commando_Bonus_,155702,155770,68,155739,jmp,155304,before,398,Fighter_Pilot_Bonus_,155242,interior,shared_epilogue_or_tail
Engineer_Bonus_,155770,155818,48,155807,jmp,155304,before,466,Fighter_Pilot_Bonus_,155242,interior,shared_epilogue_or_tail
Get_Fleet_Security_Bonus_,155818,155910,92,155905,jmp,155235,before,583,Get_Fleet_Engineer_Bonus_,155148,interior,shared_epilogue_or_tail
Security_Bonus_,155910,155961,51,155947,jmp,155304,before,606,Fighter_Pilot_Bonus_,155242,interior,shared_epilogue_or_tail
Init_Internal_Space_,156784,157359,575,157354,jmp,156554,before,230,Fleet_Offensive_Bonus_,156262,interior,shared_epilogue_or_tail
Offensive_Combat_Bonus_,157405,157565,160,157560,jmp,154676,before,2729,Repair_Combat_Ship_,153633,interior,shared_epilogue_or_tail
Helmsman_Bonus_,157565,157614,49,157600,jmp,155304,before,2261,Fighter_Pilot_Bonus_,155242,interior,shared_epilogue_or_tail
Weaponry_Bonus_,157614,157663,49,157649,jmp,155304,before,2310,Fighter_Pilot_Bonus_,155242,interior,shared_epilogue_or_tail
Galactic_Lore_Bonus_,157663,157712,49,157698,jmp,155304,before,2359,Fighter_Pilot_Bonus_,155242,interior,shared_epilogue_or_tail
Defensive_Fire_Check_,159441,160115,674,159469,je,153627,before,5814,Apply_Internal_Damage_,152145,interior,cross_function_conditional
Max_Defensive_Fire_Range_,160115,160340,225,160335,jmp,156554,before,3561,Fleet_Offensive_Bonus_,156262,interior,shared_epilogue_or_tail
Get_Combat_Ship_Special_Id_,160340,160445,105,160440,jmp,154676,before,5664,Repair_Combat_Ship_,153633,interior,shared_epilogue_or_tail
Apply_Combat_Artemis_Net_,165519,165946,427,165941,jmp,156554,before,8965,Fleet_Offensive_Bonus_,156262,interior,shared_epilogue_or_tail
Used_Teleporter_,166006,166028,22,166026,jmp,165969,before,37,Combat_Ship_Done_,165946,interior,shared_epilogue_or_tail
Set_Teleporter_Used_,166028,166050,22,166048,jmp,165999,before,29,Set_Combat_Ship_Done_,165976,interior,shared_epilogue_or_tail
Already_Boarded_,166050,166072,22,166070,jmp,165966,before,84,Combat_Ship_Done_,165946,interior,shared_epilogue_or_tail
Set_Boarded_Flag_,166072,166094,22,166092,jmp,165996,before,76,Set_Combat_Ship_Done_,165976,interior,shared_epilogue_or_tail
Being_Captured_,166094,166119,25,166114,jmp,165966,before,128,Combat_Ship_Done_,165946,interior,shared_epilogue_or_tail
Set_Capturing_Flag_,166119,166144,25,166139,jmp,165996,before,123,Set_Combat_Ship_Done_,165976,interior,shared_epilogue_or_tail
Fire_Special_Weapon_,174127,175136,1009,174309,jb,169201,before,4926,Get_Beam_Weapon_Modifiers_,169012,interior,cross_function_conditional
Fire_Fighter_Beam_,175447,176051,604,176014,jne,172211,before,3236,Weapon_In_Range_,171805,interior,cross_function_conditional
Energy_Absorber_Attack_,176247,176946,699,176941,jmp,176241,before,6,Special_Is_Turned_On_,176132,interior,near_predecessor_epilogue
BHG_,177703,178237,534,178232,jmp,176241,before,1462,Special_Is_Turned_On_,176132,interior,shared_epilogue_or_tail
Find_Weakest_Shield_,187279,187345,66,187340,jmp,182396,before,4883,Draw_Missiles_,182324,interior,shared_epilogue_or_tail
Draw_Fighter_,187345,187864,519,187859,jmp,181547,before,5798,Draw_Missile_,180956,interior,shared_epilogue_or_tail
Retarget_Missile_,187864,188301,437,188296,jmp,182396,before,5468,Draw_Missiles_,182324,interior,shared_epilogue_or_tail
QGet_Target_SC_,204576,204672,96,204667,jmp,204418,before,158,QGet_Hits_Bonus_,204322,interior,shared_epilogue_or_tail
Missile_Attack_,204672,204992,320,204727,jle,196332,before,8340,QLoad_Combat_Antaran_Ship_,196020,interior,cross_function_conditional
Strat_Special_Attack_,205148,205343,195,205225,jle,196332,before,8816,QLoad_Combat_Antaran_Ship_,196020,interior,cross_function_conditional
Beam_Attack_,205343,205644,301,205437,jle,196332,before,9011,QLoad_Combat_Antaran_Ship_,196020,interior,cross_function_conditional
Resolve_Strat_Colony_Damage_,205814,206206,392,205850,ja,204570,before,1244,QGet_Target_,204424,interior,cross_function_conditional
Bombardment_,206459,206721,262,206634,jmp,204570,before,1889,QGet_Target_,204424,interior,shared_epilogue_or_tail
Enemy_Dissipator_Exists_,207457,207551,94,207546,jmp,208354,after,803,Init_Ship_For_Start_Of_Turn_,207728,interior,shared_epilogue_or_tail
Seeking_Missiles_,216740,217743,1003,217738,jmp,208353,before,8387,Init_Ship_For_Start_Of_Turn_,207728,interior,shared_epilogue_or_tail
Calc_Current_Speed_,217743,218203,460,218198,jmp,208353,before,9390,Init_Ship_For_Start_Of_Turn_,207728,interior,shared_epilogue_or_tail
Check_For_Winner_,218203,218375,172,218370,jmp,208354,before,9849,Init_Ship_For_Start_Of_Turn_,207728,interior,shared_epilogue_or_tail
Next_Ship_,218532,219212,680,218576,jmp,208353,before,10179,Init_Ship_For_Start_Of_Turn_,207728,interior,shared_epilogue_or_tail
Ship_Done_Check_,219405,219492,87,219487,jmp,207451,before,11954,Combat_Ship_Is_Functional_,207399,interior,shared_epilogue_or_tail
Add_Missile_Fields_,220839,221226,387,221221,jmp,208353,before,12486,Init_Ship_For_Start_Of_Turn_,207728,interior,shared_epilogue_or_tail
Set_Combat_Help_Fields_,221226,222672,1446,222667,jmp,208353,before,12873,Init_Ship_For_Start_Of_Turn_,207728,interior,shared_epilogue_or_tail
Add_Tactical_Combat_Fields_,222672,224456,1784,223056,jmp,208353,before,14319,Init_Ship_For_Start_Of_Turn_,207728,interior,shared_epilogue_or_tail
Assign_Combat_Grids_,224456,225090,634,225043,jne,208353,before,16103,Init_Ship_For_Start_Of_Turn_,207728,interior,cross_function_conditional
Assign_Mouse_Images_,225090,226607,1517,226602,jmp,208353,before,16737,Init_Ship_For_Start_Of_Turn_,207728,interior,shared_epilogue_or_tail
Set_Legal_Moves_,226607,227490,883,227486,jg,227490,after,0,Combat_Screen_,227490,entry,near_successor_boundary
Scroll_Combat_Screen_,236097,236809,712,236804,jmp,234657,before,1440,Deploy_Ships_,233539,interior,shared_epilogue_or_tail
Load_Combat_Ship_Palette_,237465,237866,401,237861,jmp,234657,before,2808,Deploy_Ships_,233539,interior,shared_epilogue_or_tail
Load_Individual_Ship_Pictures_,237866,238820,954,238815,jmp,234657,before,3209,Deploy_Ships_,233539,interior,shared_epilogue_or_tail
Increment_Bhg_,238820,238965,145,238960,jmp,234657,before,4163,Deploy_Ships_,233539,interior,shared_epilogue_or_tail
Plasma_Web_Damage_,239054,239504,450,239499,jmp,234657,before,4397,Deploy_Ships_,233539,interior,shared_epilogue_or_tail
Recharge_Shields_,239504,239748,244,239743,jmp,234657,before,4847,Deploy_Ships_,233539,interior,shared_epilogue_or_tail
Load_Tactical_Colony_,240182,241690,1508,241670,je,236091,before,4091,Load_Combat_Ship_,234826,interior,cross_function_conditional
Unload_Combat_Ship_,244193,244693,500,244229,je,234657,before,9536,Deploy_Ships_,233539,interior,cross_function_conditional
Load_Combat_Satelite_,244693,248310,3617,248305,jmp,234657,before,10036,Deploy_Ships_,233539,interior,shared_epilogue_or_tail
Load_Display_Combat_Ship_,248606,249831,1225,249780,jae,234658,before,13948,Deploy_Ships_,233539,interior,cross_function_conditional
Repair_All_Combat_Ships_,249831,250126,295,250101,jmp,234657,before,15174,Deploy_Ships_,233539,interior,shared_epilogue_or_tail
Load_Combat_Antaran_Ship_,250126,250177,51,250130,ja,248605,before,1521,Init_Special_Devices_,248310,interior,cross_function_conditional
Load_Antaran_Star_Fortress_,250254,251790,1536,251761,jmp,234657,before,15597,Deploy_Ships_,233539,interior,shared_epilogue_or_tail
End_Of_Turn_Diplomacy_Adjustments_,252594,253291,697,253286,jmp,252587,before,7,Init_Diplomatic_Relations_,251790,interior,near_predecessor_epilogue
Diplomacy_Growth_,253291,254901,1610,254787,jne,252587,before,704,Init_Diplomatic_Relations_,251790,interior,cross_function_conditional
Determine_Diplomacy_Messages_,256774,258268,1494,258263,jmp,252587,before,4187,Init_Diplomatic_Relations_,251790,interior,shared_epilogue_or_tail
Fleet_Strength_Comparison_,262351,262500,149,262495,jmp,261643,before,708,Required_Alliances_,261424,interior,shared_epilogue_or_tail
