site_offset,site_hex,kind,operand,form,likely_switch,function,function_offset,segment
179762,0x2be32,jump,DWORD PTR cs:[ebx*4+0x2bdca],indexed_memory,1,Get_Multiple_Torpedo_Coords_,179674,
180152,0x2bfb8,jump,DWORD PTR cs:[eax*4+0x2bf4e],indexed_memory,1,Get_Multiple_Missile_Coords_,180082,
195843,0x2fd03,jump,DWORD PTR cs:[eax*4+0x2fcc0],indexed_memory,1,Tactical_Combat_Receive_Message_,195800,
199893,0x30cd5,jump,DWORD PTR cs:[eax*4+0x30ca7],indexed_memory,1,Get_Non_Player_Name_,199875,
203062,0x31936,jump,DWORD PTR cs:[edx+0x316af],memory,0,Qload_Ships_,202447,
233360,0x38f90,jump,DWORD PTR cs:[eax*4+0x38f35],indexed_memory,1,Ship_Can_Deploy_At_,233289,
237353,0x39f29,jump,DWORD PTR cs:[edi+0x39ebd],memory,0,Ship_Center_Offsets_,237265,
250139,0x3d11b,jump,DWORD PTR cs:[edx*4+0x3d0fa],indexed_memory,1,Load_Combat_Antaran_Ship_,250126,
252429,0x3da0d,jump,DWORD PTR cs:[ebx*4+0x3d776],indexed_memory,1,Init_Diplomatic_Relations_,251790,
272304,0x427b0,jump,DWORD PTR cs:[eax*4+0x426fd],indexed_memory,1,Check_Treaty_Proposal_,272173,
276335,0x4376f,jump,DWORD PTR cs:[edx+0x43713],memory,0,Get_Gift_Response_,276259,
282969,0x45159,jump,DWORD PTR cs:[edx*4+0x45138],indexed_memory,1,Load_Antaran_Ship_Design_,282956,
288632,0x46778,jump,DWORD PTR cs:[esi*4+0x4670a],indexed_memory,1,Best_Warp_Drive_,288550,
289125,0x46965,jump,DWORD PTR cs:[eax*4+0x468cf],indexed_memory,1,Best_Beam_Weapon_,289003,
289720,0x46bb8,jump,DWORD PTR cs:[edx*4+0x46b0a],indexed_memory,1,Best_Missile_Weapon_,289574,
289916,0x46c7c,jump,DWORD PTR cs:[eax*4+0x46bde],indexed_memory,1,Best_Missile_Weapon_NT_,289786,
290270,0x46dde,jump,DWORD PTR cs:[eax*4+0x46d1e],indexed_memory,1,Best_Strat_Special_Weapon_,290106,
295859,0x483b3,jump,DWORD PTR cs:[eax*4+0x48373],indexed_memory,1,Get_Ship_Structure_,295815,
296473,0x48619,jump,DWORD PTR cs:[eax*4+0x485c4],indexed_memory,1,Load_Player_Ship_Palette_,296416,
323885,0x4f12d,jump,DWORD PTR cs:[eax*4+0x4ef33],indexed_memory,1,Ship_Strength_Vs_Shield_,323403,
353574,0x56526,jump,DWORD PTR cs:[edi*4+0x56465],indexed_memory,1,Get_Weapon_Mod_Field_XYs_,353437,
354271,0x567df,jump,DWORD PTR cs:[eax*4+0x5677c],indexed_memory,1,Mod_Allowed_On_Weapon_Type_,354188,
359677,0x57cfd,jump,DWORD PTR cs:[edx*4+0x57cb7],indexed_memory,1,Print_Weapon_Modification_Message_,359631,
374054,0x5b526,jump,DWORD PTR cs:[eax*4+0x5b505],indexed_memory,1,Cost_Given_M_Level_,374041,
379151,0x5c90f,jump,DWORD PTR cs:[edi+0x5c8e1],memory,0,Get_Ship_Size_Button_Field_XY_,379129,
386592,0x5e620,jump,DWORD PTR cs:[eax*4+0x5e5e6],indexed_memory,1,Space_Given_M_Level_,386574,
386649,0x5e659,jump,DWORD PTR cs:[eax*4+0x5e5fa],indexed_memory,1,Space_Given_M_Level_,386574,
389708,0x5f24c,jump,DWORD PTR cs:[eax*4+0x5f228],indexed_memory,1,Get_Tech_Description_Lbx_Name_,389692,
414740,0x65414,jump,DWORD PTR cs:[eax*4+0x653de],indexed_memory,1,Crew_Description_String_,414706,
418742,0x663b6,jump,DWORD PTR cs:[eax*4+0x6617d],indexed_memory,1,Print_Fltscrn_Scanned_Star_Name_,418213,
434812,0x6a27c,jump,DWORD PTR cs:[eax*4+0x6a247],indexed_memory,1,User_Box_,434783,
436307,0x6a853,jump,DWORD PTR cs:[eax*4+0x6a802],indexed_memory,1,Load_H_Strings_,436246,
436803,0x6aa43,jump,DWORD PTR cs:[eax*4+0x6aa1f],indexed_memory,1,Get_Font_File_,436787,
436963,0x6aae3,jump,DWORD PTR cs:[eax*4+0x6aabf],indexed_memory,1,Get_Officer_Data_LBX_Name_,436947,
437174,0x6abb6,jump,DWORD PTR cs:[eax*4+0x6ab92],indexed_memory,1,Get_Monetary_Unit_String_,437158,
444988,0x6ca3c,jump,DWORD PTR cs:[eax*4+0x6c9da],indexed_memory,1,Upgrade_Planet_Guarded_By_Monster_,444910,
465806,0x71b8e,jump,DWORD PTR cs:[eax*4+0x71b68],indexed_memory,1,Init_Credits_,465788,
468466,0x725f2,jump,DWORD PTR cs:[eax*4+0x72580],indexed_memory,1,Check_Function_Keys_,468392,
500273,0x7a231,jump,DWORD PTR cs:[eax*4+0x7a1f6],indexed_memory,1,Toggle_Game_Option_,500246,
501772,0x7a80c,jump,DWORD PTR cs:[eax*4+0x7a7e8],indexed_memory,1,Get_Research_Unit_String_,501756,
509164,0x7c4ec,jump,DWORD PTR cs:[eax*4+0x7c4c3],indexed_memory,1,Generate_Number_Of_Nebulas_,509139,
511771,0x7cf1b,jump,DWORD PTR cs:[eax*4+0x7cef9],indexed_memory,1,Init_Main_Screen_,511753,
517430,0x7e536,jump,DWORD PTR cs:[ebx*4+0x7e4c8],indexed_memory,1,Font_Colors_,517344,
518251,0x7e86b,jump,DWORD PTR cs:[ebx*4+0x7e80a],indexed_memory,1,Min_Font_Colors_,518178,
520750,0x7f22e,call,DWORD PTR [ebp-0x4],memory,0,Fade_Into_Screen_,520644,
562195,0x89413,jump,DWORD PTR cs:[eax*4+0x893ef],indexed_memory,1,Get_Skill_Description_LBX_Name_,562179,
582259,0x8e273,call,DWORD PTR [ebp-0x4],memory,0,Draw_Generic_Score_,582151,
590572,0x902ec,call,DWORD PTR [ebp-0x4],memory,0,Draw_Generic_Vertical_Scroll_Bar_,590374,
592650,0x90b0a,jump,DWORD PTR cs:[eax*4+0x90a44],indexed_memory,1,Get_Ship_Icon_Coords_,592476,
595670,0x916d6,jump,DWORD PTR cs:[edx*4+0x916a7],indexed_memory,1,Build_Nonplayer_Ship_,595647,
615767,0x96557,jump,DWORD PTR cs:[eax*4+0x96533],indexed_memory,1,Get_Help_Lbx_Name_,615751,
628290,0x99642,jump,DWORD PTR cs:[eax*4+0x99608],indexed_memory,1,Adjust_Shield_Display_Status_,628248,
633428,0x9aa54,jump,DWORD PTR cs:[esi*4+0x9a647],indexed_memory,1,Draw_Beam_,632407,
636277,0x9b575,jump,DWORD PTR cs:[eax+0x9b51e],memory,0,Draw_Beam2_,636206,
645003,0x9d78b,jump,DWORD PTR cs:[eax*4+0x9d570],indexed_memory,1,Draw_Plasma_Web_,644480,
650276,0x9ec24,jump,DWORD PTR cs:[eax*4+0x9ebf3],indexed_memory,1,Play_Ship_Explosion_SFX_,650251,
654467,0x9fc83,jump,DWORD PTR cs:[eax*4+0x9fc25],indexed_memory,1,Option_String_,654445,
668519,0xa3367,jump,DWORD PTR cs:[eax*4+0xa32e0],indexed_memory,1,Draw_Current_Selection_,668456,
673085,0xa453d,jump,DWORD PTR cs:[edx*4+0xa4513],indexed_memory,1,Decrement_Bomb_Counters_,673059,
673255,0xa45e7,jump,DWORD PTR cs:[edx*4+0xa45c4],indexed_memory,1,Allocate_Hit_,673236,
676048,0xa50d0,jump,DWORD PTR cs:[eax*4+0xa4ece],indexed_memory,1,Do_Colony_Info_Pop_Stuff_For_Pop_,675574,
676299,0xa51cb,jump,DWORD PTR cs:[eax*4+0xa4ee2],indexed_memory,1,Do_Colony_Info_Pop_Stuff_For_Pop_,675574,
681729,0xa6701,jump,DWORD PTR cs:[eax*4+0xa6688],indexed_memory,1,Veggie_Type_For_Colony_,681680,
681787,0xa673b,jump,DWORD PTR cs:[eax*4+0xa66b0],indexed_memory,1,Veggie_Type_For_Colony_,681680,
681848,0xa6778,jump,DWORD PTR cs:[eax*4+0xa66c0],indexed_memory,1,Veggie_Type_For_Colony_,681680,
688639,0xa81ff,jump,DWORD PTR cs:[edx*4+0xa81df],indexed_memory,1,Action_Anim_,688631,
688804,0xa82a4,jump,DWORD PTR cs:[eax*4+0xa8274],indexed_memory,1,Pick_Next_Action_,688780,
689618,0xa85d2,jump,DWORD PTR cs:[eax*4+0xa8565],indexed_memory,1,Do_Legal_Move_Check_,689525,
702110,0xab69e,jump,DWORD PTR cs:[edx*4+0xab685],indexed_memory,1,Player_Troop_Name_,702101,
702268,0xab73c,jump,DWORD PTR cs:[edx*4+0xab713],indexed_memory,1,Player_Troop_Anim_,702243,
703140,0xabaa4,jump,DWORD PTR cs:[eax*4+0xab9fe],indexed_memory,1,C_Anims_,703118,
704908,0xac18c,jump,DWORD PTR cs:[eax*4+0xac04e],indexed_memory,1,Insert_Bldg_Into_Array_,704606,
706808,0xac8f8,jump,DWORD PTR cs:[eax*4+0xac8cf],indexed_memory,1,Colony_Type_,706783,
735403,0xb38ab,jump,DWORD PTR cs:[edi*4+0xb384f],indexed_memory,1,Switched_cmp_,735339,
755760,0xb8830,jump,DWORD PTR cs:[eax*4+0xb87ce],indexed_memory,1,Draw_Selection_Popup_,755678,
759958,0xb9896,jump,DWORD PTR cs:[eax*4+0xb97bf],indexed_memory,1,Player_Attacked_Popup_,759771,
786879,0xc01bf,jump,DWORD PTR cs:[edx+0xbff62],memory,0,Colony_Building_Score_,786486,
789095,0xc0a67,jump,DWORD PTR cs:[eax*4+0xc001e],indexed_memory,1,Colony_Building_Score_,786486,
818876,0xc7ebc,call,DWORD PTR [ebp-0x24],memory,0,Ship_Rough_Strength_At_Star_,818515,
819163,0xc7fdb,call,DWORD PTR [ebp-0xc],memory,0,Ship_Min_Strength_Versus_Players_At_Star_,818996,
825915,0xc9a3b,jump,DWORD PTR cs:[eax*4+0xc99b8],indexed_memory,1,Gather_Intercepting_Ships_,825816,
843760,0xcdff0,call,DWORD PTR [edi*4+0xb55c],indexed_memory,0,Colony_Pop_Prod_Produced_,843731,
844366,0xce24e,call,DWORD PTR [edi*4+0xb55c],indexed_memory,0,Colony_Pop_Base_Prod_Produced_,844332,
887497,0xd8ac9,jump,DWORD PTR cs:[eax*4+0xd87ba],indexed_memory,1,Do_Attacker_Beat_Colony_Stuff_,886738,
891036,0xd989c,call,DWORD PTR [ebp-0x4],memory,0,Find_Planet_At_Star_Satisfying_,890993,
894977,0xda801,jump,DWORD PTR cs:[ecx*4+0xda291],indexed_memory,1,Client_Combat_Loop_,893681,
895761,0xdab11,jump,DWORD PTR cs:[edx*4+0xdaa55],indexed_memory,1,Do_Net_Combat_Update_,895649,
902285,0xdc48d,jump,DWORD PTR cs:[ecx+0xdc3be],memory,0,Compute_Ground_Combat_Info_,902094,
908236,0xddbcc,call,DWORD PTR [ebp-0x14],memory,0,Kill_Buildings_,908085,
912566,0xdecb6,jump,DWORD PTR cs:[eax*4+0xdec0c],indexed_memory,1,sprintf_msg_,912536,
913162,0xdef0a,jump,DWORD PTR cs:[edx*4+0xdec68],indexed_memory,1,sprintf_msg_,912536,
939683,0xe56a3,jump,DWORD PTR cs:[eax*4+0xe5681],indexed_memory,1,Set_Multi_Player_Game_Type_,939665,
940756,0xe5ad4,jump,DWORD PTR cs:[ecx*4+0xe598f],indexed_memory,1,Main_Receive_Message_,940703,
946572,0xe718c,jump,DWORD PTR cs:[edx*4+0xe70d7],indexed_memory,1,Make_Difference_Buffer_,946411,
994449,0xf2c91,call,DWORD PTR [ebx+0x1e],memory,0,Update_List_Window_Data_,993786,
995377,0xf3031,call,DWORD PTR [ebp-0x24],memory,0,_Squeeze_Print_Paragraph_,995288,
995401,0xf3049,call,DWORD PTR [ebp-0x24],memory,0,_Squeeze_Print_Paragraph_,995288,
995447,0xf3077,call,DWORD PTR [ebp-0x24],memory,0,_Squeeze_Print_Paragraph_,995288,
995483,0xf309b,call,DWORD PTR [ebp-0x24],memory,0,_Squeeze_Print_Paragraph_,995288,
996937,0xf3649,jump,DWORD PTR cs:[ecx*4+0xf358b],indexed_memory,1,_Print_String_Bill_,996783,
1000810,0xf456a,jump,DWORD PTR cs:[eax*4+0xf438c],indexed_memory,1,Process_Command_,1000368,
1003404,0xf4f8c,jump,DWORD PTR cs:[ebx*4+0xf4f52],indexed_memory,1,Get_Item_Value_,1003370,
1003532,0xf500c,jump,DWORD PTR cs:[ebx*4+0xf4fd3],indexed_memory,1,Set_Item_Value_,1003499,
1007585,0xf5fe1,call,DWORD PTR ds:0x34f70,memory,0,FN_User_Call_,1007497,
1012997,0xf7505,jump,DWORD PTR cs:[eax*4+0xf71fc],indexed_memory,1,Build_Maint_Chart_Bitmaps_,1012244,
1024647,0xfa287,call,DWORD PTR [edi+0x22],memory,0,Display_Selected_List_Text_,1024541,
1024933,0xfa3a5,call,DWORD PTR [esi+0x22],memory,0,Display_Selected_List_Text_For_Tech_List_,1024837,
1036264,0xfcfe8,call,DWORD PTR [esi+0x1c],memory,0,Draw_Icon_Group_,1036247,
1046257,0xff6f1,jump,DWORD PTR cs:[esi*4+0xff61b],indexed_memory,1,Draw_Application_Description_,1046063,
1049118,0x10021e,call,DWORD PTR ds:0x41208,memory,0,Screen_Flic_Capture_,1049072,
1049397,0x100335,call,DWORD PTR ds:0x438a8,memory,0,Screen_Flic_Capture_,1049072,
1086232,0x109318,call,DWORD PTR ds:0x38844,memory,0,Invoke_Saved_Auto_Function_,1086208,
1092759,0x10ac97,jump,DWORD PTR cs:[ecx*4+0x10abf1],indexed_memory,1,Get_Alt_Alpha_Key_,1092490,
1100744,0x10cbc8,jump,DWORD PTR cs:[ecx*4+0x10cb43],indexed_memory,1,Interpret_Keyboard_Input_,1100494,
1134264,0x114eb8,call,DWORD PTR ds:0x43888,memory,0,Copy_Off_To_On_,1134208,
1134392,0x114f38,call,DWORD PTR ds:0x4389c,memory,0,Toggle_Pages_,1134283,
1134411,0x114f4b,call,DWORD PTR ds:0x43894,memory,0,Toggle_Pages_,1134283,
1134464,0x114f80,call,DWORD PTR ds:0x4120c,memory,0,Toggle_Pages_,1134283,
1134470,0x114f86,call,DWORD PTR ds:0x41210,memory,0,Toggle_Pages_,1134283,
1134591,0x114fff,call,DWORD PTR ds:0x43898,memory,0,Toggle_Pages_,1134283,
1134599,0x115007,call,DWORD PTR ds:0x438a0,memory,0,Toggle_Pages_,1134283,
1134772,0x1150b4,jump,DWORD PTR cs:[eax+0x11507f],memory,0,Assign_Video_Function_Pointers_,1134692,
1135436,0x11534c,jump,DWORD PTR cs:[eax+0x11531b],memory,0,Set_Video_Mode_,1135360,
1135884,0x11550c,jump,DWORD PTR cs:[eax+0x1154db],memory,0,Get_Video_Granularity_,1135808,
1136024,0x115598,call,DWORD PTR ds:0x438a4,memory,0,Cls_On_,1135956,
1136063,0x1155bf,call,DWORD PTR ds:0x438a4,memory,0,Cls_On_,1135956,
1136170,0x11562a,call,DWORD PTR ds:0x438a4,memory,0,Full_Screen_Dump_Hi_Res_,1136095,
1136216,0x115658,call,DWORD PTR ds:0x438a4,memory,0,Full_Screen_Dump_Hi_Res_,1136095,
1136343,0x1156d7,call,DWORD PTR ds:0x438a4,memory,0,Masked_Screen_Dump_Hi_Res_,1136255,
1136424,0x115728,call,DWORD PTR ds:0x438a4,memory,0,Masked_Screen_Dump_Hi_Res_,1136255,
1136552,0x1157a8,call,DWORD PTR ds:0x438a4,memory,0,Masked_Screen_Dump_Hi_Res_,1136255,
1136724,0x115854,call,DWORD PTR ds:0x438a4,memory,0,Partial_Screen_Dump_Hi_Res_,1136660,
1136907,0x11590b,call,DWORD PTR ds:0x438a4,memory,0,Partial_Screen_Dump_Hi_Res_,1136660,
1136954,0x11593a,call,DWORD PTR ds:0x438a4,memory,0,Partial_Screen_Dump_Hi_Res_,1136660,
1137166,0x115a0e,call,DWORD PTR ds:0x438a4,memory,0,Partial_Screen_Dump_Hi_Res_,1136660,
1137214,0x115a3e,call,DWORD PTR ds:0x438a4,memory,0,Partial_Screen_Dump_Hi_Res_,1136660,
1137426,0x115b12,call,DWORD PTR ds:0x438a4,memory,0,Partial_Screen_Dump_Hi_Res_,1136660,
1137474,0x115b42,call,DWORD PTR ds:0x438a4,memory,0,Partial_Screen_Dump_Hi_Res_,1136660,
1137686,0x115c16,call,DWORD PTR ds:0x438a4,memory,0,Partial_Screen_Dump_Hi_Res_,1136660,
1137734,0x115c46,call,DWORD PTR ds:0x438a4,memory,0,Partial_Screen_Dump_Hi_Res_,1136660,
1139535,0x11634f,call,DWORD PTR ds:0x438a4,memory,0,Copy_Off_To_On_Hi_Res_,1139236,
1139642,0x1163ba,call,DWORD PTR ds:0x438a4,memory,0,Copy_Off_To_On_Hi_Res_,1139236,
1139687,0x1163e7,call,DWORD PTR ds:0x438a4,memory,0,Copy_Off_To_On_Hi_Res_,1139236,
1139725,0x11640d,call,DWORD PTR ds:0x4388c,memory,0,Save_Video_State_Hi_Res_,1139711,
1139760,0x116430,call,DWORD PTR ds:0x438a4,memory,0,Restore_Video_State_Hi_Res_,1139738,
1159411,0x11b0f3,call,DWORD PTR ds:0x438a4,memory,0,Draw_Animated_Sprite_On_Page_,1159351,
1159767,0x11b257,call,DWORD PTR ds:0x438a4,memory,0,Draw_Animated_Sprite_On_Page_,1159351,
1160035,0x11b363,call,DWORD PTR ds:0x438a4,memory,0,Draw_Screen_Background_On_,1159897,
1160571,0x11b57b,call,DWORD PTR ds:0x438a4,memory,0,Draw_Glassed_Screen_Background_On_,1160449,
1164526,0x11c4ee,call,FWORD PTR ds:0x442dc,memory,0,New09_Handler_,1164504,
1165606,0x11c926,jump,DWORD PTR cs:[eax+0x11c8f7],memory,0,Draw_File_Animation_,1165260,
1165770,0x11c9ca,jump,DWORD PTR cs:[eax+0x11c99b],memory,0,Draw_File_Animation_,1165260,
1166422,0x11cc56,jump,DWORD PTR cs:[eax+0x11cc2b],memory,0,Draw_Multi_File_Animation_Stencil_,1166038,
1195694,0x123eae,call,DWORD PTR [ebp-0x4],memory,0,med3_,1195676,
1195705,0x123eb9,call,DWORD PTR [ebp-0x4],memory,0,med3_,1195676,
1195716,0x123ec4,call,DWORD PTR [ebp-0x4],memory,0,med3_,1195676,
1195735,0x123ed7,call,DWORD PTR [ebp-0x4],memory,0,med3_,1195676,
1195746,0x123ee2,call,DWORD PTR [ebp-0x4],memory,0,med3_,1195676,
1195959,0x123fb7,call,DWORD PTR [ebp-0x10],memory,0,qsort_,1195764,
1196332,0x12412c,call,DWORD PTR [ebp-0x10],memory,0,qsort_,1195764,
1196407,0x124177,call,DWORD PTR [ebp-0x10],memory,0,qsort_,1195764,
1211073,0x127ac1,jump,DWORD PTR cs:[eax+0x127a67],memory,0,Replace_Gradient_Range_,1210883,
1211972,0x127e44,jump,DWORD PTR cs:[eax+0x127de7],memory,0,Replace_Color_Range_,1211782,
1232161,0x12cd21,call,DWORD PTR [edx+0x1f],memory,0,Modem_Output_,1232119,
1232180,0x12cd34,call,DWORD PTR [edx+0x1b],memory,0,Modem_Output_,1232119,
1232256,0x12cd80,call,DWORD PTR [edx+0x1f],memory,0,Modem_Read_Char_,1232212,
1232275,0x12cd93,call,DWORD PTR [edx+0x1b],memory,0,Modem_Read_Char_,1232212,
1233339,0x12d1bb,call,DWORD PTR [ebx+0x23],memory,0,Modem_Write_Char_,1233296,
1233554,0x12d292,call,DWORD PTR [edx+0x27],memory,0,Modem_Close_Port_,1233510,
1239455,0x12e99f,jump,DWORD PTR cs:[eax+0x12e95a],memory,0,Get_Paragraph_Max_Width_,1239290,
1240276,0x12ecd4,jump,DWORD PTR cs:[eax+0x12ecaa],memory,0,Print_Paragraph_To_Bitmap_,1240148,
1241001,0x12efa9,call,eax,register,0,__InitRtns,1240940,
1241081,0x12eff9,call,eax,register,0,__FiniRtns,1241015,
1241847,0x12f2f7,call,DWORD PTR ds:0xca48,memory,0,exit_,1241844,
1241853,0x12f2fd,call,DWORD PTR ds:0xca4c,memory,0,exit_,1241844,
1241871,0x12f30f,call,DWORD PTR ds:0xca4c,memory,0,_exit_,1241868,
1241877,0x12f315,call,DWORD PTR ds:0xca50,memory,0,_exit_,1241868,
1270956,0x1364ac,call,DWORD PTR [esp+0x11c],memory,0,__prtf_,1270711,
1271213,0x1365ad,call,DWORD PTR [esp+0x11c],memory,0,__prtf_,1270711,
1271247,0x1365cf,call,DWORD PTR [esp+0x11c],memory,0,__prtf_,1270711,
1271289,0x1365f9,call,DWORD PTR [esp+0x11c],memory,0,__prtf_,1270711,
1271361,0x136641,call,DWORD PTR [esp+0x11c],memory,0,__prtf_,1270711,
1271442,0x136692,call,DWORD PTR [esp+0x11c],memory,0,__prtf_,1270711,
1271487,0x1366bf,call,DWORD PTR [esp+0x11c],memory,0,__prtf_,1270711,
1271530,0x1366ea,call,DWORD PTR [esp+0x11c],memory,0,__prtf_,1270711,
1272461,0x136a8d,call,DWORD PTR ds:0x12548,memory,0,float_format_,1272461,
1284210,0x139872,call,DWORD PTR [esp+0x4],memory,0,SMACKSOUNDMSSLITEINITWITHSTART,1284192,
1284885,0x139b15,call,FWORD PTR ds:0x4bc22,memory,0,MSSWINSMACKTIMERREAD,1284880,
1285862,0x139ee6,call,DWORD PTR ds:0x125ac,memory,0,MSSLOWSOUNDPLAYED,1285840,
1285992,0x139f68,call,DWORD PTR ds:0x125ac,memory,0,MSSLOWSOUNDCHECK,1285920,
1286314,0x13a0aa,call,DWORD PTR ds:0x4bc34,memory,0,SMACKWAIT,1286288,
1286366,0x13a0de,call,DWORD PTR ds:0x4bc38,memory,0,SMACKWAIT,1286288,
1286432,0x13a120,call,DWORD PTR ds:0x125ac,memory,0,SMACKWAIT,1286288,
1286585,0x13a1b9,call,DWORD PTR ds:0x4bc34,memory,0,SMACKSOUNDCHECK,1286576,
1286898,0x13a2f2,call,DWORD PTR ds:0x4bc34,memory,0,SMACKTOBUFFERRECT,1286864,
1286938,0x13a31a,call,DWORD PTR ds:0x125ac,memory,0,SMACKTOBUFFERRECT,1286864,
1290775,0x13b217,call,DWORD PTR ds:0x4bc34,memory,0,SMACKNEXTFRAME,1290752,
1290902,0x13b296,call,DWORD PTR ds:0x4bc34,memory,0,SMACKNEXTFRAME,1290752,
1290945,0x13b2c1,call,DWORD PTR ds:0x125ac,memory,0,SMACKSUMMARY,1290928,
1291211,0x13b3cb,call,DWORD PTR ds:0x125ac,memory,0,timeframe_,1291184,
1291359,0x13b45f,call,DWORD PTR ds:0x125ac,memory,0,timeframe_,1291184,
1291413,0x13b495,call,DWORD PTR ds:0x125ac,memory,0,timeframe_,1291184,
1291492,0x13b4e4,call,DWORD PTR ds:0x125ac,memory,0,SMACKDOFRAME,1291472,
1291666,0x13b592,call,DWORD PTR ds:0x4bc34,memory,0,SMACKDOFRAME,1291472,
1291753,0x13b5e9,call,DWORD PTR ds:0x4bc38,memory,0,doskip_,1291696,
1292067,0x13b723,call,DWORD PTR ds:0x4bc34,memory,0,soundnext_,1291808,
1292504,0x13b8d8,call,DWORD PTR ds:0x4bc3c,memory,0,SMACKCLOSE,1292464,
1292774,0x13b9e6,call,DWORD PTR ds:0x51830,memory,0,SMACKCLOSE,1292464,
1293405,0x13bc5d,call,DWORD PTR ds:0x125b8,memory,0,SMACKOPEN,1293376,
1293411,0x13bc63,call,DWORD PTR ds:0x125ac,memory,0,SMACKOPEN,1293376,
1293518,0x13bcce,call,DWORD PTR ds:0x51830,memory,0,SMACKOPEN,1293376,
1296070,0x13c6c6,call,DWORD PTR ds:0x11164,memory,0,soundopen_,1295552,
1297220,0x13cb44,call,DWORD PTR ds:0x4bc30,memory,0,gotoframe_,1297056,
1297770,0x13cd6a,call,DWORD PTR ds:0x125ac,memory,0,blockread_,1297744,
1298079,0x13ce9f,call,DWORD PTR ds:0x4bc34,memory,0,blockread_,1297744,
1298381,0x13cfcd,call,DWORD PTR ds:0x125ac,memory,0,blockread_,1297744,
1298394,0x13cfda,call,DWORD PTR ds:0x125ac,memory,0,blockread_,1297744,
1298486,0x13d036,call,DWORD PTR ds:0x125ac,memory,0,backgroundload_,1298432,
1298656,0x13d0e0,call,DWORD PTR ds:0x125ac,memory,0,backgroundload_,1298432,
1298668,0x13d0ec,call,DWORD PTR ds:0x125ac,memory,0,backgroundload_,1298432,
1298885,0x13d1c5,call,DWORD PTR [edx],memory,0,cget_,1298882,
