index,language_offset,name,locals_offset,locals_entries,types_offset,types_entries,lines_offset,lines_entries
38,0,D:\MOX\OTHERS\ANTARANS.C,0,0,0,0,0,0
39,0,D:\MOX\OTHERS\ASSERT.C,0,0,0,0,0,0
40,0,D:\MOX\OTHERS\DESBOX.C,0,0,0,0,0,0
41,0,D:\MOX\OTHERS\DESIGN.C,0,0,0,0,0,0
42,0,D:\MOX\OTHERS\EVANHELP.C,0,0,0,0,0,0
43,0,D:\MOX\OTHERS\FLEETPOP.C,0,0,0,0,0,0
44,0,D:\MOX\OTHERS\FLT1.C,0,0,0,0,0,0
45,0,D:\MOX\OTHERS\FLT2.C,0,0,0,0,0,0
46,0,D:\MOX\OTHERS\GENDRAW.C,0,0,0,0,0,0
47,0,D:\MOX\OTHERS\HACCESS.C,0,0,0,0,0,0
48,0,D:\MOX\OTHERS\HAROLD.C,0,0,0,0,0,0
49,0,D:\MOX\OTHERS\HOMEGEN.C,0,0,0,0,0,0
50,0,D:\MOX\OTHERS\LOADSAVE.C,0,0,0,0,0,0
51,0,D:\MOX\OTHERS\MAINMENU.C,0,0,0,0,0,0
52,0,D:\MOX\OTHERS\MAINSCR.C,0,0,0,0,0,0
53,0,D:\MOX\OTHERS\MAINSCR2.C,0,0,0,0,0,0
54,0,D:\MOX\OTHERS\MAPGEN.C,0,0,0,0,0,0
55,0,D:\MOX\OTHERS\MISC.C,0,0,0,0,0,0
56,0,D:\MOX\OTHERS\MOVEBOX.C,0,0,0,0,0,0
57,0,D:\MOX\OTHERS\NAMESTAR.C,0,0,0,0,0,0
58,0,D:\MOX\OTHERS\OFFICER.C,0,0,0,0,0,0
59,0,D:\MOX\OTHERS\PLNTSUM.C,0,0,0,0,0,0
60,0,D:\MOX\OTHERS\SCORE.C,0,0,0,0,0,0
61,0,D:\MOX\OTHERS\SCROLL.C,0,0,0,0,0,0
62,0,D:\MOX\OTHERS\SHIPS.C,0,0,0,0,0,0
63,0,D:\MOX\OTHERS\SYS.C,0,0,0,0,0,0
64,0,D:\MOX\OTHERS\TEXTBOX.C,0,0,0,0,0,0
65,0,D:\MOX\OTHERS\BEAMS.C,0,0,0,0,0,0
66,0,D:\MOX\OTHERS\CMBTSPEC.C,0,0,0,0,0,0
67,0,D:\MOX\OTHERS\COLBCACH.C,0,0,0,0,0,0
68,0,D:\MOX\OTHERS\COLBLDG.C,0,0,0,0,0,0
69,0,D:\MOX\OTHERS\COLBOMB.C,0,0,0,0,0,0
70,0,D:\MOX\OTHERS\COLDRAW.C,0,0,0,0,0,0
71,0,D:\MOX\OTHERS\COLGCBT.C,0,0,0,0,0,0
72,0,D:\MOX\OTHERS\COLLAND.C,0,0,0,0,0,0
73,0,D:\MOX\OTHERS\COLMOVE.C,0,0,0,0,0,0
74,0,D:\MOX\OTHERS\COLONY.C,0,0,0,0,0,0
75,0,D:\MOX\OTHERS\COLREFIT.C,0,0,0,0,0,0
76,0,D:\MOX\OTHERS\COLSUM.C,0,0,0,0,0,0
77,0,D:\MOX\OTHERS\COLSYSDI.C,0,0,0,0,0,0
78,0,D:\MOX\OTHERS\COLXPORT.C,0,0,0,0,0,0
79,0,D:\MOX\OTHERS\ERIC.C,0,0,0,0,0,0
80,0,D:\MOX\OTHERS\FAKEBUTS.C,0,0,0,0,0,0
81,0,D:\MOX\OTHERS\FIREPTS.C,0,0,0,0,0,0
82,0,D:\MOX\OTHERS\FLCQUEUE.C,0,0,0,0,0,0
83,0,D:\MOX\OTHERS\MAINPUPS.C,0,0,0,0,0,0
84,0,D:\MOX\OTHERS\NEWGAME.C,0,0,0,0,0,0
85,0,D:\MOX\OTHERS\OCPOLPUP.C,0,0,0,0,0,0
86,0,D:\MOX\OTHERS\ERICHELP.C,0,0,0,0,0,0
87,0,D:\MOX\OTHERS\ESCROLL.C,0,0,0,0,0,0
88,0,D:\MOX\OTHERS\ESTRINGS.C,0,0,0,0,0,0
89,0,D:\MOX\OTHERS\NEWPUP.C,0,0,0,0,0,0
90,0,D:\MOX\OTHERS\AIBOMB.C,0,0,0,0,0,0
91,0,D:\MOX\OTHERS\AIBUILD.C,0,0,0,0,0,0
92,0,D:\MOX\OTHERS\AIDATA.C,0,0,0,0,0,0
93,0,D:\MOX\OTHERS\AIDUDES.C,0,0,0,0,0,0
94,0,D:\MOX\OTHERS\AILEADER.C,0,0,0,0,0,0
95,0,D:\MOX\OTHERS\AIMOVE.C,0,0,0,0,0,0
96,0,D:\MOX\OTHERS\AISTAGE.C,0,0,0,0,0,0
97,0,D:\MOX\OTHERS\AITECH.C,0,0,0,0,0,0
98,0,D:\MOX\OTHERS\AITRADE.C,0,0,0,0,0,0
99,0,D:\MOX\OTHERS\ARENA10.C,0,0,0,0,0,0
100,0,D:\MOX\OTHERS\BOMB.C,0,0,0,0,0,0
101,0,D:\MOX\OTHERS\CHAT.C,0,0,0,0,0,0
102,0,D:\MOX\OTHERS\COLCALC.C,0,0,0,0,0,0
103,0,D:\MOX\OTHERS\COLONIZE.C,0,0,0,0,0,0
104,0,D:\MOX\OTHERS\COMBFIND.C,0,0,0,0,0,0
105,0,D:\MOX\OTHERS\CONTACT.C,0,0,0,0,0,0
106,0,D:\MOX\OTHERS\GEO.C,0,0,0,0,0,0
107,0,D:\MOX\OTHERS\INVASION.C,0,0,0,0,0,0
108,0,D:\MOX\OTHERS\LOSTSHIP.C,0,0,0,0,0,0
109,0,D:\MOX\OTHERS\MAINTAIN.C,0,0,0,0,0,0
110,0,D:\MOX\OTHERS\MSG.C,0,0,0,0,0,0
111,0,D:\MOX\OTHERS\MULTPLAY.C,0,0,0,0,0,0
112,0,D:\MOX\OTHERS\NETMOX.C,0,0,0,0,0,0
113,0,D:\MOX\OTHERS\NETSTART.C,0,0,0,0,0,0
114,0,D:\MOX\OTHERS\NETTURN.C,0,0,0,0,0,0
115,0,D:\MOX\OTHERS\NEWTECH.C,0,0,0,0,0,0
116,0,D:\MOX\OTHERS\REPORT.C,0,0,0,0,0,0
117,0,D:\MOX\OTHERS\RUSS.C,0,0,0,0,0,0
118,0,D:\MOX\OTHERS\SETTLER.C,0,0,0,0,0,0
119,0,D:\MOX\OTHERS\SHIPMOVE.C,0,0,0,0,0,0
120,0,D:\MOX\OTHERS\SPY.C,0,0,0,0,0,0
121,0,D:\MOX\OTHERS\TRADE.C,0,0,0,0,0,0
122,0,D:\MOX\BILL.C,0,0,0,0,0,0
123,0,D:\MOX\BILLHELP.C,0,0,0,0,0,0
124,0,D:\MOX\FMTPARA.C,0,0,0,0,0,0
125,0,D:\MOX\INFO.C,0,0,0,0,0,0
126,0,D:\MOX\LIST.C,0,0,0,0,0,0
127,0,D:\MOX\RACERPRT.C,0,0,0,0,0,0
128,0,D:\MOX\RACESCRN.C,0,0,0,0,0,0
129,0,D:\MOX\SCIENCE.C,0,0,0,0,0,0
130,0,D:\MOX\TECH.C,0,0,0,0,0,0
131,0,D:\MOX\TURNSUM.C,0,0,0,0,0,0
132,0,D:\MOX\FIELDSAV.C,0,0,0,0,0,0
133,0,cstrt386,0,0,0,0,0,0
134,0,argcv386,0,0,0,0,0,0
135,0,F:\WLIBS\flicplay\capture.c,18,1,210,1,402,1
136,0,F:\WLIBS\allocate\allocate.c,22,1,214,1,406,1
137,0,F:\WLIBS\dos\dos.c,26,1,218,1,410,1
138,0,F:\WLIBS\sound\sound.c,30,1,222,1,414,1
139,0,F:\WLIBS\init\init.c,34,1,226,1,418,1
140,0,F:\WLIBS\fields\fields.c,38,1,230,1,422,1
141,0,E:\WLIBS\fonts\fonts.c,42,1,234,1,426,1
142,0,F:\WLIBS\mouse\mouse.c,46,1,238,1,430,1
143,0,F:\WLIBS\special\random.c,50,1,242,1,434,1
144,0,F:\WLIBS\video\video.c,54,1,246,1,438,1
145,0,F:\WLIBS\dos\exit.c,58,1,250,1,442,1
146,0,strstr,0,0,0,0,0,0
147,0,sprintf,0,0,0,0,0,0
148,0,atol,0,0,0,0,0,0
149,0,fopen,0,0,0,0,0,0
150,0,fgets,0,0,0,0,0,0
151,0,fclose,0,0,0,0,0,0
152,0,F:\WLIBS\lbx\farload.c,62,1,254,1,446,1
153,0,atoi,0,0,0,0,0,0
154,0,memory\struct.asm,0,0,0,0,0,0
155,0,dos\drivet.asm,0,0,0,0,0,0
156,0,F:\WLIBS\cache\buffer.c,66,1,258,1,450,1
157,0,itoa,0,0,0,0,0,0
158,0,fread,0,0,0,0,0,0
159,0,F:\WLIBS\graphics\graphics.c,70,1,262,1,454,1
160,0,set386,0,0,0,0,0,0
161,0,errno,0,0,0,0,0,0
162,0,strerror,0,0,0,0,0,0
163,0,fwrite,0,0,0,0,0,0
164,0,accss,0,0,0,0,0,0
165,0,fseek,0,0,0,0,0,0
166,0,clockxib,0,0,0,0,0,0
167,0,fflush,0,0,0,0,0,0
168,0,F:\WLIBS\animate\animate.c,74,1,266,1,458,1
169,0,timer\timer.asm,0,0,0,0,0,0
170,0,F:\WLIBS\keybdjoy\key.c,78,1,270,1,462,1
171,0,F:\WLIBS\animate\file_ani.c,82,1,274,1,466,1
172,0,F:\WLIBS\animate\bitmap.c,86,1,278,1,470,1
173,0,F:\WLIBS\palette\palette.c,90,1,282,1,474,1
174,0,F:\WLIBS\smack\smckplay.c,94,1,286,1,478,1
175,0,palette\palstore.asm,0,0,0,0,0,0
176,0,F:\WLIBS\memory\strings.c,98,1,290,1,482,1
177,0,F:\WLIBS\palette\remap.c,102,1,294,1,486,1
178,0,qsort,0,0,0,0,0,0
179,0,F:\WLIBS\special\special.c,106,1,298,1,490,1
180,0,F:\WLIBS\graphics\line.c,110,1,302,1,494,1
181,0,F:\WLIBS\animate\replace.c,114,1,306,1,498,1
182,0,F:\WLIBS\special\angle.c,118,1,310,1,502,1
183,0,cmp386,0,0,0,0,0,0
184,0,video\setvesa.asm,0,0,0,0,0,0
185,0,fscanf,0,0,0,0,0,0
186,0,fputs,0,0,0,0,0,0
187,0,F:\WLIBS\net\netcode.c,122,1,314,1,506,1
188,0,memmove,0,0,0,0,0,0
189,0,find386,0,0,0,0,0,0
190,0,strncpy,0,0,0,0,0,0
191,0,F:\WLIBS\palette\reduce.c,126,1,318,1,510,1
192,0,strncmp,0,0,0,0,0,0
193,0,F:\WLIBS\sound\lbx.c,130,1,322,1,514,1
194,0,F:\WLIBS\allocate\swap.c,134,1,326,1,518,1
195,0,F:\WLIBS\graphics\bolt.c,138,1,330,1,522,1
196,0,stricmp,0,0,0,0,0,0
197,0,vsprintf,0,0,0,0,0,0
198,0,time,0,0,0,0,0,0
199,0,localtim,0,0,0,0,0,0
200,0,fgetc,0,0,0,0,0,0
201,0,nfree,0,0,0,0,0,0
202,0,nmalloc,0,0,0,0,0,0
203,0,E:\WLIBS\modem\simmodem.c,142,1,334,1,526,1
204,0,F:\WLIBS\net\transprt.c,146,1,338,1,530,1
205,0,istable,0,0,0,0,0,0
206,0,toupper,0,0,0,0,0,0
207,0,tolower,0,0,0,0,0,0
208,0,F:\WLIBS\fonts\paragrph.c,150,1,342,1,534,1
209,0,strupr,0,0,0,0,0,0
210,0,F:\WLIBS\graphics\fade.c,154,1,346,1,538,1
211,0,cmain386,0,0,0,0,0,0
212,0,inirt386,0,0,0,0,0,0
213,0,seg386,0,0,0,0,0,0
214,0,crwd386,0,0,0,0,0,0
215,0,initargv,0,0,0,0,0,0
216,0,stk386,0,0,0,0,0,0
217,0,strcat,0,0,0,0,0,0
218,0,int386,0,0,0,0,0,0
219,0,sound,0,0,0,0,0,0
220,0,delay386,0,0,0,0,0,0
221,0,printf,0,0,0,0,0,0
222,0,exit,0,0,0,0,0,0
223,0,memavl,0,0,0,0,0,0
224,0,memcpy,0,0,0,0,0,0
225,0,strcpy,0,0,0,0,0,0
226,0,attr386,0,0,0,0,0,0
227,0,ddisk386,0,0,0,0,0,0
228,0,remove,0,0,0,0,0,0
229,0,gtcwd,0,0,0,0,0,0
230,0,R:\NET\LIBS\AIL\DEV3\FLAT\aildebug.c,0,0,0,0,0,0
231,0,strlen,0,0,0,0,0,0
232,0,F:\WLIBS\fonts\sysfont.c,158,1,350,1,542,1
233,0,atexit,0,0,0,0,0,0
234,0,ltoa,0,0,0,0,0,0
235,0,fonts\fontdraw.asm,0,0,0,0,0,0
236,0,disable,0,0,0,0,0,0
237,0,enable,0,0,0,0,0,0
238,0,intx386,0,0,0,0,0,0
239,0,mouse\mouse2.asm,0,0,0,0,0,0
240,0,F:\WLIBS\video\vga.c,162,1,354,1,546,1
241,0,F:\WLIBS\video\vesa.c,166,1,358,1,550,1
242,0,prtf,0,0,0,0,0,0
243,0,seterrno,0,0,0,0,0,0
244,0,iob,0,0,0,0,0,0
245,0,open,0,0,0,0,0,0
246,0,allocfp,0,0,0,0,0,0
247,0,chktty,0,0,0,0,0,0
248,0,stinit,0,0,0,0,0,0
249,0,gtpid,0,0,0,0,0,0
250,0,flush,0,0,0,0,0,0
251,0,ftell,0,0,0,0,0,0
252,0,lseek,0,0,0,0,0,0
253,0,_clse,0,0,0,0,0,0
254,0,ioalloc,0,0,0,0,0,0
255,0,qread,0,0,0,0,0,0
256,0,graphics\regions.asm,0,0,0,0,0,0
257,0,animate\shear.asm,0,0,0,0,0,0
258,0,__stos,0,0,0,0,0,0
259,0,qwrit,0,0,0,0,0,0
260,0,fputc,0,0,0,0,0,0
261,0,dosret,0,0,0,0,0,0
262,0,tell,0,0,0,0,0,0
263,0,clock,0,0,0,0,0,0
264,0,flushall,0,0,0,0,0,0
265,0,animate\draw.asm,0,0,0,0,0,0
266,0,F:\WLIBS\animate\clipped.c,170,1,362,1,554,1
267,0,d_getvec,0,0,0,0,0,0
268,0,d_setvec,0,0,0,0,0,0
269,0,D:\DEVEL\PROJECTS\SMACK\sndmss.c,0,0,0,0,0,0
270,0,D:\DEVEL\PROJECTS\SMACK\smackinp.c,0,0,0,0,0,0
271,0,abs,0,0,0,0,0,0
272,0,ungetc,0,0,0,0,0,0
273,0,scnf,0,0,0,0,0,0
274,0,F:\WLIBS\net\comcore.c,174,1,366,1,558,1
275,0,E:\WLIBS\modem\motrans.c,178,1,370,1,562,1
276,0,F:\WLIBS\net\net.c,182,1,374,1,566,1
277,0,error386,0,0,0,0,0,0
278,0,F:\WLIBS\lbx\makelbx.c,186,1,378,1,570,1
279,0,F:\WLIBS\sound\util.c,190,1,382,1,574,1
280,0,unlnk,0,0,0,0,0,0
281,0,renam,0,0,0,0,0,0
282,0,gtctm,0,0,0,0,0,0
283,0,mktime,0,0,0,0,0,0
284,0,tzset,0,0,0,0,0,0
285,0,gmtime,0,0,0,0,0,0
286,0,timeutil,0,0,0,0,0,0
287,0,gtche,0,0,0,0,0,0
288,0,memalloc,0,0,0,0,0,0
289,0,heapmod,0,0,0,0,0,0
290,0,grownear,0,0,0,0,0,0
291,0,nmemneed,0,0,0,0,0,0
292,0,putch,0,0,0,0,0,0
293,0,C:\GCL520\C_ALL\MODEM.C,0,0,0,0,0,0
294,0,C:\GCL520\C_ALL\CLEARRX.C,0,0,0,0,0,0
295,0,C:\GCL520\C_ALL\D_GETM.C,0,0,0,0,0,0
296,0,C:\GCL520\C_ALL\DEFBUF.C,0,0,0,0,0,0
297,0,C:\GCL520\C_386\FASTA386.C,0,0,0,0,0,0
298,0,fprintf,0,0,0,0,0,0
299,0,stack386,0,0,0,0,0,0
300,0,cinit,0,0,0,0,0,0
301,0,___argc,0,0,0,0,0,0
302,0,histsplt,0,0,0,0,0,0
303,0,xmsg,0,0,0,0,0,0
304,0,segread,0,0,0,0,0,0
305,0,delay,0,0,0,0,0,0
306,0,fprtf,0,0,0,0,0,0
307,0,F:\WLIBS\sound\dllload.c,194,1,386,1,578,1
308,0,aila.asm,0,0,0,0,582,1
309,0,getenv,0,0,0,0,0,0
310,0,R:\NET\LIBS\AIL\DEV3\FLAT\ail.c,0,0,0,0,0,0
311,0,isatt,0,0,0,0,0,0
312,0,setbuf,0,0,0,0,0,0
313,0,asctime,0,0,0,0,0,0
314,0,R:\NET\LIBS\AIL\DEV3\FLAT\ailss.c,0,0,0,0,0,0
315,0,R:\NET\LIBS\AIL\DEV3\FLAT\ailsfile.c,0,0,0,0,0,0
316,0,R:\NET\LIBS\AIL\DEV3\FLAT\ailxmidi.c,0,0,0,0,586,1
317,0,R:\NET\LIBS\AIL\DEV3\FLAT\ailxdig.c,0,0,0,0,0,0
318,0,intxa386,0,0,0,0,0,0
319,0,noefgfmt,0,0,0,0,0,0
320,0,umaskval,0,0,0,0,0,0
321,0,iomode,0,0,0,0,0,0
322,0,initfile,0,0,0,0,0,0
323,0,ioexit,0,0,0,0,0,0
324,0,intd386,0,0,0,0,0,0
325,0,D:\DEVEL\PROJECTS\SMACK\sndnone.c,0,0,0,0,0,0
326,0,rfile.ASM,0,0,0,0,0,0
327,0,unsmack.ASM,0,0,0,0,0,0
328,0,fdfs386,0,0,0,0,0,0
329,0,F:\WLIBS\compress\arith1e.c,198,1,390,1,590,1
330,0,net\dshells.msm,0,0,0,0,0,0
331,0,assert,0,0,0,0,0,0
332,0,minreal,0,0,0,0,0,0
333,0,heapen,0,0,0,0,0,0
334,0,sbrk386,0,0,0,0,0,0
335,0,amblksiz,0,0,0,0,0,0
336,0,C:\GCL520\C_ALL\GFC_MEM.C,0,0,0,0,0,0
337,0,C:\GCL520\C_ALL\TIMER.C,0,0,0,0,0,0
338,0,C:\GCL520\C_ALL\D_WS.C,0,0,0,0,0,0
339,0,C:\GCL520\C_386\TIMER386.C,0,0,0,0,0,0
340,0,C:\GCL520\C_DOS\MABRTDOS.C,0,0,0,0,0,0
341,0,C:\GCL520\C_DOS\IDLEFDOS.C,0,0,0,0,0,0
342,0,C:\GCL520\C_386\WAT386.C,0,0,0,0,0,0
343,0,..\ASM_386\STI386.ASM,0,0,0,0,0,0
344,0,C:\GCL520\C_386\IRQ386.C,0,0,0,0,0,0
345,0,C:\GCL520\C_386\DPMI386.C,0,0,0,0,0,0
346,0,C:\GCL520\C_ALL\DRIVERS.C,0,0,0,0,0,0
347,0,C:\GCL520\C_386\ISMIC386.C,0,0,0,0,0,0
348,0,..\ASM_386\IRQDR386.ASM,0,0,0,0,0,0
349,0,..\ASM_386\IRQDP386.ASM,0,0,0,0,0,0
350,0,C:\GCL520\C_DOS\WINUTIL.C,0,0,0,0,0,0
351,0,C:\GCL520\C_386\FASTD386.C,0,0,0,0,0,0
352,0,sigsy,0,0,0,0,0,0
353,0,enterdb,0,0,0,0,0,0
354,0,read,0,0,0,0,0,0
355,0,close,0,0,0,0,0,0
356,0,filelen,0,0,0,0,0,0
357,0,write,0,0,0,0,0,0
358,0,environ,0,0,0,0,0,0
359,0,strnicmp,0,0,0,0,0,0
360,0,setvbuf,0,0,0,0,0,0
361,0,ailssa.asm,0,0,0,0,594,1
362,0,F:\WLIBS\compress\bitio.c,202,1,394,1,598,1
363,0,calloc,0,0,0,0,0,0
364,0,F:\WLIBS\compress\errhand.c,206,1,398,1,602,1
365,0,abort,0,0,0,0,0,0
366,0,C:\GCL520\C_386\KBD386.C,0,0,0,0,0,0
367,0,..\ASM_386\KILL386.ASM,0,0,0,0,0,0
368,0,..\ASM_386\DEBUG386.ASM,0,0,0,0,0,0
369,0,C:\GCL520\C_DOS\ASGETDI.C,0,0,0,0,0,0
370,0,signl,0,0,0,0,0,0
371,0,chint386,0,0,0,0,0,0
372,0,setenvp,0,0,0,0,0,0
373,0,..\ASM_386\KSTAT386.ASM,0,0,0,0,0,0
374,0,grabfpe,0,0,0,0,0,0
375,0,grabfp87,0,0,0,0,0,0
376,0,fpe387,0,0,0,0,0,0
377,0,fpeinth,0,0,0,0,0,0
378,0,fpephar,0,0,0,0,0,0
379,0,fpedos4g,0,0,0,0,0,0
380,0,fpeergo,0,0,0,0,0,0
381,0,fpeintel,0,0,0,0,0,0
382,0,_8087386,0,0,0,0,0,0
383,0,fpeint,0,0,0,0,0,0
384,0,chk8087,0,0,0,0,0,0
385,0,save8087,0,0,0,0,0,0
386,0,8087cw,0,0,0,0,0,0
387,0,ini87386,0,0,0,0,0,0
